height,time,timestamp_ms,version_app,hash,proposer_address,proposer_moniker,tx_count,events_count,blobs_size,blobs_count,block_time_ms,square_size,fill_rate,fee_utia,gas_used,gas_limit,bytes_in_block,supply_change,inflation_rate,rewards,commissions
8851775,2025-12-08T00:00:00.190105Z,1765152000190,6,DC86FD76A67440E0B060803BB75E94E9E9BF81B471796166125FDBCBD5491F50,A5466F26A7ACC48107E3AB82D29F983640C1B328,Hex Trust,1,240,110884,30,6119,16,0.0582,4431,1080940,1107712,114282,5209520,0.0232420563,5107877.599999999734390329,910673.37662844149154554
8851776,2025-12-08T00:00:06.30731Z,1765152006307,6,5342470E57E273DF8C5E75C3B1DB3C2935938105A99A9BA92D72FFA78F592C9E,C2089D877580C038F504EA9B6BFAB3884EF9D465,CHAIN DIGITAL,5,244,114996,37,6117,32,0.0614,7568,1431784,1588601,120411,5207711,0.0232420563,5107899.159999999734389198,910677.220518122816172145
8851777,2025-12-08T00:00:12.406924Z,1765152012406,6,C669D5152910EBDCEC805FA73EB529ED8FC2D5BADD089A727D1865D3CA803D79,4F4D48E9F50D8772CE3D766E6CAE36806B36B981,quantumcore,0,245,0,0,6099,1,0.0,0,0,0,0,5192735,0.0232420563,5096296.939999999734992508,908608.683702795440973872
8851778,2025-12-08T00:00:18.513927Z,1765152018513,6,63FFA241906A692ACE802032A6638A220295B6FB93AB53695AA332E46F80B18F,5944971767F0F5F1B03E0F5B48E1E539C8196CA8,bitcoinsuisse.com,5,249,127102,38,6107,32,0.0675,30962,1452350,1639864,132489,5199026,0.0232420563,5095045.479999999735057589,908385.56337902037060238
8851779,2025-12-08T00:00:24.615636Z,1765152024615,6,0BA97D5DAFCFE03DC451F49400284E0C50D8720097CA6D939891DA94C5CD4B56,4C34EB077B1988668114B9AFD7EB7507B6ED90B7,node101,0,246,0,0,6101,1,0.0,0,0,0,0,5194519,0.0232420563,5120971.379999999733709439,913007.840720813234093398
8851780,2025-12-08T00:00:30.731136Z,1765152030731,6,A46EBE857B297141AE78CEB684C931B7BC56C41BB0E2BE53D368A4F530043558,7385B68F9229AF7EFB8F8EB985EFF2979598A223,T DATA,8,249,112781,35,6115,32,0.0711,106885,1800589,2460139,139433,5206260,0.0232420563,5102134.799999999734688954,909649.504195143204641088
8851781,2025-12-08T00:00:36.833764Z,1765152036833,6,BCE1DEA90452DA7AFA5309B789BD44D87092AADD2237641A555A6CA6933B1FE7,1AFFA64C79E1B6A4DE41679B97CB1377C5273B74,Cosmic Validator,1,244,0,0,6102,1,0.0002,100000,67783,500000,328,5195301,0.0232420563,5196142.279999999729800552,926409.91153926802880438
8851782,2025-12-08T00:00:42.943541Z,1765152042943,6,D8E7EA0F77AD4D438C13EB8219B3783CF5DAC906AB08DAFD44E67F4A40F41ABA,06DC1FCA5DD3896FD5347F6BA62DDA624107872B,Neoprom,4,244,118063,37,6109,32,0.0627,5663,1309590,1415436,123016,5201387,0.0232420563,5195359.259999999729841271,926270.308454932648047275
8851783,2025-12-08T00:00:49.058511Z,1765152049058,6,7B6B145C66494EBA4FEB85FCE7D509774963A52074DDAA31DCE5632E90C0FDDC,C5F95CC6D11E428E581F4F48DC9E821B1D55DEF5,Coinbase,2,249,21076,59,6114,16,0.0183,4228,587956,659583,35839,5205808,0.0232420563,5107241.579999999734423391,910559.981882842415060734
8851784,2025-12-08T00:00:55.151606Z,1765152055151,6,1F0043CA0A271E08C22DEC9942C782E8D8FFF8C9F2F428A5F3AA34BB9D700845,B2C31D64BF2F963243BC624F375A53136A221F6A,Colossus,6,246,121486,38,6093,32,0.0648,6367,1432222,1590712,127092,5187185,0.0232420563,5087584.739999999735445543,907055.402827023807768992
8851785,2025-12-08T00:01:01.256738Z,1765152061256,6,81C59B4A5B171C192CA2E248ECE58FF0C788D0B0ED0AD52044426E93B1E4D889,E2BD4F895F9DE0B46B2ED4BAA12EE2DE6A415450,Imperator.co,2,251,114237,30,6105,32,0.0601,29513,1169543,1378192,117964,5197432,0.0232420563,5099723.019999999734814356,909219.512717609572546915
8851786,2025-12-08T00:01:07.372346Z,1765152067372,6,80222AAF16D690A7E2F829917B4B95ECFBFD6238562008AC8BC18F623C46ACB2,126403A2CAA36DBDE0FB64A7AE72ED82979366F7,alphab.ai,1,243,444,1,6115,2,0.0004,320,53460,79796,823,5206351,0.0232420563,5131146.719999999733180324,914821.981928140215821888
8851787,2025-12-08T00:01:13.467938Z,1765152073467,6,EB207553DD591799276D8BBAC31EAFDE58445731B5C4D576C2692D140BE190C0,05D2E22C1216CD30104BCDB6B122B1E7F1ACB5CD,P-OPS Team,3,250,117423,34,6095,32,0.0621,5306,1246526,1326048,121788,5189312,0.0232420563,5085839.359999999735536309,906744.222485094755042575
8851788,2025-12-08T00:01:19.573276Z,1765152079573,6,DA3D3B20376AFD18F1209F76302A9E18BE50A4FFE566EFB4288B6DFC11CDD066,F9DD432A7504D99073856DC52E02665CD416B275,Goose,2,244,414,1,6105,2,0.0006,800,150776,199796,1172,5197608,0.0232420563,5098855.719999999734859456,909064.883519065377340347
8851789,2025-12-08T00:01:25.683601Z,1765152085683,6,A6800DF56AF8D74A9F8F39BFBE06467CCE0C0D6E8AC7615B3FD201F65B621EEA,D1F244351AFAC81FCC7411B9EA622EAA4426D263,IYKYK,3,248,122860,38,6110,32,0.065,5530,1302504,1382096,127642,5201854,0.0232420563,5098600.919999999734872706,909019.455731922449935037
8851790,2025-12-08T00:01:31.77262Z,1765152091772,6,81881EE2F14004356E74439BCB5E2D1884967819021F7F1ED16D14B2AF5E71B2,1650146F478A6096E4F980803646FC8EE3C36103,P2P.org 💙,2,245,112984,31,6089,32,0.0595,4833,1154889,1207988,116761,5183716,0.0232420563,5085461.079999999735555974,906676.779693413332048518
8851791,2025-12-08T00:01:37.891224Z,1765152097891,6,DEDAEA5ACB139B53B6673F90ED39ACC070B15FDD6F5B57C77DD6765F7D983BB9,A460F7A9868E3C318FBE8F429665A2E81AE44731,Kraken,4,245,9538,8,6118,8,0.0094,143206,448781,570336,18430,5208901,0.0232420563,5109459.319999999734308067,910955.378353244125515473
8851792,2025-12-08T00:01:43.990915Z,1765152103990,6,564B6E72C680E5A6FBA436086AB349257E543A0AED9A562FBF8DF7B8761346FE,3DEA7F647851564D6764306F108921BBFC29ADCE,senggigi,2,245,113767,31,6099,32,0.0599,4866,1163081,1216180,117544,5192801,0.0232420563,5229286.859999999728077038,932319.193035271674093737
