height,time,timestamp_ms,version_app,hash,proposer_address,proposer_moniker,tx_count,events_count,blobs_size,blobs_count,block_time_ms,square_size,fill_rate,fee_utia,gas_used,gas_limit,bytes_in_block,supply_change,inflation_rate,rewards,commissions
9743922,2026-02-09T00:00:05.53638Z,1770595205536,6,22EF58C4E77D069BDABA2B8EA7DA86CDF40CDE1906372FAEDB70F159A5807D86,D9A12172F21B21626DEE96B258F49561C8C1C982,DTEAM,7,247,1561926,212,6076,64,0.8083,61664,14192630,14365434,1586239,5173085,0.0232420563,5071931.19999999976669113,908184.34430433081984981
9743923,2026-02-09T00:00:11.618339Z,1770595211618,6,01FF0E6390402B7B8BE0A3780CDFB5084DCB2AE0B4F7EAE3E59F442E9D4040AE,CF19732F05DF15B86C4AC5795408D9C767C3E07C,LuckyResearch Labs,11,247,136199,87,6081,32,0.0987,11415,2550459,3042914,193620,5177705,0.0232420563,5134581.619999999763809198,919402.582163726651891562
9743924,2026-02-09T00:00:17.707351Z,1770595217707,6,D459E7443BA294B9B9A3922410534E274855EB222BD402FF40EE70BBE31DE072,CB6133C282991C32985AC2779EA277EE8978AC63,Qubelabs,3,248,27913,91,6089,16,0.0229,3035,718557,758384,44928,5183709,0.0232420563,5091221.519999999765803761,911638.485523876684135338
9743925,2026-02-09T00:00:23.780176Z,1770595223780,6,56E75F0B3CAE6BB5C0A7A5BA86FFA1C772AD83DB20411AA35D3E28FBBF05E613,C5F95CC6D11E428E581F4F48DC9E821B1D55DEF5,Coinbase,3,245,97134,32,6072,16,0.0517,4383,1036816,1095321,101361,5169930,0.0232420563,5069505.699999999766802695,907750.032197118057499329
9743926,2026-02-09T00:00:29.857461Z,1770595229857,6,FBB1236668124D529DE621CC1BED6AC4ED7FEFB137EE6779516B761A39C5455C,9719FBE87CF5FCA701179A5A052B9B031DB5CB42,bitwise,4,244,35090,90,6077,16,0.0232,3093,686679,772613,45626,5173726,0.0232420563,5074546.819999999766570803,908652.699461563491653203
9743927,2026-02-09T00:00:35.941587Z,1770595235941,6,4D3281E5D25FF67D343897D8F112EFBB6537B6ED9B0FE71C2B40261CEAC86F04,A6AE5A4868BE44FF6BBA721467406E75F641C698,Anchorage Digital,5,246,153885,211,6084,32,0.0904,108166,2031958,2541057,177383,5179550,0.0232420563,5078990.139999999766366404,909448.324146049416702511
9743928,2026-02-09T00:00:42.015589Z,1770595242015,6,3524ED79B6D5EEDB6352F221DB4DB3A6658CA133680BBDBB84E0D1895556D805,BB511598F58BB31A5E62A18DE17605392EB1F103,Everstake,4,238,24384,42,6074,16,0.0153,3861,566699,693843,29994,5170931,0.0232420563,5173515.05999999976201826,926374.037272958418622695
9743929,2026-02-09T00:00:42.871861Z,1770595242871,6,1E85BC85B89E243EB79D3EDFD63488903ED0AE2FAC8C0CC1AEA750FD554A512B,CBFB913FC967932260667909727676760FA8FA24,Binary Builders,7,247,153801,191,856,32,0.0895,8898,2067867,2223457,175721,728963,0.0232420563,718167.519999999966964245,128595.69117417590170605
9743930,2026-02-09T00:00:54.171343Z,1770595254171,6,279F7D1659C970EAC4201C51D76F2C927A6B762DA88B6E9F1B473F9E92EB1539,0E418964639C341227B9044C8106CD20DC3C25FD,itrocket,2,245,96829,31,11299,16,0.0513,4063,983380,1015525,100677,9619497,0.0232420563,9435827.099999999565951912,1689587.28142497977837397
9743931,2026-02-09T00:01:00.246581Z,1770595260246,6,09D9A4683A22FBDFAB2A711BA448B5644EE367C4B4A73EAF3D04C55C20CD84DF,5047F9F1E0CFBE4BCB45BBEA0D1AE70B8243412D,Cumulo,9,240,1176220,85,6075,64,0.6052,60390,10623799,15096192,1187694,5171984,0.0232420563,5072526.059999999766663754,908290.860445372495303027
9743932,2026-02-09T00:01:06.331151Z,1770595266331,6,7285F26225A6D31FC02562DEF778426C69AFC2786C6A31BD23CB5745BC659B11,8AC8EE7942D79BAC27B5B38CEDD2404C5E0D8BBD,Keplr,6,247,161710,220,6084,32,0.095,10257,2294819,2563453,186437,5179927,0.0232420563,5135510.659999999763766463,919568.936861762085713074
9743933,2026-02-09T00:01:12.430365Z,1770595272430,6,166C13B23ED4EF062FA13B00A0CAC0EAD961D01C492496DE1240E2DDD751C73E,D2CBEA3FC56E7941C6C7E47C2187246C77535E93,TTT VN,3,243,12648,3,6099,8,0.0071,1327,263328,331198,13859,5192395,0.0232420563,5098598.959999999765464401,912959.496248360593215885
9743934,2026-02-09T00:01:18.497564Z,1770595278497,6,29FC229BA4D2B1EA45CE5FC096FBB7FCF9833B54720A068FF98F8331D91D43BA,05D2E22C1216CD30104BCDB6B122B1E7F1ACB5CD,P-OPS Team,6,243,157894,206,6067,32,0.0923,8852,2082599,2212169,181100,5165139,0.0232420563,5063136.679999999767095659,906609.590021451090826316
9743935,2026-02-09T00:01:24.577396Z,1770595284577,6,0C808E3B42184FF2FEBD0CBDC85D5B332A761A93825851559C6985169128D063,1650146F478A6096E4F980803646FC8EE3C36103,P2P.org 💙,4,249,18097,3,6079,16,0.0158,1970,528715,606806,31072,5175894,0.0232420563,5081051.079999999761190553,909817.746433685504823765
9743936,2026-02-09T00:01:30.659253Z,1770595290659,6,B89AE2B415776AADD1003B48D8A39DCF85DDFD7AA2DBFB7618E88425BAAD9058,026AAE267ACF562B632289AF49FE3CED4A04D252,BinanceNode,5,243,126861,91,6081,32,0.0702,6608,1539005,1651165,137778,5177619,0.0232420563,5075997.219999999761428082,908912.797547402837138906
9743937,2026-02-09T00:01:36.734785Z,1770595296734,6,E8759D45F629C0B646C4410C55DADE81DE8966D0912E85F4AA7B4D5C21D74634,C39CCA4A2300D48C042737BCCE5B1EC6984A42AE,Informal Systems,4,246,57813,187,6075,16,0.04,4708,1088445,1176385,78437,5172234,0.0232420563,5075265.159999999761462489,908781.714200873236060653
9743938,2026-02-09T00:01:42.816081Z,1770595302816,6,35BA69BBC7DF915311AA51827389F74E0DFEF0F149E79BD4F7AA9C2E3FCE78B6,EBBC23A35E43E6A2460BDE3BCD024D964697FFFA,Upnode,4,246,104240,35,6081,16,0.0556,4971,1157158,1242053,109055,5177141,0.0232420563,5078212.019999999761323984,909309.381701562005059751
9743939,2026-02-09T00:01:48.890779Z,1770595308890,6,902E6011D65532E41E2B830CCA9B6AF280A3DEA9E55314643B1EC4DBF604F588,BF3114921E6EB381E34795625E3F332496AE4B73,ChainTrails Team | 🛠️,8,244,186535,273,6074,32,0.1107,11085,2577927,2770311,217264,5171523,0.0232420563,5072964.119999999761570636,908369.687831861852751745
9743940,2026-02-09T00:01:54.968306Z,1770595314968,6,BEA186F804AE4366F651097DE2DFA863BA91C24323DBFDD421B7F9801D00C7A7,E2DDC50DEB3F56AA58F29EB1EBB4631A684F7684,01node,2,248,6647,4,6077,8,0.0039,793,166166,197905,7685,5173933,0.0232420563,5081317.639999999761178029,909865.476915955988750521
9743941,2026-02-09T00:02:01.04017Z,1770595321040,6,691FCD81719305EDDDC7BF47B459725CC29966B0A40E0670FFB9D5B3FA09CBAB,4DBE15F6A319F03E592FD31DEC25B8A4CD04F2A1,Neoprom,6,238,117734,85,6071,32,0.0654,6497,1485314,1623661,128302,5169111,0.0232420563,5066505.919999999761874172,907213.276515087995849827
9743942,2026-02-09T00:02:07.127616Z,1770595327127,6,DEBE93C2CA5217E8B713DDD3D45D2A12B31159521E2A57628F76574289E0D117,0B7919979186EDD15EDCD43D2932FE5DDCB91181,iqlusion,3,243,60139,182,6087,16,0.0408,4442,1059797,1110173,80018,5182376,0.0232420563,5085095.539999999761000462,910541.951214311560580096
9743943,2026-02-09T00:02:13.20008Z,1770595333200,6,95B8F218A385107D3032C55273F983A0EDEEEC6A1299F3FF60FDF21BECC2EAE3,70C6BD00EE64DB5D60F5ACC8B4629CD610346889,Cosmostation,5,245,98684,36,6072,16,0.0599,5986,1341118,1495672,117620,5169622,0.0232420563,5070582.719999999761682562,907943.272126283632376679
9743944,2026-02-09T00:02:19.27843Z,1770595339278,6,0E261A2711809AAFB7027D38AB2C1E4E7517CF0EE0756313DAE463122A821721,CFB7445F2A7D7B68357BDA2358226ED26285E829,Swiss Staking,5,244,74414,178,6078,16,0.0481,5581,1281578,1394636,94433,5174633,0.0232420563,5077006.619999999761380638,909093.541653059449067429
9743945,2026-02-09T00:02:25.348931Z,1770595345348,6,EE7EAE9D8B5B5B6BB3BB075DF0957E905459875F5E94241DF542A6043D7CE3BE,5944971767F0F5F1B03E0F5B48E1E539C8196CA8,bitcoinsuisse.com,4,246,98647,37,6070,16,0.0528,4779,1109432,1194301,103670,5167951,0.0232420563,5070061.359999999761707062,907849.916918313421166996
9743946,2026-02-09T00:02:31.434912Z,1770595351434,6,D265B0DE9D469FA3E637CD52EF63E9E6B1D50CA76859569A68913BAD1AAF080D,5BF16429EF39D58D9D428842DB7C582FB5844C88,Kiln,4,244,20077,45,6085,16,0.0132,2213,467653,552733,25932,5181129,0.0232420563,5082189.83999999976113703,910021.65386162043983439
9743947,2026-02-09T00:02:37.520212Z,1770595357520,6,0534A6D3337CF633BE27CA4302E793D65617DB74468B9272724A0EF3C1997B45,126403A2CAA36DBDE0FB64A7AE72ED82979366F7,alphab.ai,5,230,164232,215,6085,32,0.0958,8889,2109572,2221713,188099,5180550,0.0232420563,5079107.73999999976128189,909469.770160367969431276
