height,time,timestamp_ms,version_app,hash,proposer_address,proposer_moniker,tx_count,events_count,blobs_size,blobs_count,block_time_ms,square_size,fill_rate,fee_utia,gas_used,gas_limit,bytes_in_block,supply_change,inflation_rate,rewards,commissions
8668595,2025-11-25T00:00:01.241231Z,1764028801241,6,760C392454BA965C89C25B57AA1D07100B6C82C2B84E7DBB795A616BD1F0DC44,54FD50A55FEDC0D9338421AB32F08C9A9AD66CBE,don’t stake,1,247,167154,50,6115,32,0.088,6470,1590156,1617328,172632,5206019,0.0232420563,5103387.239999999729520425,944052.88015251960103358
8668596,2025-11-25T00:00:07.355312Z,1764028807355,6,AA4AB21C2DA19E9B3EAB5E59123DDA6BA41B6077ECE9C1BE1DEFE53B7E1636F9,6D547BD5B5A8C2092DA9EFD3789C4E98BBD35680,SHUTDOWN | REDELEGATE,7,245,15349,6,6114,16,0.017,10486,787074,1182882,33370,5205051,0.0232420563,5107290.579999999729313551,944774.941637552928792477
8668597,2025-11-25T00:00:13.468925Z,1764028813468,6,2E68168D9D238DF4C92B6458D3F91A0941F0230B6473E54DF02772EE53D761A2,1650146F478A6096E4F980803646FC8EE3C36103,P2P.org 💙,3,247,0,0,6113,4,0.001,9634,727160,1034511,2017,5204653,0.0232420563,5110836.219999999729125628,945430.83379242377484613
8668598,2025-11-25T00:00:19.584097Z,1764028819584,6,910707FE5B42C5C8ABF67322A10087771B6B086DE90713D3E967AE8321A428F1,1E7BA20AACF7EF2CDEA41CDFF8DCEDFBCF12F363,ZKV,7,245,187725,117,6115,32,0.1133,34894,2459977,2764869,222284,5205980,0.0232420563,5111301.719999999729100955,945516.944564553031859806
8668599,2025-11-25T00:00:25.704965Z,1764028825704,6,08772AE46BD818562D8D3D3D87171CE38B05B257B67803A5D6FE6C39CFE885E1,D83849519A5CB73E4A9E3BCDF044C6EE8A32156B,Finoa Consensus Services,3,247,804,1,6120,4,0.0009,201678,193066,1083892,1837,5210830,0.0232420563,5140809.519999999727537047,950975.461088367618558387
8668600,2025-11-25T00:00:31.805189Z,1764028831805,6,5EB516ED43CA66E8767EC6D04043CF145D3AB705CD939F7DAB964A46302102D4,16FDAFCC4EF8CD4820742D476E4031E47F0CDAE7,bitszn,3,246,4127,4,6100,4,0.0027,1286,189851,268760,5370,5193254,0.0232420563,5287033.359999999719787184,978024.758115445893288408
8668601,2025-11-25T00:00:37.937737Z,1764028837937,6,8CA3D8728A72986DAC0F351B494D7B277CC2CC147ADFBA26FA31BFD79327F4DB,4C34EB077B1988668114B9AFD7EB7507B6ED90B7,node101,1,246,500000,1,6132,64,0.255,17310,4301112,4327348,500385,5220773,0.0232420563,5117617.819999999728766204,946685.331777970003340122
8668602,2025-11-25T00:00:44.050441Z,1764028844050,6,A8C1AAAB20E207A18C23B15F41A6DE534173F75BB39050A2D6A1A234B0A6FE71,70C6BD00EE64DB5D60F5ACC8B4629CD610346889,Cosmostation,5,246,166225,56,6112,32,0.0884,9198,1780902,1913336,173429,5203879,0.0232420563,5116765.219999999728811391,946527.613100596416809812
8668603,2025-11-25T00:00:50.158959Z,1764028850158,6,EC80937BDA96624AFE7D4BA192E8A96C911513214F38335AB3636D0B7DCFE5D8,FA2888809D74B32C9474BFE48A76801D64A69CA6,STAKEME,1,248,500000,1,6108,64,0.255,17310,4301112,4327348,500385,5200316,0.0232420563,5105323.719999999729417789,944411.100964577310210476
8668604,2025-11-25T00:00:56.28529Z,1764028856285,6,9173127244E6A90177E17F3C2FF1D652521B414622D47871E94D476E1E5D8DBD,05D2E22C1216CD30104BCDB6B122B1E7F1ACB5CD,P-OPS Team,5,240,171303,54,6126,32,0.0909,10043,1924322,2107362,178360,5215480,0.0232420563,5128134.199999999728208843,948630.71008474696547438
