timestamp_ms,date,avail_usd,cost_per_mib_usd
1763578931550,2025-11-19T19:02:11.550Z,0.007795,0.04465104
1763582541363,2025-11-19T20:02:21.363Z,0.007814,0.04476002
1763586161397,2025-11-19T21:02:41.397Z,0.008326,0.04769400
1763589773214,2025-11-19T22:02:53.214Z,0.008407,0.04815860
1763593300828,2025-11-19T23:01:40.828Z,0.008089,0.04633485
1763596955876,2025-11-20T00:02:35.876Z,0.008780,0.05029450
1763600517013,2025-11-20T01:01:57.013Z,0.009141,0.05235972
1763604095686,2025-11-20T02:01:35.686Z,0.009589,0.05493076
1763607719684,2025-11-20T03:01:59.684Z,0.009363,0.05363331
1763611397038,2025-11-20T04:03:17.038Z,0.008890,0.05092349
1763614994553,2025-11-20T05:03:14.553Z,0.008909,0.05103593
1763618610353,2025-11-20T06:03:30.353Z,0.009177,0.05256755
1763622442697,2025-11-20T07:07:22.697Z,0.008864,0.05077394
1763625831857,2025-11-20T08:03:51.857Z,0.008729,0.05000054
1763629480026,2025-11-20T09:04:40.026Z,0.008893,0.05094247
1763632818238,2025-11-20T10:00:18.238Z,0.008745,0.05009455
1763636415883,2025-11-20T11:00:15.883Z,0.008705,0.04986361
1763640043508,2025-11-20T12:00:43.508Z,0.008676,0.04969813
1763643703175,2025-11-20T13:01:43.175Z,0.008524,0.04882517
1763647553511,2025-11-20T14:05:53.511Z,0.008666,0.04964264
1763650894060,2025-11-20T15:01:34.060Z,0.008801,0.05041222
1763654496100,2025-11-20T16:01:36.100Z,0.008577,0.04913067
1763658098246,2025-11-20T17:01:38.246Z,0.008281,0.04743321
1763661937799,2025-11-20T18:05:37.799Z,0.008362,0.04790029
1763665288854,2025-11-20T19:01:28.854Z,0.008365,0.04791448
1763668895308,2025-11-20T20:01:35.308Z,0.008264,0.04733845
1763672439968,2025-11-20T21:00:39.968Z,0.008151,0.04669402
1763676119621,2025-11-20T22:01:59.621Z,0.008619,0.04937190
1763680009187,2025-11-20T23:06:49.187Z,0.008596,0.04923937
1763683344433,2025-11-21T00:02:24.433Z,0.008934,0.05117747
1763686912992,2025-11-21T01:01:52.992Z,0.008881,0.05087520
1763690510567,2025-11-21T02:01:50.567Z,0.009027,0.05170959
1763694217356,2025-11-21T03:03:37.356Z,0.009734,0.05576180
1763697819455,2025-11-21T04:03:39.455Z,0.009669,0.05538747
1763701452491,2025-11-21T05:04:12.491Z,0.009504,0.05444243
1763705030016,2025-11-21T06:03:50.016Z,0.009109,0.05217646
1763708524739,2025-11-21T07:02:04.739Z,0.008900,0.05098089
1763712117215,2025-11-21T08:01:57.215Z,0.008493,0.04864759
1763715790100,2025-11-21T09:03:10.100Z,0.008381,0.04800807
1763719416123,2025-11-21T10:03:36.123Z,0.008377,0.04798684
1763722961715,2025-11-21T11:02:41.715Z,0.008159,0.04673646
1763726647539,2025-11-21T12:04:07.539Z,0.007816,0.04477284
1763730096443,2025-11-21T13:01:36.443Z,0.008144,0.04665382
1763733705203,2025-11-21T14:01:45.203Z,0.008179,0.04684896
1763737296020,2025-11-21T15:01:36.020Z,0.008007,0.04586587
1763740879721,2025-11-21T16:01:19.721Z,0.007827,0.04483736
1763744505003,2025-11-21T17:01:45.003Z,0.008023,0.04595993
1763748117943,2025-11-21T18:01:57.943Z,0.008048,0.04610068
1763751726085,2025-11-21T19:02:06.085Z,0.008126,0.04654661
1763755388053,2025-11-21T20:03:08.053Z,0.008145,0.04665494
1763759010845,2025-11-21T21:03:30.845Z,0.008124,0.04653784
1763762511852,2025-11-21T22:01:51.852Z,0.008287,0.04746908
1763766150441,2025-11-21T23:02:30.441Z,0.008127,0.04655249
1763770098059,2025-11-22T00:08:18.059Z,0.008080,0.04628463
1763773340379,2025-11-22T01:02:20.379Z,0.008077,0.04626757
1763776936617,2025-11-22T02:02:16.617Z,0.007983,0.04572780
1763780609560,2025-11-22T03:03:29.560Z,0.007859,0.04501969
1763784048658,2025-11-22T04:00:48.658Z,0.007815,0.04476634
1763787646688,2025-11-22T05:00:46.688Z,0.007732,0.04429291
1763791248031,2025-11-22T06:00:48.031Z,0.007709,0.04415726
1763794840841,2025-11-22T07:00:40.841Z,0.007721,0.04422571
1763798487961,2025-11-22T08:01:27.961Z,0.007689,0.04404321
1763802117359,2025-11-22T09:01:57.359Z,0.007931,0.04543025
1763805738319,2025-11-22T10:02:18.319Z,0.007595,0.04350857
1763809336593,2025-11-22T11:02:16.593Z,0.007592,0.04349181
1763813209632,2025-11-22T12:06:49.632Z,0.007644,0.04378822
1763816504068,2025-11-22T13:01:44.068Z,0.007663,0.04389854
1763820102543,2025-11-22T14:01:42.543Z,0.007618,0.04363605
1763823994954,2025-11-22T15:06:34.954Z,0.007702,0.04411990
1763827312609,2025-11-22T16:01:52.609Z,0.007746,0.04437303
1763830974213,2025-11-22T17:02:54.213Z,0.007874,0.04510574
1763834535482,2025-11-22T18:02:15.482Z,0.007944,0.04550428
1763838124494,2025-11-22T19:02:04.494Z,0.007942,0.04549447
1763841633596,2025-11-22T20:00:33.596Z,0.007942,0.04549246
1763845355051,2025-11-22T21:02:35.051Z,0.007815,0.04476938
1763848971223,2025-11-22T22:02:51.223Z,0.007946,0.04551960
1763852508801,2025-11-22T23:01:48.801Z,0.007963,0.04561279
1763856385749,2025-11-23T00:06:25.749Z,0.007922,0.04538050
1763859718853,2025-11-23T01:01:58.853Z,0.007833,0.04487020
1763863314821,2025-11-23T02:01:54.821Z,0.007782,0.04457890
1763866904037,2025-11-23T03:01:44.037Z,0.007720,0.04422346
1763870511103,2025-11-23T04:01:51.103Z,0.007709,0.04415692
1763874144298,2025-11-23T05:02:24.298Z,0.007726,0.04425871
1763877707281,2025-11-23T06:01:47.281Z,0.007791,0.04462691
1763881304341,2025-11-23T07:01:44.341Z,0.007790,0.04462569
1763884899991,2025-11-23T08:01:39.991Z,0.007729,0.04427279
1763888532191,2025-11-23T09:02:12.191Z,0.007749,0.04438853
1763892129698,2025-11-23T10:02:09.698Z,0.007787,0.04460348
1763895697069,2025-11-23T11:01:37.069Z,0.007994,0.04578987
1763899293492,2025-11-23T12:01:33.492Z,0.007887,0.04517935
1763903002665,2025-11-23T13:03:22.665Z,0.008034,0.04602112
1763906497274,2025-11-23T14:01:37.274Z,0.008144,0.04664993
1763910068634,2025-11-23T15:01:08.634Z,0.008111,0.04646395
1763914028017,2025-11-23T16:07:08.017Z,0.008129,0.04656785
1763917328005,2025-11-23T17:02:08.005Z,0.008158,0.04672982
1763921269318,2025-11-23T18:07:49.318Z,0.008180,0.04685971
1763924528566,2025-11-23T19:02:08.566Z,0.008054,0.04613758
1763928260000,2025-11-23T20:04:20.000Z,0.008036,0.04603212
1763932009147,2025-11-23T21:06:49.147Z,0.008192,0.04692848
1763935562502,2025-11-23T22:06:02.502Z,0.008113,0.04647547
1763938861298,2025-11-23T23:01:01.298Z,0.008142,0.04663911
1763942461703,2025-11-24T00:01:01.703Z,0.008400,0.04811569
1763946061118,2025-11-24T01:01:01.118Z,0.008581,0.04915376
1763949643038,2025-11-24T02:00:43.038Z,0.008579,0.04914118
1763953263150,2025-11-24T03:01:03.150Z,0.008454,0.04842825
1763956859860,2025-11-24T04:00:59.860Z,0.008432,0.04829896
1763960458110,2025-11-24T05:00:58.110Z,0.008450,0.04840296
1763964053645,2025-11-24T06:00:53.645Z,0.008466,0.04849756
1763967655282,2025-11-24T07:00:55.282Z,0.008335,0.04774661
1763971250520,2025-11-24T08:00:50.520Z,0.008386,0.04803934
1763974855007,2025-11-24T09:00:55.007Z,0.008323,0.04767559
1763978456291,2025-11-24T10:00:56.291Z,0.008338,0.04776251
1763982051650,2025-11-24T11:00:51.650Z,0.008227,0.04712495
1763985658168,2025-11-24T12:00:58.168Z,0.008213,0.04704841
1763989259131,2025-11-24T13:00:59.131Z,0.008183,0.04687639
1763993011850,2025-11-24T14:03:31.850Z,0.008141,0.04663227
1763996572424,2025-11-24T15:02:52.424Z,0.008102,0.04641167
1764000153027,2025-11-24T16:02:33.027Z,0.008046,0.04608932
1764003729778,2025-11-24T17:02:09.778Z,0.008147,0.04666936
1764007263882,2025-11-24T18:01:03.882Z,0.008165,0.04677297
1764010820061,2025-11-24T19:00:20.061Z,0.008170,0.04679906
1764014419860,2025-11-24T20:00:19.860Z,0.008167,0.04678092
1764018019487,2025-11-24T21:00:19.487Z,0.008168,0.04678708
1764021617322,2025-11-24T22:00:17.322Z,0.008233,0.04715941
1764025217193,2025-11-24T23:00:17.193Z,0.008259,0.04731083
1764028911024,2025-11-25T00:01:51.024Z,0.008174,0.04682141
1764032531307,2025-11-25T01:02:11.307Z,0.008205,0.04700091
1764036257661,2025-11-25T02:04:17.661Z,0.008123,0.04653034
1764039733709,2025-11-25T03:02:13.709Z,0.008189,0.04691031
1764043318082,2025-11-25T04:01:58.082Z,0.008118,0.04650069
