_day,sample_count,avg_included,avg_backed,avg_cores_active,avg_distinct_paras,avg_bitfields,total_timed_out,total_disputes,median_block,mean_availability,p10_included,p50_included,p90_included,era,effective_cores,max_pov_bytes,max_pov_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,daily_data_mib,pipeline_efficiency_pct,timed_out_rate_pct,core_engagement_pct,para_diversity_ratio,purchase_count,bulk_p10_price_dot,bulk_p50_price_dot,bulk_p90_price_dot,daily_bulk_spend_dot,bulk_p10_cost_per_mib_dot,bulk_p50_cost_per_mib_dot,bulk_p90_cost_per_mib_dot,renewal_count,renewal_p50_price_dot,daily_renewal_spend_dot,renewal_p50_cost_per_mib_dot,sales_started,sale_cores_offered,sale_start_price_dot,sale_end_price_dot,avg_dot_usd,bulk_p50_price_per_core_dot,renewal_p50_price_per_core_dot,bulk_p10_cost_per_mib_usd,bulk_p50_cost_per_mib_usd,bulk_p90_cost_per_mib_usd,renewal_p50_cost_per_mib_usd,bulk_p50_price_per_core_usd,renewal_p50_price_per_core_usd,daily_bulk_spend_usd,daily_renewal_spend_usd,daily_total_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,bulk_p50_cost_per_mib_usd_7d,pipeline_efficiency_pct_7d,core_engagement_pct_7d,actual_mib_per_s_30d,utilization_pct_30d,cumulative_daily_data_mib,cumulative_daily_total_spend_usd
2025-11-15,2977,26.121934833725227,26.12462210278804,26.121934833725227,26.121934833725227,596.8763856231105,0.0,0.0,28656912.0,0.9956310016977928,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.53655805620871,166.66666666666666,26.121934833725224,3761558.6160564325,99.98971365383873,0.0,26.121934833725224,1.0,,,,,,,,,3.0,10.3,127.56745263050001,2.554563492063492e-06,1.0,72.0,1000.0,10.0,2.8220436827329336,,10.3,,,,7.209089764917961e-06,,29.067049932149217,0.0,360.0009238182353,360.0009238182353,43.53655805620871,26.121934833725224,3761558.6160564325,,99.98971365383873,26.121934833725224,43.53655805620871,26.121934833725224,3761558.6160564325,360.0009238182353
2025-11-16,14327,26.13024359600754,26.129824806309763,26.13024359600754,26.13024359600754,597.6534515250925,0.0,0.0,28665564.0,0.9973193335671695,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.5504059933459,166.66666666666666,26.130243596007542,3762755.0778250857,100.0016027267725,0.0,26.130243596007542,1.0,,,,,,,,,1.0,10.609,10.609,2.631200396825397e-06,,,,,2.8337829221608968,,10.609,,,,7.456250749306784e-06,,30.063603021204955,0.0,30.063603021204955,30.063603021204955,43.543482024777305,26.126089214866383,3762156.846940759,,99.99565819030562,26.126089214866383,43.543482024777305,26.126089214866383,7524313.693881518,390.0645268394403
2025-11-17,14328,26.415131211613623,26.415829145728644,26.415131211613623,26.415131211613623,597.4607761027358,0.0,0.0,28679891.5,0.9992925938901346,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,44.025218686022704,166.66666666666666,26.415131211613623,3803778.894472362,99.99735789434747,0.0,26.415131211613623,1.0,,,,,,,,,9.0,10.609,198.6129815678,2.631200396825397e-06,,,,,2.797543085794601,,10.609,,,,7.360896477478899e-06,,29.67913459719492,0.0,555.6283733340495,555.6283733340495,43.7040609118591,26.222436547115464,3776030.8627846264,,99.99622475831957,26.222436547115464,43.7040609118591,26.222436547115464,11328092.58835388,945.6929001734898
2025-11-18,14278,26.51113601344726,26.51036559742261,26.51113601344726,26.51113601344726,592.1620675164589,0.0,0.0,28694194.5,0.9987378629173991,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,44.18522668907877,166.66666666666666,26.511136013447263,3817603.585936405,100.00290609354978,0.0,26.511136013447263,1.0,,,,,,,,,7.0,10.0,70.0,2.48015873015873e-06,,,,,2.657851066700615,,10.0,,,,6.591892526539224e-06,,26.578510667006153,0.0,186.04957466904307,186.04957466904307,43.82435235616402,26.294611413698412,3786424.043572571,,99.99789509212712,26.294611413698412,43.82435235616402,26.294611413698412,15145696.174290285,1131.7424748425328
2025-11-19,14228,26.553626651672758,26.5558054540343,26.553626651672758,26.553626651672758,592.2736856901884,0.0,3.0,28708447.5,0.9971450109147242,21.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,44.25604441945459,166.66666666666666,26.553626651672758,3823722.237840877,99.99179538212346,0.0,26.553626651672758,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.910690768822136,26.346414461293286,3793883.682426232,,99.99667515012638,26.346414461293286,43.910690768822136,26.346414461293286,18969418.41213116,1131.7424748425328
2025-11-20,14242,26.106164864485326,26.106235079342788,26.106164864485326,26.106164864485326,592.7131723072603,0.0,0.0,28722682.5,0.9977582592121983,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.51027477414221,166.66666666666666,26.106164864485326,3759287.740485887,99.99973104180955,0.0,26.106164864485326,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.84395476970881,26.30637286182529,3788117.6921028416,,99.99718446540692,26.30637286182529,43.84395476970881,26.30637286182529,22728706.15261705,1131.7424748425328
2025-11-21,14236,25.95089912896881,25.95047766226468,25.95089912896881,25.95089912896881,592.5849255408823,0.0,0.0,28736921.5,0.9973726836497071,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.25149854828135,166.66666666666666,25.950899128968814,3736929.4745715084,100.00162411925366,0.0,25.950899128968814,1.0,,,,,,,,,1.0,10.609,10.609,2.631200396825397e-06,,,,,2.5408524628387545,,10.609,,,,6.685492008496118e-06,,26.955903778256346,0.0,26.955903778256346,26.955903778256346,43.759318166647745,26.25559089998865,3780805.089598365,,99.99781870167074,26.25559089998865,43.759318166647745,26.25559089998865,26465635.627188556,1158.698378620789
2025-11-22,14262,25.825480297293506,25.825129715327442,25.825480297293506,25.825480297293506,592.5142336278221,0.0,0.0,28751170.5,0.9990602463921155,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,43.042467162155845,166.66666666666666,25.825480297293506,3718869.162810265,100.0013575225756,0.0,25.825480297293506,1.0,,,,,,,,,2.0,10.3045,20.609,2.555679563492064e-06,,,,,2.349174783284178,,10.3045,,,,6.003737984710272e-06,,24.207071554351813,0.0,48.41414310870363,48.41414310870363,43.68873375321162,26.213240251926976,3774706.596277484,,99.99948211149028,26.213240251926976,43.66971179108626,26.201827074651757,30184504.789998822,1207.1125217294928
2025-11-23,14231,25.9076663621671,25.907877169559413,25.9076663621671,25.9076663621671,592.636919401307,0.0,0.0,28765417.0,0.9993266868786577,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,43.17944393694517,166.66666666666666,25.9076663621671,3730703.9561520624,99.99918631931541,0.0,25.9076663621671,1.0,,,,,,,,,1.0,10.609,10.609,2.631200396825397e-06,,,,,2.309724575172674,,10.609,,,,6.077348218751711e-06,,24.503868018006898,0.0,24.503868018006898,24.503868018006898,43.63573917372581,26.181443504235485,3770127.8646099092,,99.999136910425,26.181443504235485,43.61523758507058,26.169142551042352,33915208.74615088,1231.6163897474996
2025-11-24,14225,25.93602811950791,25.937715289982425,25.93602811950791,25.93602811950791,592.7029173989455,0.0,0.0,28779645.0,0.9992526720790681,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.22671353251318,166.66666666666666,25.93602811950791,3734788.049209139,99.99349530035452,0.0,25.93602811950791,1.0,,,,,,,,,1.0,10.0,10.0,2.48015873015873e-06,,,,,2.2587171604645464,,10.0,,,,5.601977084485482e-06,,22.587171604645462,0.0,22.587171604645462,22.587171604645462,43.52166700893873,26.113000205363242,3760272.0295723067,,99.99858511128313,26.113000205363242,43.57638517981484,26.145831107888903,37649996.79536002,1254.203561352145
