_hour,sample_count,avg_included,avg_backed,avg_cores_active,avg_distinct_paras,avg_bitfields,total_timed_out,median_block,mean_availability,p10_included,p50_included,p90_included,era,effective_cores,max_pov_bytes,max_pov_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,hourly_data_mib,pipeline_efficiency_pct,timed_out_rate_pct,core_engagement_pct,avg_dot_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_data_mib_24h,pipeline_efficiency_pct_24h,core_engagement_pct_24h,cumulative_hourly_data_mib
2025-11-15 19:00:00+00:00,577,26.369150779896014,26.38994800693241,26.369150779896014,26.369150779896014,594.9185441941074,0.0,28655712.0,0.9940680140597541,20.0,27.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.94858463316002,166.66666666666666,26.36915077989601,158214.90467937608,99.92119261837524,0.0,26.36915077989601,2.8220436827329336,43.94858463316002,26.36915077989601,158214.90467937608,99.92119261837524,26.36915077989601,158214.90467937608
2025-11-15 20:00:00+00:00,600,26.01,25.991666666666667,26.01,26.01,597.6516666666666,0.0,28656300.5,0.9954861486486487,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.35,166.66666666666666,26.009999999999998,156060.0,100.0705354280218,0.0,26.009999999999998,2.8220436827329336,43.64929231658001,26.189575389948004,157137.45233968802,99.99586402319852,26.189575389948004,314274.90467937605
2025-11-15 21:00:00+00:00,600,26.278333333333332,26.305,26.278333333333332,26.278333333333332,597.4116666666666,0.0,28656900.5,0.9960602006688963,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.79722222222222,166.66666666666666,26.278333333333332,157669.99999999997,99.89862510295889,0.0,26.278333333333332,2.8220436827329336,43.698602285127414,26.21916137107645,157314.96822645867,99.9634510497853,26.21916137107645,471944.90467937605
2025-11-15 22:00:00+00:00,600,25.933333333333334,25.905,25.933333333333334,25.933333333333334,597.8383333333334,0.0,28657500.5,0.9962981355932202,20.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.22222222222222,166.66666666666666,25.933333333333337,155600.0,100.10937399472431,0.0,25.933333333333337,2.8220436827329336,43.57950726940111,26.14770436164067,156886.226169844,99.99993178602006,26.14770436164067,627544.904679376
2025-11-15 23:00:00+00:00,600,26.028333333333332,26.041666666666668,26.028333333333332,26.028333333333332,596.4866666666667,0.0,28658100.5,0.9961760067114095,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.38055555555555,166.66666666666666,26.028333333333332,156169.99999999997,99.94879999999999,0.0,26.028333333333332,2.8220436827329336,43.539716926632,26.123830155979203,156742.9809358752,99.98970542881605,26.123830155979203,783714.904679376
2025-11-16 00:00:00+00:00,600,26.071666666666665,26.053333333333335,26.071666666666665,26.071666666666665,597.9616666666667,0.0,28658700.5,0.9962140939597316,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.452777777777776,166.66666666666666,26.071666666666665,156429.99999999997,100.07036847492323,0.0,26.071666666666665,2.8337829221608968,43.525227068489635,26.11513624109378,156690.81744656267,100.00314926983391,26.11513624109378,940144.904679376
2025-11-16 01:00:00+00:00,600,26.121666666666666,26.136666666666667,26.121666666666666,26.121666666666666,597.85,0.0,28659300.5,0.9961911519198664,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,43.536111111111104,166.66666666666666,26.121666666666666,156729.99999999997,99.94260936105088,0.0,26.121666666666666,2.8337829221608968,43.52678193172127,26.116069159032765,156696.41495419657,99.99450071143633,26.116069159032765,1096874.904679376
2025-11-16 02:00:00+00:00,600,25.976666666666667,25.973333333333333,25.976666666666667,25.976666666666667,597.8066666666666,0.0,28659900.5,0.9962500837520938,21.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,43.294444444444444,166.66666666666666,25.976666666666663,155860.0,100.01283367556468,0.0,25.976666666666663,2.8337829221608968,43.497739745811664,26.098643847487,156591.863084922,99.99679233195238,26.098643847487,1252734.904679376
2025-11-16 03:00:00+00:00,600,26.07,26.08,26.07,26.07,596.9533333333334,0.0,28660500.5,0.9958479933110368,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,43.449999999999996,166.66666666666666,26.07,156420.0,99.96165644171779,0.0,26.07,2.8337829221608968,43.492435329610366,26.095461197766223,156572.76718659734,99.99288834414853,26.095461197766223,1409154.904679376
2025-11-16 04:00:00+00:00,600,26.06,26.055,26.06,26.06,597.9266666666666,0.0,28661100.5,0.9959021848739495,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.43333333333333,166.66666666666666,26.06,156359.99999999997,100.0191901746306,0.0,26.06,2.8337829221608968,43.48652512998267,26.091915077989604,156551.4904679376,99.99551852719674,26.091915077989604,1565514.904679376
2025-11-16 05:00:00+00:00,600,26.258333333333333,26.263333333333332,26.258333333333333,26.258333333333333,597.9283333333333,0.0,28661700.5,0.996159265442404,19.0,27.0,34.0,#1629 (100 cores),100,10485760.0,10.0,43.763888888888886,166.66666666666666,26.258333333333333,157550.0,99.9809620510217,0.0,26.258333333333333,2.8337829221608968,43.51174001715596,26.107044010293578,156642.26406176144,99.99419521118084,26.107044010293578,1723064.904679376
