timestamp_ms,date,near_usd
1763053294579,2025-11-13T17:01:34.579000+00:00,2.477346
1763056874602,2025-11-13T18:01:14.602000+00:00,2.428745
1763060509027,2025-11-13T19:01:49.027000+00:00,2.403165
1763064130337,2025-11-13T20:02:10.337000+00:00,2.410774
1763067730593,2025-11-13T21:02:10.593000+00:00,2.404423
1763071296782,2025-11-13T22:01:36.782000+00:00,2.404891
1763075102015,2025-11-13T23:05:02.015000+00:00,2.452450
1763078608919,2025-11-14T00:03:28.919000+00:00,2.444745
1763082119548,2025-11-14T01:01:59.548000+00:00,2.424129
1763086005479,2025-11-14T02:06:45.479000+00:00,2.418008
1763089251498,2025-11-14T03:00:51.498000+00:00,2.402352
1763092859040,2025-11-14T04:00:59.040000+00:00,2.382881
1763096466010,2025-11-14T05:01:06.010000+00:00,2.352351
1763100124550,2025-11-14T06:02:04.550000+00:00,2.408235
1763103647300,2025-11-14T07:00:47.300000+00:00,2.411846
1763107262409,2025-11-14T08:01:02.409000+00:00,2.396666
1763110902179,2025-11-14T09:01:42.179000+00:00,2.374460
1763114727827,2025-11-14T10:05:27.827000+00:00,2.361677
1763118037966,2025-11-14T11:00:37.966000+00:00,2.383464
1763121715263,2025-11-14T12:01:55.263000+00:00,2.363855
1763125433214,2025-11-14T13:03:53.214000+00:00,2.391273
1763128897982,2025-11-14T14:01:37.982000+00:00,2.410939
1763132783000,2025-11-14T15:06:23+00:00,2.414679
1763136129992,2025-11-14T16:02:09.992000+00:00,2.443181
1763139889667,2025-11-14T17:04:49.667000+00:00,2.429144
1763143334283,2025-11-14T18:02:14.283000+00:00,2.401941
1763146909105,2025-11-14T19:01:49.105000+00:00,2.411452
1763150524340,2025-11-14T20:02:04.340000+00:00,2.438714
1763154174672,2025-11-14T21:02:54.672000+00:00,2.371475
1763157698607,2025-11-14T22:01:38.607000+00:00,2.376573
1763161232043,2025-11-14T23:00:32.043000+00:00,2.367507
1763164901361,2025-11-15T00:01:41.361000+00:00,2.359487
1763168491245,2025-11-15T01:01:31.245000+00:00,2.378797
1763172245429,2025-11-15T02:04:05.429000+00:00,2.400769
1763175702035,2025-11-15T03:01:42.035000+00:00,2.435267
1763179318425,2025-11-15T04:01:58.425000+00:00,2.482052
1763183055870,2025-11-15T05:04:15.870000+00:00,2.555171
1763186570514,2025-11-15T06:02:50.514000+00:00,2.557574
1763190079502,2025-11-15T07:01:19.502000+00:00,2.593037
1763193748417,2025-11-15T08:02:28.417000+00:00,2.540596
1763197315583,2025-11-15T09:01:55.583000+00:00,2.475460
1763200898913,2025-11-15T10:01:38.913000+00:00,2.465058
1763204510326,2025-11-15T11:01:50.326000+00:00,2.472910
1763208059559,2025-11-15T12:00:59.559000+00:00,2.476407
1763211694525,2025-11-15T13:01:34.525000+00:00,2.541297
1763215267000,2025-11-15T14:01:07+00:00,2.512976
1763218991151,2025-11-15T15:03:11.151000+00:00,2.493256
1763222535864,2025-11-15T16:02:15.864000+00:00,2.490960
1763226088979,2025-11-15T17:01:28.979000+00:00,2.468329
1763229654065,2025-11-15T18:00:54.065000+00:00,2.469842
1763233281704,2025-11-15T19:01:21.704000+00:00,2.454565
1763236893864,2025-11-15T20:01:33.864000+00:00,2.453292
1763240542271,2025-11-15T21:02:22.271000+00:00,2.428078
1763244123980,2025-11-15T22:02:03.980000+00:00,2.400411
1763247684655,2025-11-15T23:01:24.655000+00:00,2.411418
1763251274133,2025-11-16T00:01:14.133000+00:00,2.408382
1763254805229,2025-11-16T01:00:05.229000+00:00,2.391064
1763258553390,2025-11-16T02:02:33.390000+00:00,2.387970
1763262198418,2025-11-16T03:03:18.418000+00:00,2.430618
1763265668376,2025-11-16T04:01:08.376000+00:00,2.436641
1763269322799,2025-11-16T05:02:02.799000+00:00,2.422116
1763272882811,2025-11-16T06:01:22.811000+00:00,2.474471
1763276526618,2025-11-16T07:02:06.618000+00:00,2.475077
1763280151077,2025-11-16T08:02:31.077000+00:00,2.469955
1763283682485,2025-11-16T09:01:22.485000+00:00,2.456452
1763287312269,2025-11-16T10:01:52.269000+00:00,2.496527
1763290897906,2025-11-16T11:01:37.906000+00:00,2.538238
1763294467174,2025-11-16T12:01:07.174Z,2.478970
1763298108167,2025-11-16T13:01:48.167Z,2.491781
1763301715073,2025-11-16T14:01:55.073Z,2.419509
1763305317069,2025-11-16T15:01:57.069Z,2.424382
1763309195482,2025-11-16T16:06:35.482Z,2.342672
1763312467942,2025-11-16T17:01:07.942Z,2.295552
1763316180948,2025-11-16T18:03:00.948Z,2.298743
1763319969037,2025-11-16T19:06:09.037Z,2.295911
1763323280066,2025-11-16T20:01:20.066Z,2.275720
1763326902287,2025-11-16T21:01:42.287Z,2.259171
1763330530194,2025-11-16T22:02:10.194Z,2.256701
1763334051765,2025-11-16T23:00:51.765Z,2.287267
1763337685792,2025-11-17T00:01:25.792Z,2.293196
1763341291568,2025-11-17T01:01:31.568Z,2.313620
1763344844763,2025-11-17T02:00:44.763Z,2.316279
1763348569481,2025-11-17T03:02:49.481Z,2.326991
1763352115234,2025-11-17T04:01:55.234Z,2.309343
1763355730176,2025-11-17T05:02:10.176Z,2.314659
1763359295071,2025-11-17T06:01:35.071Z,2.321094
1763362887093,2025-11-17T07:01:27.093Z,2.304654
