block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
20917131,1728345611000,0,0,393216
20917132,1728345623000,0,0,0
20917133,1728345635000,0,0,0
20917134,1728345647000,4,524288,0
20917135,1728345659000,6,786432,131072
20917136,1728345671000,0,0,524288
20917137,1728345683000,2,262144,131072
20917138,1728345695000,0,0,0
20917139,1728345707000,2,262144,0
20917140,1728345719000,6,786432,0
20917141,1728345731000,0,0,393216
20917142,1728345743000,4,524288,0
20917143,1728345755000,1,131072,131072
20917144,1728345767000,5,655360,0
20917145,1728345779000,1,131072,262144
20917146,1728345791000,0,0,0
20917147,1728345803000,1,131072,0
20917148,1728345815000,1,131072,0
20917149,1728345827000,0,0,0
20917150,1728345839000,6,786432,0
20917151,1728345851000,5,655360,393216
20917152,1728345863000,0,0,655360
20917153,1728345875000,2,262144,262144
20917154,1728345887000,5,655360,131072
20917155,1728345899000,0,0,393216
20917156,1728345911000,1,131072,0
20917157,1728345923000,0,0,0
20917158,1728345935000,0,0,0
20917159,1728345947000,6,786432,0
20917160,1728345959000,1,131072,393216
20917161,1728345971000,4,524288,131072
20917162,1728345983000,0,0,262144
20917163,1728345995000,5,655360,0
20917164,1728346007000,1,131072,262144
20917165,1728346019000,0,0,0
20917166,1728346031000,0,0,0
20917167,1728346043000,2,262144,0
20917168,1728346055000,1,131072,0
20917169,1728346079000,5,655360,0
20917170,1728346091000,1,131072,262144
20917171,1728346103000,6,786432,0
20917172,1728346115000,1,131072,393216
20917173,1728346127000,1,131072,131072
20917174,1728346139000,0,0,0
20917175,1728346151000,0,0,0
20917176,1728346163000,6,786432,0
20917177,1728346175000,6,786432,393216
20917178,1728346187000,3,393216,786432
20917179,1728346199000,6,786432,786432
20917180,1728346211000,0,0,1179648
20917181,1728346223000,3,393216,786432
20917182,1728346235000,2,262144,786432
20917183,1728346247000,0,0,655360
20917184,1728346259000,0,0,262144
20917185,1728346271000,4,524288,0
20917186,1728346283000,5,655360,131072
20917187,1728346295000,0,0,393216
20917188,1728346307000,0,0,0
20917189,1728346319000,2,262144,0
20917190,1728346331000,6,786432,0
20917191,1728346343000,0,0,393216
20917192,1728346355000,4,524288,0
20917193,1728346367000,1,131072,131072
20917194,1728346379000,1,131072,0
20917195,1728346391000,6,786432,0
20917196,1728346403000,0,0,393216
20917197,1728346415000,0,0,0
20917198,1728346427000,0,0,0
20917199,1728346439000,6,786432,0
20917200,1728346451000,2,262144,393216
20917201,1728346463000,0,0,262144
20917202,1728346475000,3,393216,0
20917203,1728346487000,6,786432,0
20917204,1728346499000,0,0,393216
20917205,1728346511000,6,786432,0
20917206,1728346523000,5,655360,393216
20917207,1728346535000,1,131072,655360
20917208,1728346547000,5,655360,393216
20917209,1728346559000,1,131072,655360
20917210,1728346571000,2,262144,393216
20917211,1728346583000,3,393216,262144
20917212,1728346595000,1,131072,262144
20917213,1728346607000,1,131072,0
20917214,1728346619000,0,0,0
20917215,1728346631000,6,786432,0
20917216,1728346643000,0,0,393216
20917217,1728346655000,0,0,0
20917218,1728346667000,1,131072,0
20917219,1728346679000,4,524288,0
20917220,1728346691000,2,262144,131072
20917221,1728346703000,5,655360,0
20917222,1728346715000,1,131072,262144
20917223,1728346727000,1,131072,0
20917224,1728346739000,0,0,0
20917225,1728346751000,2,262144,0
20917226,1728346763000,1,131072,0
20917227,1728346775000,0,0,0
20917228,1728346787000,5,655360,0
20917229,1728346799000,1,131072,262144
20917230,1728346811000,4,524288,0
20917231,1728346823000,1,131072,131072
20917232,1728346835000,0,0,0
20917233,1728346847000,0,0,0
20917234,1728346859000,6,786432,0
20917235,1728346871000,6,786432,393216
20917236,1728346883000,0,0,786432
20917237,1728346895000,2,262144,393216
20917238,1728346907000,2,262144,262144
20917239,1728346919000,4,524288,131072
20917240,1728346931000,2,262144,262144
20917241,1728346943000,0,0,131072
20917242,1728346955000,0,0,0
20917243,1728346967000,0,0,0
20917244,1728346979000,6,786432,0
20917245,1728346991000,0,0,393216
20917246,1728347003000,1,131072,0
20917247,1728347015000,1,131072,0
20917248,1728347027000,0,0,0
20917249,1728347039000,3,393216,0
20917250,1728347051000,0,0,0
20917251,1728347063000,0,0,0
20917252,1728347075000,6,786432,0
20917253,1728347087000,2,262144,393216
20917254,1728347099000,0,0,262144
20917255,1728347111000,0,0,0
20917256,1728347123000,2,262144,0
20917257,1728347135000,6,786432,0
20917258,1728347147000,1,131072,393216
20917259,1728347159000,5,655360,131072
20917260,1728347171000,5,655360,393216
20917261,1728347183000,0,0,655360
20917262,1728347195000,0,0,262144
20917263,1728347207000,6,786432,0
20917264,1728347219000,0,0,393216
20917265,1728347231000,0,0,0
20917266,1728347243000,6,786432,0
20917267,1728347255000,1,131072,393216
20917268,1728347267000,1,131072,131072
20917269,1728347279000,0,0,0
20917270,1728347291000,6,786432,0
20917271,1728347303000,0,0,393216
20917272,1728347315000,6,786432,0
20917273,1728347327000,1,131072,393216
20917274,1728347339000,0,0,131072
20917275,1728347363000,6,786432,0
20917276,1728347375000,0,0,393216
20917277,1728347387000,3,393216,0
20917278,1728347399000,1,131072,0
20917279,1728347411000,4,524288,0
20917280,1728347423000,0,0,131072
20917281,1728347435000,6,786432,0
20917282,1728347447000,1,131072,393216
20917283,1728347459000,0,0,131072
20917284,1728347471000,2,262144,0
20917285,1728347483000,0,0,0
20917286,1728347495000,1,131072,0
20917287,1728347507000,6,786432,0
20917288,1728347519000,0,0,393216
20917289,1728347531000,4,524288,0
20917290,1728347543000,0,0,131072
20917291,1728347555000,0,0,0
20917292,1728347567000,0,0,0
20917293,1728347579000,0,0,0
20917294,1728347591000,6,786432,0
20917295,1728347603000,0,0,393216
20917296,1728347615000,0,0,0
20917297,1728347627000,0,0,0
20917298,1728347639000,6,786432,0
20917299,1728347651000,6,786432,393216
20917300,1728347663000,0,0,786432
20917301,1728347675000,6,786432,393216
20917302,1728347687000,4,524288,786432
20917303,1728347699000,0,0,917504
20917304,1728347711000,2,262144,524288
20917305,1728347723000,0,0,393216
20917306,1728347735000,2,262144,0
20917307,1728347747000,5,655360,0
20917308,1728347759000,0,0,262144
20917309,1728347771000,4,524288,0
20917310,1728347783000,0,0,131072
20917311,1728347795000,0,0,0
20917312,1728347807000,4,524288,0
20917313,1728347819000,5,655360,131072
20917314,1728347831000,5,655360,393216
20917315,1728347843000,1,131072,655360
20917316,1728347855000,0,0,393216
20917317,1728347867000,0,0,0
20917318,1728347879000,5,655360,0
20917319,1728347891000,0,0,262144
20917320,1728347903000,2,262144,0
20917321,1728347915000,6,786432,0
20917322,1728347927000,0,0,393216
20917323,1728347939000,2,262144,0
20917324,1728347951000,1,131072,0
20917325,1728347963000,1,131072,0
20917326,1728347975000,0,0,0
20917327,1728347987000,6,786432,0
20917328,1728347999000,6,786432,393216
20917329,1728348011000,2,262144,786432
20917330,1728348023000,4,524288,655360
20917331,1728348035000,1,131072,786432
20917332,1728348047000,6,786432,524288
20917333,1728348059000,1,131072,917504
20917334,1728348071000,5,655360,655360
20917335,1728348083000,0,0,917504
20917336,1728348095000,2,262144,524288
20917337,1728348107000,0,0,393216
20917338,1728348119000,0,0,0
20917339,1728348131000,0,0,0
20917340,1728348143000,3,393216,0
20917341,1728348155000,4,524288,0
20917342,1728348167000,5,655360,131072
20917343,1728348179000,1,131072,393216
20917344,1728348191000,1,131072,131072
20917345,1728348203000,0,0,0
20917346,1728348215000,0,0,0
20917347,1728348227000,0,0,0
20917348,1728348239000,1,131072,0
20917349,1728348251000,6,786432,0
20917350,1728348263000,3,393216,393216
20917351,1728348275000,0,0,393216
20917352,1728348287000,4,524288,0
20917353,1728348299000,0,0,131072
20917354,1728348311000,1,131072,0
20917355,1728348323000,0,0,0
20917356,1728348335000,0,0,0
20917357,1728348347000,6,786432,0
20917358,1728348359000,0,0,393216
20917359,1728348371000,5,655360,0
20917360,1728348383000,1,131072,262144
20917361,1728348395000,0,0,0
20917362,1728348407000,5,655360,0
20917363,1728348419000,0,0,262144
20917364,1728348431000,0,0,0
20917365,1728348443000,0,0,0
20917366,1728348455000,6,786432,0
20917367,1728348467000,0,0,393216
20917368,1728348479000,3,393216,0
20917369,1728348491000,2,262144,0
20917370,1728348503000,0,0,0
20917371,1728348515000,6,786432,0
20917372,1728348527000,0,0,393216
20917373,1728348539000,5,655360,0
20917374,1728348551000,0,0,262144
20917375,1728348563000,1,131072,0
20917376,1728348575000,0,0,0
20917377,1728348587000,1,131072,0
20917378,1728348599000,1,131072,0
20917379,1728348611000,0,0,0
20917380,1728348623000,6,786432,0
20917381,1728348635000,0,0,393216
20917382,1728348647000,3,393216,0
20917383,1728348659000,3,393216,0
20917384,1728348671000,1,131072,0
