block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
20745134,1726272011000,6,786432,0
20745135,1726272023000,0,0,393216
20745136,1726272035000,0,0,0
20745137,1726272047000,0,0,0
20745138,1726272059000,0,0,0
20745139,1726272071000,4,524288,0
20745140,1726272083000,0,0,131072
20745141,1726272095000,6,786432,0
20745142,1726272107000,1,131072,393216
20745143,1726272119000,0,0,131072
20745144,1726272131000,3,393216,0
20745145,1726272143000,3,393216,0
20745146,1726272155000,0,0,0
20745147,1726272167000,0,0,0
20745148,1726272179000,2,262144,0
20745149,1726272191000,4,524288,0
20745150,1726272203000,5,655360,131072
20745151,1726272215000,5,655360,393216
20745152,1726272239000,1,131072,655360
20745153,1726272251000,0,0,393216
20745154,1726272263000,0,0,0
20745155,1726272275000,6,786432,0
20745156,1726272287000,0,0,393216
20745157,1726272299000,1,131072,0
20745158,1726272311000,0,0,0
20745159,1726272323000,1,131072,0
20745160,1726272335000,5,655360,0
20745161,1726272347000,0,0,262144
20745162,1726272359000,6,786432,0
20745163,1726272371000,0,0,393216
20745164,1726272383000,1,131072,0
20745165,1726272395000,2,262144,0
20745166,1726272407000,0,0,0
20745167,1726272419000,0,0,0
20745168,1726272431000,4,524288,0
20745169,1726272443000,5,655360,131072
20745170,1726272455000,2,262144,393216
20745171,1726272467000,0,0,262144
20745172,1726272479000,5,655360,0
20745173,1726272491000,0,0,262144
20745174,1726272503000,1,131072,0
20745175,1726272515000,6,786432,0
20745176,1726272527000,0,0,393216
20745177,1726272539000,0,0,0
20745178,1726272551000,1,131072,0
20745179,1726272563000,0,0,0
20745180,1726272575000,0,0,0
20745181,1726272587000,6,786432,0
20745182,1726272599000,5,655360,393216
20745183,1726272611000,0,0,655360
20745184,1726272623000,5,655360,262144
20745185,1726272635000,0,0,524288
20745186,1726272647000,0,0,131072
20745187,1726272659000,1,131072,0
20745188,1726272671000,5,655360,0
20745189,1726272683000,0,0,262144
20745190,1726272695000,1,131072,0
20745191,1726272707000,1,131072,0
20745192,1726272719000,0,0,0
20745193,1726272731000,3,393216,0
20745194,1726272743000,0,0,0
20745195,1726272755000,6,786432,0
20745196,1726272767000,0,0,393216
20745197,1726272779000,5,655360,0
20745198,1726272791000,1,131072,262144
20745199,1726272803000,1,131072,0
20745200,1726272815000,1,131072,0
20745201,1726272827000,0,0,0
20745202,1726272839000,6,786432,0
20745203,1726272851000,4,524288,393216
20745204,1726272863000,6,786432,524288
20745205,1726272875000,1,131072,917504
20745206,1726272887000,0,0,655360
20745207,1726272899000,4,524288,262144
20745208,1726272911000,1,131072,393216
20745209,1726272923000,0,0,131072
20745210,1726272935000,6,786432,0
20745211,1726272947000,2,262144,393216
20745212,1726272959000,6,786432,262144
20745213,1726272971000,0,0,655360
20745214,1726272983000,0,0,262144
20745215,1726272995000,0,0,0
20745216,1726273007000,3,393216,0
20745217,1726273019000,5,655360,0
20745218,1726273031000,6,786432,262144
20745219,1726273043000,0,0,655360
20745220,1726273055000,0,0,262144
20745221,1726273067000,3,393216,0
20745222,1726273079000,6,786432,0
20745223,1726273091000,1,131072,393216
20745224,1726273103000,0,0,131072
20745225,1726273115000,0,0,0
20745226,1726273127000,6,786432,0
20745227,1726273139000,1,131072,393216
20745228,1726273151000,0,0,131072
20745229,1726273163000,2,262144,0
20745230,1726273175000,3,393216,0
20745231,1726273187000,0,0,0
20745232,1726273199000,1,131072,0
20745233,1726273211000,5,655360,0
20745234,1726273223000,3,393216,262144
20745235,1726273235000,1,131072,262144
20745236,1726273247000,0,0,0
20745237,1726273259000,0,0,0
20745238,1726273271000,0,0,0
20745239,1726273283000,1,131072,0
20745240,1726273295000,0,0,0
20745241,1726273307000,0,0,0
20745242,1726273319000,5,655360,0
20745243,1726273331000,6,786432,262144
20745244,1726273343000,2,262144,655360
20745245,1726273355000,2,262144,524288
20745246,1726273367000,5,655360,393216
20745247,1726273379000,0,0,655360
20745248,1726273391000,1,131072,262144
20745249,1726273403000,0,0,0
20745250,1726273415000,5,655360,0
20745251,1726273427000,2,262144,262144
20745252,1726273439000,0,0,131072
20745253,1726273451000,1,131072,0
20745254,1726273463000,4,524288,0
20745255,1726273475000,0,0,131072
20745256,1726273487000,0,0,0
20745257,1726273499000,2,262144,0
20745258,1726273511000,0,0,0
20745259,1726273523000,0,0,0
20745260,1726273535000,6,786432,0
20745261,1726273547000,1,131072,393216
20745262,1726273559000,0,0,131072
20745263,1726273571000,2,262144,0
20745264,1726273583000,0,0,0
20745265,1726273595000,3,393216,0
20745266,1726273607000,0,0,0
20745267,1726273619000,6,786432,0
20745268,1726273631000,5,655360,393216
20745269,1726273643000,6,786432,655360
20745270,1726273655000,0,0,1048576
20745271,1726273667000,2,262144,655360
20745272,1726273679000,0,0,524288
20745273,1726273691000,0,0,131072
20745274,1726273703000,5,655360,0
20745275,1726273715000,1,131072,262144
20745276,1726273727000,0,0,0
20745277,1726273739000,3,393216,0
20745278,1726273751000,1,131072,0
20745279,1726273763000,6,786432,0
20745280,1726273775000,0,0,393216
20745281,1726273787000,6,786432,0
20745282,1726273799000,0,0,393216
20745283,1726273811000,0,0,0
20745284,1726273823000,6,786432,0
20745285,1726273835000,3,393216,393216
20745286,1726273847000,6,786432,393216
20745287,1726273859000,0,0,786432
20745288,1726273871000,0,0,393216
20745289,1726273883000,6,786432,0
20745290,1726273895000,5,655360,393216
20745291,1726273907000,0,0,655360
20745292,1726273919000,0,0,262144
20745293,1726273931000,0,0,0
20745294,1726273943000,0,0,0
20745295,1726273955000,1,131072,0
20745296,1726273967000,6,786432,0
20745297,1726273979000,6,786432,393216
20745298,1726273991000,0,0,786432
20745299,1726274003000,4,524288,393216
20745300,1726274015000,3,393216,524288
20745301,1726274027000,6,786432,524288
20745302,1726274039000,2,262144,917504
20745303,1726274051000,0,0,786432
20745304,1726274063000,6,786432,393216
20745305,1726274075000,2,262144,786432
20745306,1726274087000,0,0,655360
20745307,1726274099000,6,786432,262144
20745308,1726274111000,2,262144,655360
20745309,1726274123000,3,393216,524288
20745310,1726274135000,5,655360,524288
20745311,1726274147000,1,131072,786432
20745312,1726274159000,2,262144,524288
20745313,1726274171000,6,786432,393216
20745314,1726274183000,1,131072,786432
20745315,1726274195000,0,0,524288
20745316,1726274207000,0,0,131072
20745317,1726274219000,6,786432,0
20745318,1726274231000,6,786432,393216
20745319,1726274243000,0,0,786432
20745320,1726274255000,1,131072,393216
20745321,1726274279000,4,524288,131072
20745322,1726274291000,1,131072,262144
20745323,1726274303000,0,0,0
20745324,1726274315000,6,786432,0
20745325,1726274327000,1,131072,393216
20745326,1726274339000,0,0,131072
20745327,1726274351000,0,0,0
20745328,1726274363000,2,262144,0
20745329,1726274375000,3,393216,0
20745330,1726274387000,1,131072,0
20745331,1726274399000,0,0,0
20745332,1726274411000,4,524288,0
20745333,1726274423000,5,655360,131072
20745334,1726274435000,1,131072,393216
20745335,1726274447000,0,0,131072
20745336,1726274459000,2,262144,0
20745337,1726274471000,0,0,0
20745338,1726274483000,0,0,0
20745339,1726274495000,6,786432,0
20745340,1726274507000,4,524288,393216
20745341,1726274519000,1,131072,524288
20745342,1726274531000,3,393216,262144
20745343,1726274543000,0,0,262144
20745344,1726274555000,6,786432,0
20745345,1726274567000,1,131072,393216
20745346,1726274579000,0,0,131072
20745347,1726274591000,0,0,0
20745348,1726274603000,6,786432,0
20745349,1726274615000,0,0,393216
20745350,1726274627000,0,0,0
20745351,1726274639000,4,524288,0
20745352,1726274651000,5,655360,131072
20745353,1726274663000,0,0,393216
20745354,1726274675000,1,131072,0
20745355,1726274687000,1,131072,0
20745356,1726274699000,6,786432,0
20745357,1726274711000,1,131072,393216
20745358,1726274723000,0,0,131072
20745359,1726274735000,3,393216,0
20745360,1726274747000,1,131072,0
20745361,1726274759000,1,131072,0
20745362,1726274771000,3,393216,0
20745363,1726274783000,1,131072,0
20745364,1726274795000,5,655360,0
20745365,1726274807000,0,0,262144
20745366,1726274819000,2,262144,0
20745367,1726274831000,0,0,0
20745368,1726274843000,0,0,0
20745369,1726274855000,1,131072,0
20745370,1726274867000,0,0,0
20745371,1726274879000,2,262144,0
20745372,1726274891000,0,0,0
20745373,1726274903000,4,524288,0
20745374,1726274915000,0,0,131072
20745375,1726274939000,6,786432,0
20745376,1726274951000,0,0,393216
20745377,1726274963000,0,0,0
20745378,1726274975000,1,131072,0
20745379,1726274987000,0,0,0
20745380,1726274999000,6,786432,0
20745381,1726275011000,5,655360,393216
20745382,1726275023000,0,0,655360
20745383,1726275035000,4,524288,262144
20745384,1726275047000,0,0,393216
20745385,1726275059000,0,0,0
20745386,1726275071000,4,524288,0
20745387,1726275083000,6,786432,131072
20745388,1726275095000,5,655360,524288
20745389,1726275107000,6,786432,786432
20745390,1726275119000,3,393216,1179648
20745391,1726275131000,0,0,1179648
20745392,1726275143000,0,0,786432
20745393,1726275155000,0,0,393216
20745394,1726275167000,5,655360,0
20745395,1726275179000,0,0,262144
20745396,1726275191000,1,131072,0
20745397,1726275203000,2,262144,0
20745398,1726275215000,6,786432,0
20745399,1726275227000,2,262144,393216
20745400,1726275239000,1,131072,262144
20745401,1726275251000,0,0,0
