block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
20372676,1721779211000,4,524288,786432
20372677,1721779223000,2,262144,917504
20372678,1721779235000,4,524288,786432
20372679,1721779247000,3,393216,917504
20372680,1721779259000,0,0,917504
20372681,1721779271000,6,786432,524288
20372682,1721779283000,6,786432,917504
20372683,1721779295000,4,524288,1310720
20372684,1721779307000,1,131072,1441792
20372685,1721779319000,0,0,1179648
20372686,1721779331000,2,262144,786432
20372687,1721779343000,4,524288,655360
20372688,1721779355000,0,0,786432
20372689,1721779367000,0,0,393216
20372690,1721779379000,6,786432,0
20372691,1721779391000,6,786432,393216
20372692,1721779403000,0,0,786432
20372693,1721779415000,6,786432,393216
20372694,1721779427000,6,786432,786432
20372695,1721779439000,6,786432,1179648
20372696,1721779451000,3,393216,1572864
20372697,1721779463000,4,524288,1572864
20372698,1721779475000,2,262144,1703936
20372699,1721779487000,1,131072,1572864
20372700,1721779499000,0,0,1310720
20372701,1721779511000,3,393216,917504
20372702,1721779523000,4,524288,917504
20372703,1721779535000,6,786432,1048576
20372704,1721779547000,0,0,1441792
20372705,1721779559000,6,786432,1048576
20372706,1721779571000,6,786432,1441792
20372707,1721779583000,6,786432,1835008
20372708,1721779595000,5,655360,2228224
20372709,1721779607000,2,262144,2490368
20372710,1721779619000,0,0,2359296
20372711,1721779631000,6,786432,1966080
20372712,1721779643000,0,0,2359296
20372713,1721779655000,3,393216,1966080
20372714,1721779667000,6,786432,1966080
20372715,1721779679000,4,524288,2359296
20372716,1721779691000,3,393216,2490368
20372717,1721779703000,5,655360,2490368
20372718,1721779715000,6,786432,2752512
20372719,1721779727000,1,131072,3145728
20372720,1721779739000,6,786432,2883584
20372721,1721779751000,3,393216,3276800
20372722,1721779763000,3,393216,3276800
20372723,1721779775000,2,262144,3276800
20372724,1721779787000,3,393216,3145728
20372725,1721779799000,6,786432,3145728
20372726,1721779811000,2,262144,3538944
20372727,1721779823000,1,131072,3407872
20372728,1721779835000,0,0,3145728
20372729,1721779847000,0,0,2752512
20372730,1721779859000,3,393216,2359296
20372731,1721779871000,6,786432,2359296
20372732,1721779883000,6,786432,2752512
20372733,1721779895000,0,0,3145728
20372734,1721779907000,5,655360,2752512
20372735,1721779919000,1,131072,3014656
20372736,1721779931000,2,262144,2752512
20372737,1721779943000,0,0,2621440
20372738,1721779955000,0,0,2228224
20372739,1721779967000,5,655360,1835008
20372740,1721779979000,6,786432,2097152
20372741,1721779991000,0,0,2490368
20372742,1721780003000,4,524288,2097152
20372743,1721780015000,6,786432,2228224
20372744,1721780027000,6,786432,2621440
20372745,1721780039000,6,786432,3014656
20372746,1721780051000,6,786432,3407872
20372747,1721780063000,6,786432,3801088
20372748,1721780075000,6,786432,4194304
20372749,1721780087000,3,393216,4587520
20372750,1721780099000,6,786432,4587520
20372751,1721780111000,6,786432,4980736
20372752,1721780123000,0,0,5373952
20372753,1721780135000,0,0,4980736
20372754,1721780147000,0,0,4587520
20372755,1721780159000,0,0,4194304
20372756,1721780171000,0,0,3801088
20372757,1721780183000,6,786432,3407872
20372758,1721780195000,6,786432,3801088
20372759,1721780207000,6,786432,4194304
20372760,1721780219000,6,786432,4587520
20372761,1721780231000,6,786432,4980736
20372762,1721780243000,3,393216,5373952
20372763,1721780255000,0,0,5373952
20372764,1721780267000,0,0,4980736
20372765,1721780279000,2,262144,4587520
20372766,1721780291000,0,0,4456448
20372767,1721780303000,6,786432,4063232
20372768,1721780315000,6,786432,4456448
20372769,1721780327000,1,131072,4849664
20372770,1721780339000,6,786432,4587520
20372771,1721780351000,0,0,4980736
20372772,1721780363000,6,786432,4587520
20372773,1721780375000,6,786432,4980736
20372774,1721780387000,2,262144,5373952
20372775,1721780399000,3,393216,5242880
20372776,1721780411000,0,0,5242880
20372777,1721780423000,4,524288,4849664
20372778,1721780435000,6,786432,4980736
20372779,1721780447000,4,524288,5373952
20372780,1721780459000,6,786432,5505024
20372781,1721780471000,6,786432,5898240
20372782,1721780483000,0,0,6291456
20372783,1721780495000,0,0,5898240
20372784,1721780507000,6,786432,5505024
20372785,1721780519000,4,524288,5898240
20372786,1721780531000,6,786432,6029312
20372787,1721780543000,3,393216,6422528
20372788,1721780555000,2,262144,6422528
20372789,1721780567000,0,0,6291456
20372790,1721780579000,6,786432,5898240
20372791,1721780591000,6,786432,6291456
20372792,1721780603000,4,524288,6684672
20372793,1721780615000,2,262144,6815744
20372794,1721780627000,6,786432,6684672
20372795,1721780639000,6,786432,7077888
20372796,1721780651000,4,524288,7471104
20372797,1721780663000,6,786432,7602176
20372798,1721780675000,3,393216,7995392
20372799,1721780687000,1,131072,7995392
20372800,1721780699000,6,786432,7733248
20372801,1721780711000,0,0,8126464
20372802,1721780723000,4,524288,7733248
20372803,1721780735000,6,786432,7864320
20372804,1721780747000,3,393216,8257536
20372805,1721780759000,2,262144,8257536
20372806,1721780771000,6,786432,8126464
20372807,1721780783000,0,0,8519680
20372808,1721780795000,6,786432,8126464
20372809,1721780807000,2,262144,8519680
20372810,1721780819000,0,0,8388608
20372811,1721780831000,0,0,7995392
20372812,1721780843000,6,786432,7602176
20372813,1721780855000,0,0,7995392
20372814,1721780867000,3,393216,7602176
20372815,1721780879000,0,0,7602176
20372816,1721780891000,0,0,7208960
20372817,1721780903000,5,655360,6815744
20372818,1721780915000,6,786432,7077888
20372819,1721780927000,6,786432,7471104
20372820,1721780939000,0,0,7864320
20372821,1721780951000,6,786432,7471104
20372822,1721780963000,6,786432,7864320
20372823,1721780975000,6,786432,8257536
20372824,1721780987000,2,262144,8650752
20372825,1721780999000,0,0,8519680
20372826,1721781011000,3,393216,8126464
20372827,1721781023000,6,786432,8126464
20372828,1721781035000,6,786432,8519680
20372829,1721781047000,0,0,8912896
20372830,1721781059000,6,786432,8519680
20372831,1721781071000,0,0,8912896
20372832,1721781083000,6,786432,8519680
20372833,1721781095000,6,786432,8912896
20372834,1721781107000,6,786432,9306112
20372835,1721781119000,6,786432,9699328
20372836,1721781131000,6,786432,10092544
20372837,1721781143000,6,786432,10485760
20372838,1721781155000,0,0,10878976
20372839,1721781167000,0,0,10485760
20372840,1721781179000,0,0,10092544
20372841,1721781191000,0,0,9699328
20372842,1721781203000,6,786432,9306112
20372843,1721781215000,6,786432,9699328
20372844,1721781227000,6,786432,10092544
20372845,1721781239000,0,0,10485760
20372846,1721781251000,0,0,10092544
20372847,1721781263000,6,786432,9699328
20372848,1721781275000,6,786432,10092544
20372849,1721781287000,6,786432,10485760
20372850,1721781299000,0,0,10878976
20372851,1721781311000,0,0,10485760
20372852,1721781323000,0,0,10092544
20372853,1721781335000,4,524288,9699328
20372854,1721781347000,0,0,9830400
20372855,1721781359000,0,0,9437184
20372856,1721781371000,6,786432,9043968
20372857,1721781383000,0,0,9437184
20372858,1721781395000,6,786432,9043968
20372859,1721781407000,0,0,9437184
20372860,1721781419000,6,786432,9043968
20372861,1721781431000,6,786432,9437184
20372862,1721781443000,6,786432,9830400
20372863,1721781455000,6,786432,10223616
20372864,1721781467000,5,655360,10616832
20372865,1721781479000,2,262144,10878976
20372866,1721781491000,6,786432,10747904
20372867,1721781503000,6,786432,11141120
20372868,1721781515000,0,0,11534336
20372869,1721781527000,6,786432,11141120
20372870,1721781539000,0,0,11534336
20372871,1721781551000,6,786432,11141120
20372872,1721781563000,0,0,11534336
20372873,1721781575000,6,786432,11141120
