block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23914921,1764547211000,4,524288,0
23914922,1764547223000,9,1179648,0
23914923,1764547235000,8,1048576,393216
23914924,1764547247000,0,0,655360
23914925,1764547259000,6,786432,0
23914926,1764547271000,7,917504,0
23914927,1764547283000,8,1048576,131072
23914928,1764547295000,8,1048576,393216
23914929,1764547307000,9,1179648,655360
23914930,1764547319000,8,1048576,1048576
23914931,1764547331000,2,262144,1310720
23914932,1764547343000,0,0,786432
23914933,1764547355000,7,917504,0
23914934,1764547367000,6,786432,131072
23914935,1764547379000,6,786432,131072
23914936,1764547391000,7,917504,131072
23914937,1764547403000,6,786432,262144
23914938,1764547415000,3,393216,262144
23914939,1764547427000,3,393216,0
23914940,1764547439000,7,917504,0
23914941,1764547451000,4,524288,131072
23914942,1764547463000,0,0,0
23914943,1764547475000,0,0,0
23914944,1764547487000,0,0,0
23914945,1764547499000,0,0,0
23914946,1764547511000,0,0,0
23914947,1764547523000,0,0,0
23914948,1764547535000,0,0,0
23914949,1764547547000,0,0,0
23914950,1764547559000,0,0,0
23914951,1764547571000,0,0,0
23914952,1764547583000,0,0,0
23914953,1764547595000,0,0,0
23914954,1764547607000,0,0,0
23914955,1764547619000,0,0,0
23914956,1764547631000,1,131072,0
23914957,1764547643000,9,1179648,0
23914958,1764547655000,9,1179648,393216
23914959,1764547667000,8,1048576,786432
23914960,1764547679000,9,1179648,1048576
23914961,1764547691000,0,0,1441792
23914962,1764547703000,0,0,655360
23914963,1764547715000,3,393216,0
23914964,1764547727000,0,0,0
23914965,1764547739000,0,0,0
23914966,1764547751000,0,0,0
23914967,1764547763000,0,0,0
23914968,1764547775000,8,1048576,0
23914969,1764547787000,0,0,262144
23914970,1764547799000,7,917504,0
23914971,1764547811000,8,1048576,131072
23914972,1764547823000,0,0,393216
23914973,1764547835000,0,0,0
23914974,1764547847000,0,0,0
23914975,1764547859000,0,0,0
23914976,1764547871000,9,1179648,0
23914977,1764547883000,0,0,393216
23914978,1764547895000,1,131072,0
23914979,1764547907000,8,1048576,0
23914980,1764547919000,9,1179648,262144
23914981,1764547931000,0,0,655360
23914982,1764547943000,9,1179648,0
23914983,1764547955000,8,1048576,393216
23914984,1764547967000,9,1179648,655360
23914985,1764547979000,8,1048576,1048576
23914986,1764547991000,0,0,1310720
23914987,1764548003000,0,0,524288
23914988,1764548015000,1,131072,0
23914989,1764548027000,0,0,0
23914990,1764548039000,8,1048576,0
23914991,1764548051000,9,1179648,262144
23914992,1764548063000,0,0,655360
23914993,1764548075000,8,1048576,0
23914994,1764548087000,9,1179648,262144
23914995,1764548111000,9,1179648,655360
23914996,1764548123000,0,0,1048576
23914997,1764548135000,9,1179648,262144
23914998,1764548147000,9,1179648,655360
23914999,1764548159000,0,0,1048576
23915000,1764548171000,0,0,262144
23915001,1764548183000,9,1179648,0
23915002,1764548195000,0,0,393216
23915003,1764548207000,0,0,0
23915004,1764548219000,8,1048576,0
23915005,1764548231000,8,1048576,262144
23915006,1764548243000,9,1179648,524288
23915007,1764548255000,9,1179648,917504
23915008,1764548267000,8,1048576,1310720
23915009,1764548279000,8,1048576,1572864
23915010,1764548291000,8,1048576,1835008
23915011,1764548303000,9,1179648,2097152
23915012,1764548315000,1,131072,2490368
23915013,1764548327000,9,1179648,1835008
23915014,1764548339000,9,1179648,2228224
23915015,1764548351000,7,917504,2621440
23915016,1764548363000,0,0,2752512
23915017,1764548375000,0,0,1966080
23915018,1764548387000,9,1179648,1179648
23915019,1764548399000,0,0,1572864
