block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23178567,1755648011000,0,0,1048576
23178568,1755648023000,7,917504,262144
23178569,1755648035000,0,0,393216
23178570,1755648047000,0,0,0
23178571,1755648059000,0,0,0
23178572,1755648071000,8,1048576,0
23178573,1755648083000,7,917504,262144
23178574,1755648095000,9,1179648,393216
23178575,1755648107000,9,1179648,786432
23178576,1755648119000,7,917504,1179648
23178577,1755648131000,9,1179648,1310720
23178578,1755648143000,0,0,1703936
23178579,1755648155000,5,655360,917504
23178580,1755648167000,9,1179648,786432
23178581,1755648179000,9,1179648,1179648
23178582,1755648191000,6,786432,1572864
23178583,1755648203000,3,393216,1572864
23178584,1755648215000,0,0,1179648
23178585,1755648227000,6,786432,393216
23178586,1755648239000,7,917504,393216
23178587,1755648251000,0,0,524288
23178588,1755648263000,3,393216,0
23178589,1755648275000,0,0,0
23178590,1755648287000,9,1179648,0
23178591,1755648299000,7,917504,393216
23178592,1755648311000,4,524288,524288
23178593,1755648323000,7,917504,262144
23178594,1755648335000,6,786432,393216
23178595,1755648347000,6,786432,393216
23178596,1755648359000,0,0,393216
23178597,1755648371000,0,0,0
23178598,1755648383000,6,786432,0
23178599,1755648395000,9,1179648,0
23178600,1755648407000,0,0,393216
23178601,1755648419000,8,1048576,0
23178602,1755648431000,3,393216,262144
23178603,1755648443000,7,917504,0
23178604,1755648455000,3,393216,131072
23178605,1755648467000,7,917504,0
23178606,1755648479000,0,0,131072
23178607,1755648491000,0,0,0
23178608,1755648503000,9,1179648,0
23178609,1755648515000,9,1179648,393216
23178610,1755648527000,7,917504,786432
23178611,1755648539000,0,0,917504
23178612,1755648551000,8,1048576,131072
23178613,1755648563000,6,786432,393216
23178614,1755648575000,6,786432,393216
23178615,1755648587000,6,786432,393216
23178616,1755648599000,5,655360,393216
23178617,1755648611000,7,917504,262144
23178618,1755648623000,0,0,393216
23178619,1755648635000,6,786432,0
23178620,1755648647000,8,1048576,0
23178621,1755648659000,7,917504,262144
23178622,1755648671000,9,1179648,393216
23178623,1755648683000,9,1179648,786432
23178624,1755648695000,0,0,1179648
23178625,1755648707000,9,1179648,393216
23178626,1755648719000,7,917504,786432
23178627,1755648731000,2,262144,917504
23178628,1755648743000,9,1179648,393216
23178629,1755648755000,0,0,786432
23178630,1755648767000,4,524288,0
23178631,1755648779000,6,786432,0
23178632,1755648791000,5,655360,0
23178633,1755648803000,1,131072,0
23178634,1755648815000,0,0,0
23178635,1755648827000,9,1179648,0
23178636,1755648839000,4,524288,393216
23178637,1755648851000,0,0,131072
23178638,1755648863000,3,393216,0
23178639,1755648875000,0,0,0
23178640,1755648887000,6,786432,0
23178641,1755648899000,3,393216,0
23178642,1755648911000,3,393216,0
23178643,1755648923000,1,131072,0
23178644,1755648935000,5,655360,0
23178645,1755648947000,3,393216,0
23178646,1755648959000,9,1179648,0
23178647,1755648971000,0,0,393216
23178648,1755648983000,9,1179648,0
23178649,1755648995000,9,1179648,393216
23178650,1755649007000,0,0,786432
23178651,1755649019000,6,786432,0
23178652,1755649031000,7,917504,0
23178653,1755649043000,3,393216,131072
23178654,1755649055000,9,1179648,0
23178655,1755649067000,0,0,393216
23178656,1755649079000,9,1179648,0
23178657,1755649091000,3,393216,393216
23178658,1755649103000,3,393216,0
23178659,1755649115000,6,786432,0
23178660,1755649127000,3,393216,0
23178661,1755649139000,1,131072,0
23178662,1755649151000,6,786432,0
23178663,1755649163000,3,393216,0
23178664,1755649175000,0,0,0
23178665,1755649187000,6,786432,0
23178666,1755649199000,8,1048576,0
23178667,1755649211000,3,393216,262144
23178668,1755649223000,0,0,0
23178669,1755649235000,9,1179648,0
23178670,1755649247000,0,0,393216
23178671,1755649259000,5,655360,0
23178672,1755649271000,0,0,0
23178673,1755649283000,7,917504,0
23178674,1755649295000,9,1179648,131072
23178675,1755649307000,0,0,524288
23178676,1755649319000,0,0,0
23178677,1755649331000,7,917504,0
23178678,1755649343000,0,0,131072
23178679,1755649355000,9,1179648,0
23178680,1755649367000,9,1179648,393216
23178681,1755649379000,0,0,786432
23178682,1755649391000,7,917504,0
23178683,1755649403000,0,0,131072
23178684,1755649415000,9,1179648,0
23178685,1755649427000,0,0,393216
23178686,1755649439000,9,1179648,0
23178687,1755649451000,9,1179648,393216
23178688,1755649463000,9,1179648,786432
23178689,1755649487000,7,917504,1179648
23178690,1755649499000,6,786432,1310720
23178691,1755649511000,0,0,1310720
23178692,1755649523000,8,1048576,524288
23178693,1755649535000,6,786432,786432
23178694,1755649547000,9,1179648,786432
23178695,1755649559000,5,655360,1179648
23178696,1755649571000,3,393216,1048576
23178697,1755649583000,3,393216,655360
23178698,1755649595000,0,0,262144
23178699,1755649607000,9,1179648,0
23178700,1755649619000,3,393216,393216
23178701,1755649631000,6,786432,0
23178702,1755649643000,3,393216,0
23178703,1755649655000,0,0,0
23178704,1755649667000,9,1179648,0
23178705,1755649679000,4,524288,393216
23178706,1755649691000,1,131072,131072
23178707,1755649703000,3,393216,0
23178708,1755649715000,2,262144,0
23178709,1755649727000,6,786432,0
23178710,1755649739000,9,1179648,0
23178711,1755649751000,3,393216,393216
23178712,1755649763000,6,786432,0
23178713,1755649775000,0,0,0
23178714,1755649787000,9,1179648,0
23178715,1755649799000,0,0,393216
23178716,1755649811000,5,655360,0
23178717,1755649823000,3,393216,0
23178718,1755649835000,4,524288,0
23178719,1755649847000,6,786432,0
23178720,1755649859000,0,0,0
23178721,1755649871000,6,786432,0
23178722,1755649883000,9,1179648,0
23178723,1755649895000,0,0,393216
23178724,1755649907000,3,393216,0
23178725,1755649919000,3,393216,0
23178726,1755649931000,0,0,0
23178727,1755649943000,6,786432,0
23178728,1755649955000,0,0,0
23178729,1755649967000,3,393216,0
23178730,1755649979000,0,0,0
23178731,1755649991000,5,655360,0
23178732,1755650003000,7,917504,0
23178733,1755650015000,9,1179648,131072
23178734,1755650027000,0,0,524288
