block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23522163,1759795211000,9,1179648,786432
23522164,1759795223000,3,393216,1179648
23522165,1759795235000,8,1048576,786432
23522166,1759795247000,9,1179648,1048576
23522167,1759795259000,0,0,1441792
23522168,1759795271000,6,786432,655360
23522169,1759795283000,8,1048576,655360
23522170,1759795295000,0,0,917504
23522171,1759795307000,6,786432,131072
23522172,1759795319000,0,0,131072
23522173,1759795331000,9,1179648,0
23522174,1759795343000,9,1179648,393216
23522175,1759795355000,9,1179648,786432
23522176,1759795367000,8,1048576,1179648
23522177,1759795379000,7,917504,1441792
23522178,1759795391000,9,1179648,1572864
23522179,1759795403000,0,0,1966080
23522180,1759795415000,6,786432,1179648
23522181,1759795427000,9,1179648,1179648
23522182,1759795439000,9,1179648,1572864
23522183,1759795451000,6,786432,1966080
23522184,1759795463000,6,786432,1966080
23522185,1759795475000,7,917504,1966080
23522186,1759795487000,0,0,2097152
23522187,1759795499000,7,917504,1310720
23522188,1759795511000,6,786432,1441792
23522189,1759795523000,9,1179648,1441792
23522190,1759795535000,0,0,1835008
23522191,1759795547000,7,917504,1048576
23522192,1759795559000,6,786432,1179648
23522193,1759795571000,7,917504,1179648
23522194,1759795583000,6,786432,1310720
23522195,1759795595000,7,917504,1310720
23522196,1759795607000,7,917504,1441792
23522197,1759795619000,6,786432,1572864
23522198,1759795631000,6,786432,1572864
23522199,1759795643000,9,1179648,1572864
23522200,1759795655000,6,786432,1966080
23522201,1759795667000,9,1179648,1966080
23522202,1759795679000,9,1179648,2359296
23522203,1759795691000,7,917504,2752512
23522204,1759795703000,8,1048576,2883584
23522205,1759795715000,8,1048576,3145728
23522206,1759795727000,6,786432,3407872
23522207,1759795739000,6,786432,3407872
23522208,1759795751000,6,786432,3407872
23522209,1759795763000,7,917504,3407872
23522210,1759795775000,8,1048576,3538944
23522211,1759795787000,9,1179648,3801088
23522212,1759795799000,7,917504,4194304
23522213,1759795811000,6,786432,4325376
23522214,1759795823000,6,786432,4325376
23522215,1759795835000,6,786432,4325376
23522216,1759795847000,6,786432,4325376
23522217,1759795859000,9,1179648,4325376
23522218,1759795871000,7,917504,4718592
23522219,1759795883000,3,393216,4849664
23522220,1759795895000,3,393216,4456448
23522221,1759795907000,3,393216,4063232
23522222,1759795919000,9,1179648,3670016
23522223,1759795931000,3,393216,4063232
23522224,1759795943000,3,393216,3670016
23522225,1759795955000,7,917504,3276800
23522226,1759795967000,3,393216,3407872
23522227,1759795979000,7,917504,3014656
23522228,1759795991000,9,1179648,3145728
23522229,1759796003000,9,1179648,3538944
23522230,1759796015000,4,524288,3932160
23522231,1759796027000,6,786432,3670016
23522232,1759796039000,4,524288,3670016
23522233,1759796051000,6,786432,3407872
23522234,1759796063000,3,393216,3407872
23522235,1759796075000,0,0,3014656
23522236,1759796087000,9,1179648,2228224
23522237,1759796099000,9,1179648,2621440
23522238,1759796111000,8,1048576,3014656
23522239,1759796123000,0,0,3276800
23522240,1759796135000,6,786432,2490368
23522241,1759796147000,9,1179648,2490368
23522242,1759796159000,8,1048576,2883584
23522243,1759796171000,6,786432,3145728
23522244,1759796183000,6,786432,3145728
23522245,1759796195000,6,786432,3145728
23522246,1759796207000,7,917504,3145728
23522247,1759796219000,9,1179648,3276800
23522248,1759796231000,6,786432,3670016
23522249,1759796243000,6,786432,3670016
23522250,1759796255000,6,786432,3670016
23522251,1759796267000,0,0,3670016
23522252,1759796279000,6,786432,2883584
23522253,1759796291000,6,786432,2883584
23522254,1759796303000,6,786432,2883584
23522255,1759796315000,6,786432,2883584
23522256,1759796327000,6,786432,2883584
23522257,1759796339000,6,786432,2883584
23522258,1759796351000,0,0,2883584
23522259,1759796363000,9,1179648,2097152
23522260,1759796375000,7,917504,2490368
23522261,1759796387000,9,1179648,2621440
23522262,1759796399000,9,1179648,3014656
23522263,1759796411000,5,655360,3407872
23522264,1759796423000,6,786432,3276800
23522265,1759796435000,7,917504,3276800
23522266,1759796447000,6,786432,3407872
