block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
20458638,1722816011000,1,131072,0
20458639,1722816023000,6,786432,0
20458640,1722816035000,0,0,393216
20458641,1722816047000,5,655360,0
20458642,1722816059000,3,393216,262144
20458643,1722816071000,1,131072,262144
20458644,1722816083000,6,786432,0
20458645,1722816095000,0,0,393216
20458646,1722816107000,0,0,0
20458647,1722816119000,6,786432,0
20458648,1722816131000,6,786432,393216
20458649,1722816143000,4,524288,786432
20458650,1722816155000,1,131072,917504
20458651,1722816167000,1,131072,655360
20458652,1722816179000,1,131072,393216
20458653,1722816191000,3,393216,131072
20458654,1722816203000,6,786432,131072
20458655,1722816215000,3,393216,524288
20458656,1722816227000,2,262144,524288
20458657,1722816239000,1,131072,393216
20458658,1722816251000,1,131072,131072
20458659,1722816263000,1,131072,0
20458660,1722816275000,1,131072,0
20458661,1722816287000,1,131072,0
20458662,1722816299000,6,786432,0
20458663,1722816311000,6,786432,393216
20458664,1722816323000,1,131072,786432
20458665,1722816335000,0,0,524288
20458666,1722816347000,3,393216,131072
20458667,1722816359000,0,0,131072
20458668,1722816371000,4,524288,0
20458669,1722816383000,1,131072,131072
20458670,1722816395000,6,786432,0
20458671,1722816407000,2,262144,393216
20458672,1722816419000,0,0,262144
20458673,1722816431000,1,131072,0
20458674,1722816443000,5,655360,0
20458675,1722816455000,0,0,262144
20458676,1722816467000,4,524288,0
20458677,1722816479000,5,655360,131072
20458678,1722816491000,0,0,393216
20458679,1722816503000,0,0,0
20458680,1722816515000,5,655360,0
20458681,1722816527000,1,131072,262144
20458682,1722816539000,0,0,0
20458683,1722816551000,6,786432,0
20458684,1722816563000,4,524288,393216
20458685,1722816575000,6,786432,524288
20458686,1722816587000,0,0,917504
20458687,1722816599000,6,786432,524288
20458688,1722816611000,1,131072,917504
20458689,1722816623000,4,524288,655360
20458690,1722816635000,6,786432,786432
20458691,1722816647000,1,131072,1179648
20458692,1722816659000,0,0,917504
20458693,1722816671000,4,524288,524288
20458694,1722816683000,3,393216,655360
20458695,1722816695000,2,262144,655360
20458696,1722816707000,3,393216,524288
20458697,1722816719000,5,655360,524288
20458698,1722816731000,4,524288,786432
