block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
24408385,1770508811000,5,655360,179733245
24408386,1770508823000,3,393216,179951698
24408387,1770508835000,5,655360,180082770
24408388,1770508847000,9,1179648,180301223
24408389,1770508859000,14,1835008,179645863
24408390,1770508871000,1,131072,179645863
24408391,1770508883000,0,0,177941927
24408392,1770508895000,13,1703936,177941927
24408393,1770508907000,5,655360,178509905
24408394,1770508919000,0,0,178728358
24408395,1770508931000,9,1179648,178728358
24408396,1770508943000,0,0,179121574
24408397,1770508955000,6,786432,179121574
24408398,1770508967000,3,393216,179383718
24408399,1770508979000,9,1179648,179514790
24408400,1770508991000,0,0,179908006
24408401,1770509003000,0,0,179908006
24408402,1770509015000,12,1572864,179908006
24408403,1770509027000,3,393216,180432294
24408404,1770509039000,5,655360,178990502
24408405,1770509051000,1,131072,179208955
24408406,1770509063000,3,393216,179252645
24408407,1770509075000,0,0,179383717
24408408,1770509087000,11,1441792,179383717
24408409,1770509099000,9,1179648,179864314
24408410,1770509111000,11,1441792,180257530
24408411,1770509123000,1,131072,180738127
24408412,1770509135000,5,655360,179034191
24408413,1770509147000,7,917504,179252644
24408414,1770509159000,5,655360,178335140
24408415,1770509171000,6,786432,178553593
24408416,1770509183000,3,393216,178815737
24408417,1770509195000,6,786432,178946809
24408418,1770509207000,3,393216,179208953
24408419,1770509219000,3,393216,179340025
24408420,1770509231000,0,0,179471097
24408421,1770509243000,9,1179648,179471097
24408422,1770509255000,4,524288,179864313
24408423,1770509267000,8,1048576,180039075
24408424,1770509279000,0,0,180388600
24408425,1770509291000,1,131072,178553592
24408426,1770509303000,11,1441792,178597282
24408427,1770509315000,0,0,179077879
24408428,1770509327000,1,131072,179077879
24408429,1770509339000,5,655360,177373943
24408430,1770509351000,0,0,177592396
24408431,1770509363000,10,1310720,177592396
24408432,1770509375000,6,786432,178029302
24408433,1770509387000,8,1048576,178291446
24408434,1770509399000,0,0,178640971
24408435,1770509411000,0,0,178640971
24408436,1770509423000,3,393216,178640971
24408437,1770509435000,5,655360,178772043
24408438,1770509447000,5,655360,178990496
24408439,1770509459000,11,1441792,179208949
24408440,1770509471000,5,655360,179689546
24408441,1770509483000,0,0,179907999
24408442,1770509495000,2,262144,179907999
24408443,1770509507000,11,1441792,178335135
24408444,1770509519000,0,0,178815732
24408445,1770509531000,1,131072,178815732
24408446,1770509543000,3,393216,178859422
