block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23729388,1762300811000,5,655360,0
23729389,1762300823000,7,917504,0
23729390,1762300835000,6,786432,131072
23729391,1762300847000,3,393216,131072
23729392,1762300859000,7,917504,0
23729393,1762300871000,6,786432,131072
23729394,1762300883000,6,786432,131072
23729395,1762300895000,5,655360,131072
23729396,1762300907000,9,1179648,0
23729397,1762300919000,4,524288,393216
23729398,1762300931000,0,0,131072
23729399,1762300943000,7,917504,0
23729400,1762300955000,0,0,131072
23729401,1762300967000,9,1179648,0
23729402,1762300979000,8,1048576,393216
23729403,1762300991000,9,1179648,655360
23729404,1762301003000,9,1179648,1048576
23729405,1762301015000,6,786432,1441792
23729406,1762301027000,6,786432,1441792
23729407,1762301039000,7,917504,1441792
23729408,1762301051000,4,524288,1572864
23729409,1762301063000,8,1048576,1310720
23729410,1762301075000,0,0,1572864
23729411,1762301087000,7,917504,786432
23729412,1762301099000,6,786432,917504
23729413,1762301123000,9,1179648,917504
23729414,1762301135000,6,786432,1310720
23729415,1762301147000,8,1048576,1310720
23729416,1762301159000,8,1048576,1572864
23729417,1762301171000,0,0,1835008
23729418,1762301183000,6,786432,1048576
23729419,1762301195000,0,0,1048576
23729420,1762301207000,6,786432,262144
23729421,1762301219000,7,917504,262144
23729422,1762301231000,6,786432,393216
23729423,1762301243000,0,0,393216
23729424,1762301255000,6,786432,0
23729425,1762301267000,6,786432,0
23729426,1762301279000,6,786432,0
23729427,1762301291000,9,1179648,0
23729428,1762301303000,9,1179648,393216
23729429,1762301315000,8,1048576,786432
23729430,1762301327000,9,1179648,1048576
23729431,1762301339000,8,1048576,1441792
23729432,1762301351000,4,524288,1703936
23729433,1762301363000,6,786432,1441792
23729434,1762301375000,8,1048576,1441792
23729435,1762301387000,9,1179648,1703936
23729436,1762301399000,0,0,2097152
23729437,1762301411000,6,786432,1310720
23729438,1762301423000,9,1179648,1310720
23729439,1762301435000,6,786432,1703936
23729440,1762301447000,3,393216,1703936
23729441,1762301459000,4,524288,1310720
23729442,1762301471000,3,393216,1048576
23729443,1762301483000,3,393216,655360
23729444,1762301495000,6,786432,262144
23729445,1762301507000,3,393216,262144
23729446,1762301519000,6,786432,0
23729447,1762301531000,0,0,0
23729448,1762301543000,6,786432,0
23729449,1762301555000,3,393216,0
23729450,1762301567000,3,393216,0
23729451,1762301579000,5,655360,0
23729452,1762301591000,6,786432,0
23729453,1762301603000,6,786432,0
23729454,1762301615000,6,786432,0
23729455,1762301627000,3,393216,0
23729456,1762301639000,6,786432,0
23729457,1762301651000,0,0,0
23729458,1762301663000,6,786432,0
23729459,1762301675000,8,1048576,0
23729460,1762301687000,7,917504,262144
23729461,1762301699000,7,917504,393216
23729462,1762301711000,8,1048576,524288
23729463,1762301723000,6,786432,786432
23729464,1762301735000,4,524288,786432
23729465,1762301747000,3,393216,524288
23729466,1762301759000,4,524288,131072
23729467,1762301771000,6,786432,0
23729468,1762301783000,3,393216,0
23729469,1762301795000,8,1048576,0
23729470,1762301807000,4,524288,262144
23729471,1762301819000,3,393216,0
23729472,1762301831000,4,524288,0
23729473,1762301843000,6,786432,0
23729474,1762301855000,7,917504,0
23729475,1762301867000,0,0,131072
23729476,1762301879000,6,786432,0
23729477,1762301891000,6,786432,0
23729478,1762301903000,0,0,0
23729479,1762301915000,9,1179648,0
23729480,1762301927000,9,1179648,393216
23729481,1762301939000,8,1048576,786432
23729482,1762301951000,6,786432,1048576
23729483,1762301963000,0,0,1048576
23729484,1762301975000,9,1179648,262144
23729485,1762301987000,1,131072,655360
23729486,1762301999000,6,786432,0
23729487,1762302011000,8,1048576,0
23729488,1762302023000,0,0,262144
23729489,1762302035000,9,1179648,0
23729490,1762302047000,0,0,393216
23729491,1762302059000,7,917504,0
23729492,1762302071000,6,786432,131072
23729493,1762302083000,6,786432,131072
23729494,1762302095000,9,1179648,131072
23729495,1762302107000,6,786432,524288
23729496,1762302119000,6,786432,524288
23729497,1762302131000,9,1179648,524288
23729498,1762302143000,6,786432,917504
23729499,1762302155000,6,786432,917504
23729500,1762302167000,3,393216,917504
23729501,1762302179000,6,786432,524288
23729502,1762302191000,5,655360,524288
23729503,1762302203000,9,1179648,393216
23729504,1762302215000,8,1048576,786432
23729505,1762302227000,6,786432,1048576
23729506,1762302239000,1,131072,1048576
23729507,1762302251000,3,393216,393216
23729508,1762302263000,0,0,0
23729509,1762302275000,6,786432,0
23729510,1762302287000,6,786432,0
23729511,1762302299000,6,786432,0
23729512,1762302311000,6,786432,0
23729513,1762302323000,6,786432,0
23729514,1762302335000,9,1179648,0
23729515,1762302347000,6,786432,393216
23729516,1762302359000,6,786432,393216
23729517,1762302371000,3,393216,393216
23729518,1762302383000,3,393216,0
23729519,1762302395000,8,1048576,0
23729520,1762302407000,6,786432,262144
23729521,1762302419000,7,917504,262144
23729522,1762302431000,5,655360,393216
23729523,1762302443000,6,786432,262144
23729524,1762302467000,6,786432,262144
23729525,1762302479000,0,0,262144
23729526,1762302491000,0,0,0
23729527,1762302503000,0,0,0
23729528,1762302515000,8,1048576,0
23729529,1762302527000,9,1179648,262144
23729530,1762302539000,9,1179648,655360
23729531,1762302551000,6,786432,1048576
23729532,1762302563000,0,0,1048576
23729533,1762302575000,0,0,262144
23729534,1762302587000,9,1179648,0
23729535,1762302599000,9,1179648,393216
23729536,1762302611000,9,1179648,786432
23729537,1762302623000,9,1179648,1179648
23729538,1762302635000,5,655360,1572864
23729539,1762302647000,6,786432,1441792
23729540,1762302659000,7,917504,1441792
23729541,1762302671000,3,393216,1572864
23729542,1762302683000,9,1179648,1179648
23729543,1762302695000,0,0,1572864
23729544,1762302707000,7,917504,786432
23729545,1762302719000,7,917504,917504
23729546,1762302731000,8,1048576,1048576
23729547,1762302743000,8,1048576,1310720
23729548,1762302755000,6,786432,1572864
23729549,1762302767000,3,393216,1572864
23729550,1762302779000,6,786432,1179648
23729551,1762302791000,0,0,1179648
23729552,1762302803000,8,1048576,393216
23729553,1762302815000,9,1179648,655360
23729554,1762302827000,6,786432,1048576
23729555,1762302839000,6,786432,1048576
23729556,1762302851000,6,786432,1048576
23729557,1762302863000,7,917504,1048576
23729558,1762302875000,8,1048576,1179648
23729559,1762302887000,0,0,1441792
23729560,1762302899000,8,1048576,655360
23729561,1762302911000,9,1179648,917504
23729562,1762302923000,3,393216,1310720
23729563,1762302935000,4,524288,917504
23729564,1762302947000,3,393216,655360
23729565,1762302959000,6,786432,262144
23729566,1762302971000,3,393216,262144
23729567,1762302983000,3,393216,0
23729568,1762302995000,7,917504,0
23729569,1762303007000,5,655360,131072
23729570,1762303019000,8,1048576,0
23729571,1762303031000,4,524288,262144
