block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23815180,1763337611000,8,1048576,0
23815181,1763337623000,7,917504,262144
23815182,1763337635000,9,1179648,393216
23815183,1763337647000,7,917504,786432
23815184,1763337659000,4,524288,917504
23815185,1763337671000,3,393216,655360
23815186,1763337683000,9,1179648,262144
23815187,1763337695000,0,0,655360
23815188,1763337707000,8,1048576,0
23815189,1763337719000,9,1179648,262144
23815190,1763337731000,6,786432,655360
23815191,1763337743000,6,786432,655360
23815192,1763337755000,7,917504,655360
23815193,1763337767000,3,393216,786432
23815194,1763337779000,7,917504,393216
23815195,1763337791000,3,393216,524288
23815196,1763337803000,3,393216,131072
23815197,1763337815000,6,786432,0
23815198,1763337827000,6,786432,0
23815199,1763337839000,9,1179648,0
23815200,1763337851000,8,1048576,393216
23815201,1763337863000,9,1179648,655360
23815202,1763337875000,2,262144,1048576
23815203,1763337887000,6,786432,524288
23815204,1763337899000,8,1048576,524288
23815205,1763337911000,7,917504,786432
23815206,1763337923000,6,786432,917504
23815207,1763337935000,4,524288,917504
23815208,1763337947000,6,786432,655360
23815209,1763337959000,9,1179648,655360
23815210,1763337971000,6,786432,1048576
23815211,1763337983000,6,786432,1048576
23815212,1763337995000,8,1048576,1048576
23815213,1763338007000,6,786432,1310720
23815214,1763338019000,0,0,1310720
23815215,1763338031000,8,1048576,524288
23815216,1763338043000,6,786432,786432
23815217,1763338055000,9,1179648,786432
23815218,1763338067000,8,1048576,1179648
23815219,1763338079000,4,524288,1441792
23815220,1763338091000,6,786432,1179648
23815221,1763338103000,3,393216,1179648
23815222,1763338115000,6,786432,786432
23815223,1763338127000,6,786432,786432
23815224,1763338139000,6,786432,786432
23815225,1763338151000,6,786432,786432
23815226,1763338163000,6,786432,786432
23815227,1763338175000,4,524288,786432
23815228,1763338187000,3,393216,524288
23815229,1763338199000,6,786432,131072
23815230,1763338211000,6,786432,131072
23815231,1763338223000,3,393216,131072
23815232,1763338235000,3,393216,0
23815233,1763338247000,3,393216,0
23815234,1763338259000,7,917504,0
23815235,1763338271000,0,0,131072
23815236,1763338283000,7,917504,0
23815237,1763338295000,7,917504,131072
23815238,1763338307000,9,1179648,262144
23815239,1763338319000,7,917504,655360
23815240,1763338331000,6,786432,786432
23815241,1763338343000,7,917504,786432
23815242,1763338355000,3,393216,917504
23815243,1763338367000,7,917504,524288
23815244,1763338379000,6,786432,655360
23815245,1763338391000,0,0,655360
23815246,1763338403000,7,917504,0
23815247,1763338415000,6,786432,131072
23815248,1763338427000,6,786432,131072
23815249,1763338439000,6,786432,131072
23815250,1763338451000,4,524288,131072
23815251,1763338463000,8,1048576,0
23815252,1763338475000,8,1048576,262144
23815253,1763338487000,6,786432,524288
23815254,1763338499000,6,786432,524288
23815255,1763338511000,3,393216,524288
23815256,1763338523000,0,0,131072
23815257,1763338535000,9,1179648,0
23815258,1763338547000,8,1048576,393216
23815259,1763338559000,8,1048576,655360
23815260,1763338571000,0,0,917504
23815261,1763338583000,0,0,131072
23815262,1763338595000,7,917504,0
23815263,1763338607000,7,917504,131072
23815264,1763338619000,6,786432,262144
23815265,1763338631000,7,917504,262144
23815266,1763338643000,0,0,393216
23815267,1763338655000,9,1179648,0
23815268,1763338667000,9,1179648,393216
23815269,1763338679000,8,1048576,786432
23815270,1763338691000,6,786432,1048576
23815271,1763338703000,6,786432,1048576
23815272,1763338715000,6,786432,1048576
23815273,1763338727000,6,786432,1048576
23815274,1763338739000,3,393216,1048576
23815275,1763338751000,0,0,655360
23815276,1763338763000,8,1048576,0
23815277,1763338775000,6,786432,262144
23815278,1763338787000,7,917504,262144
23815279,1763338799000,7,917504,393216
23815280,1763338811000,7,917504,524288
23815281,1763338823000,6,786432,655360
23815282,1763338835000,6,786432,655360
23815283,1763338847000,9,1179648,655360
23815284,1763338859000,7,917504,1048576
23815285,1763338871000,0,0,1179648
23815286,1763338883000,0,0,393216
23815287,1763338895000,6,786432,0
23815288,1763338907000,7,917504,0
23815289,1763338919000,7,917504,131072
23815290,1763338931000,6,786432,262144
23815291,1763338943000,9,1179648,262144
23815292,1763338955000,8,1048576,655360
23815293,1763338967000,4,524288,917504
23815294,1763338979000,7,917504,655360
23815295,1763338991000,8,1048576,786432
23815296,1763339003000,6,786432,1048576
23815297,1763339015000,6,786432,1048576
23815298,1763339027000,8,1048576,1048576
23815299,1763339039000,7,917504,1310720
23815300,1763339051000,6,786432,1441792
23815301,1763339063000,9,1179648,1441792
23815302,1763339075000,6,786432,1835008
23815303,1763339087000,6,786432,1835008
23815304,1763339099000,3,393216,1835008
23815305,1763339111000,6,786432,1441792
23815306,1763339123000,6,786432,1441792
23815307,1763339135000,3,393216,1441792
23815308,1763339147000,3,393216,1048576
23815309,1763339159000,3,393216,655360
23815310,1763339171000,0,0,262144
23815311,1763339183000,0,0,0
23815312,1763339195000,0,0,0
23815313,1763339207000,0,0,0
23815314,1763339219000,9,1179648,0
23815315,1763339231000,9,1179648,393216
23815316,1763339243000,0,0,786432
23815317,1763339255000,8,1048576,0
23815318,1763339267000,0,0,262144
23815319,1763339279000,8,1048576,0
23815320,1763339291000,8,1048576,262144
23815321,1763339303000,0,0,524288
23815322,1763339327000,8,1048576,0
23815323,1763339339000,0,0,262144
23815324,1763339351000,6,786432,0
23815325,1763339363000,0,0,0
23815326,1763339375000,7,917504,0
23815327,1763339387000,8,1048576,131072
23815328,1763339399000,8,1048576,393216
23815329,1763339411000,6,786432,655360
23815330,1763339423000,7,917504,655360
23815331,1763339435000,7,917504,786432
23815332,1763339447000,8,1048576,917504
23815333,1763339459000,0,0,1179648
23815334,1763339471000,9,1179648,393216
23815335,1763339483000,6,786432,786432
23815336,1763339495000,9,1179648,786432
23815337,1763339507000,9,1179648,1179648
23815338,1763339519000,6,786432,1572864
23815339,1763339531000,8,1048576,1572864
23815340,1763339543000,9,1179648,1835008
23815341,1763339555000,7,917504,2228224
23815342,1763339567000,7,917504,2359296
23815343,1763339579000,8,1048576,2490368
23815344,1763339591000,0,0,2752512
23815345,1763339603000,9,1179648,1966080
23815346,1763339615000,7,917504,2359296
23815347,1763339627000,6,786432,2490368
23815348,1763339639000,8,1048576,2490368
23815349,1763339651000,8,1048576,2752512
23815350,1763339663000,0,0,3014656
23815351,1763339675000,9,1179648,2228224
23815352,1763339687000,8,1048576,2621440
23815353,1763339699000,6,786432,2883584
23815354,1763339711000,6,786432,2883584
23815355,1763339723000,6,786432,2883584
23815356,1763339735000,6,786432,2883584
23815357,1763339747000,6,786432,2883584
23815358,1763339759000,6,786432,2883584
23815359,1763339771000,7,917504,2883584
23815360,1763339783000,0,0,3014656
23815361,1763339795000,9,1179648,2228224
23815362,1763339807000,9,1179648,2621440
23815363,1763339819000,9,1179648,3014656
