block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23936304,1764806411000,9,1179648,71041001
23936305,1764806423000,6,786432,71434217
23936306,1764806435000,3,393216,71434217
23936307,1764806447000,9,1179648,71041001
23936308,1764806459000,3,393216,71434217
23936309,1764806471000,3,393216,71565289
23936310,1764806483000,6,786432,71172073
23936311,1764806495000,0,0,71172073
23936312,1764806507000,9,1179648,70385641
23936313,1764806519000,6,786432,70778857
23936314,1764806531000,3,393216,71041001
23936315,1764806543000,0,0,71172073
23936316,1764806555000,9,1179648,71172073
23936317,1764806567000,0,0,71565289
23936318,1764806579000,0,0,71565289
23936319,1764806591000,0,0,71565289
23936320,1764806603000,0,0,71565289
23936321,1764806615000,9,1179648,71565289
23936322,1764806627000,9,1179648,71958505
23936323,1764806639000,9,1179648,72351721
23936324,1764806651000,9,1179648,72744937
23936325,1764806663000,6,786432,73138153
23936326,1764806675000,6,786432,73138153
23936327,1764806687000,3,393216,73138153
23936328,1764806699000,9,1179648,72744937
23936329,1764806711000,9,1179648,73138153
23936330,1764806723000,6,786432,73531369
23936331,1764806735000,6,786432,73531369
23936332,1764806747000,8,1048576,73531369
23936333,1764806759000,9,1179648,73793513
23936334,1764806783000,9,1179648,74186729
23936335,1764806795000,9,1179648,74579945
23936336,1764806807000,6,786432,74973161
23936337,1764806819000,9,1179648,74973161
23936338,1764806831000,9,1179648,75366377
23936339,1764806843000,6,786432,75759593
23936340,1764806855000,9,1179648,75759593
23936341,1764806867000,9,1179648,76152809
23936342,1764806879000,3,393216,76546025
23936343,1764806891000,7,917504,76152809
23936344,1764806903000,8,1048576,76283881
23936345,1764806915000,6,786432,76546025
23936346,1764806927000,9,1179648,76546025
23936347,1764806939000,7,917504,76939241
23936348,1764806951000,3,393216,77070313
23936349,1764806963000,9,1179648,76677097
23936350,1764806975000,3,393216,77070313
23936351,1764806987000,3,393216,76677097
23936352,1764806999000,0,0,76283881
23936353,1764807011000,9,1179648,75497449
23936354,1764807023000,3,393216,75890665
23936355,1764807047000,3,393216,75497449
23936356,1764807059000,9,1179648,75104233
23936357,1764807071000,8,1048576,75497449
23936358,1764807083000,3,393216,75759593
23936359,1764807095000,7,917504,75366377
23936360,1764807107000,3,393216,75497449
23936361,1764807119000,6,786432,75104233
23936362,1764807131000,6,786432,75104233
23936363,1764807143000,0,0,75104233
23936364,1764807155000,6,786432,74317801
23936365,1764807167000,0,0,74317801
23936366,1764807179000,6,786432,73531369
23936367,1764807191000,9,1179648,73531369
23936368,1764807203000,9,1179648,73924585
23936369,1764807215000,3,393216,74317801
23936370,1764807227000,3,393216,73924585
23936371,1764807239000,7,917504,73531369
23936372,1764807251000,0,0,73662441
23936373,1764807263000,9,1179648,72876009
23936374,1764807275000,3,393216,73269225
23936375,1764807287000,0,0,72876009
23936376,1764807299000,9,1179648,72089577
23936377,1764807311000,6,786432,72482793
23936378,1764807323000,6,786432,72482793
23936379,1764807335000,0,0,72482793
23936380,1764807347000,8,1048576,71696361
23936381,1764807359000,9,1179648,71958505
23936382,1764807371000,7,917504,72351721
23936383,1764807395000,6,786432,72482793
23936384,1764807407000,0,0,72482793
23936385,1764807419000,9,1179648,71696361
23936386,1764807431000,9,1179648,72089577
23936387,1764807443000,9,1179648,72482793
23936388,1764807455000,3,393216,72876009
23936389,1764807467000,9,1179648,72482793
23936390,1764807479000,3,393216,72876009
23936391,1764807491000,7,917504,72482793
23936392,1764807503000,9,1179648,72613865
23936393,1764807515000,9,1179648,73007081
23936394,1764807527000,3,393216,73400297
23936395,1764807539000,3,393216,73007081
23936396,1764807551000,8,1048576,72613865
23936397,1764807563000,9,1179648,72876009
23936398,1764807587000,9,1179648,73269225
23936399,1764807599000,3,393216,73662441
23936400,1764807611000,3,393216,73269225
23936401,1764807623000,9,1179648,72876009
23936402,1764807635000,3,393216,73269225
23936403,1764807647000,3,393216,72876009
23936404,1764807659000,0,0,72482793
23936405,1764807671000,9,1179648,71696361
23936406,1764807683000,9,1179648,72089577
23936407,1764807695000,9,1179648,72482793
23936408,1764807707000,8,1048576,72876009
23936409,1764807719000,3,393216,73138153
23936410,1764807731000,3,393216,72744937
23936411,1764807743000,8,1048576,72351721
23936412,1764807755000,7,917504,72613865
23936413,1764807767000,0,0,72744937
23936414,1764807779000,3,393216,71958505
23936415,1764807791000,6,786432,71565289
23936416,1764807803000,3,393216,71565289
23936417,1764807815000,3,393216,71172073
23936418,1764807827000,0,0,70778857
23936419,1764807839000,0,0,69992425
23936420,1764807851000,6,786432,69992425
23936421,1764807863000,3,393216,70254569
23936422,1764807875000,0,0,70385641
23936423,1764807899000,6,786432,70385641
23936424,1764807911000,0,0,70647785
23936425,1764807923000,9,1179648,70647785
23936426,1764807935000,9,1179648,71041001
23936427,1764807947000,6,786432,71434217
23936428,1764807959000,3,393216,71434217
23936429,1764807971000,3,393216,71565289
23936430,1764807983000,8,1048576,71172073
23936431,1764808007000,7,917504,71434217
23936432,1764808019000,6,786432,71565289
23936433,1764808031000,9,1179648,71565289
23936434,1764808043000,3,393216,71958505
23936435,1764808055000,3,393216,71565289
23936436,1764808067000,3,393216,71172073
23936437,1764808079000,0,0,70778857
23936438,1764808091000,3,393216,69992425
23936439,1764808103000,3,393216,70123497
23936440,1764808115000,3,393216,70254569
23936441,1764808127000,9,1179648,70385641
23936442,1764808139000,3,393216,70778857
23936443,1764808151000,3,393216,70909929
23936444,1764808163000,9,1179648,71041001
23936445,1764808175000,7,917504,71434217
23936446,1764808187000,9,1179648,71740051
23936447,1764808199000,3,393216,72133267
23936448,1764808211000,0,0,71740051
23936449,1764808223000,3,393216,71740051
23936450,1764808235000,7,917504,71871123
23936451,1764808247000,3,393216,72002195
23936452,1764808259000,9,1179648,71608979
23936453,1764808271000,8,1048576,72002195
23936454,1764808283000,3,393216,72264339
23936455,1764808295000,0,0,71871123
23936456,1764808307000,9,1179648,71084691
23936457,1764808319000,8,1048576,71477907
23936458,1764808331000,9,1179648,71740051
23936459,1764808343000,9,1179648,72133267
23936460,1764808355000,0,0,72526483
23936461,1764808367000,3,393216,71740051
23936462,1764808391000,0,0,71346835
23936463,1764808403000,6,786432,70560403
23936464,1764808415000,3,393216,70822547
23936465,1764808427000,3,393216,70953619
23936466,1764808439000,9,1179648,70560403
23936467,1764808451000,3,393216,70953619
23936468,1764808463000,3,393216,71084691
23936469,1764808475000,3,393216,70691475
23936470,1764808487000,3,393216,70298259
23936471,1764808499000,9,1179648,70429331
23936472,1764808511000,9,1179648,70822547
23936473,1764808523000,3,393216,71215763
23936474,1764808535000,9,1179648,71346835
23936475,1764808547000,3,393216,71740051
23936476,1764808559000,3,393216,71346835
23936477,1764808571000,8,1048576,70953619
23936478,1764808583000,9,1179648,71215763
23936479,1764808595000,6,786432,71608979
23936480,1764808607000,3,393216,71608979
23936481,1764808619000,0,0,71215763
23936482,1764808631000,9,1179648,70429331
23936483,1764808643000,6,786432,70822547
23936484,1764808655000,9,1179648,71084691
23936485,1764808667000,7,917504,71477907
23936486,1764808679000,3,393216,71608979
23936487,1764808691000,9,1179648,71215763
23936488,1764808703000,0,0,71608979
23936489,1764808715000,3,393216,70822547
23936490,1764808727000,9,1179648,70953619
23936491,1764808739000,3,393216,71346835
23936492,1764808751000,6,786432,71477907
23936493,1764808763000,9,1179648,71477907
23936494,1764808775000,0,0,71871123
23936495,1764808787000,9,1179648,71084691
23936496,1764808799000,7,917504,71477907
23936497,1764808811000,3,393216,71783741
23936498,1764808823000,7,917504,71390525
23936499,1764808835000,9,1179648,71696359
23936500,1764808847000,9,1179648,72089575
23936501,1764808859000,0,0,72482791
23936502,1764808871000,9,1179648,71696359
23936503,1764808883000,9,1179648,72089575
23936504,1764808895000,9,1179648,72482791
23936505,1764808907000,9,1179648,72876007
23936506,1764808919000,0,0,73269223
23936507,1764808931000,9,1179648,72482791
23936508,1764808943000,9,1179648,72876007
23936509,1764808955000,9,1179648,73269223
23936510,1764808979000,9,1179648,73662439
23936511,1764808991000,9,1179648,74055655
23936512,1764809003000,9,1179648,74448871
23936513,1764809015000,0,0,74842087
23936514,1764809027000,9,1179648,74055655
23936515,1764809039000,6,786432,74448871
23936516,1764809051000,0,0,74448871
23936517,1764809063000,6,786432,73662439
23936518,1764809075000,9,1179648,73662439
23936519,1764809087000,9,1179648,74055655
23936520,1764809099000,3,393216,74448871
23936521,1764809111000,0,0,74055655
23936522,1764809123000,9,1179648,73269223
23936523,1764809135000,3,393216,73662439
23936524,1764809147000,3,393216,73269223
23936525,1764809159000,3,393216,72876007
23936526,1764809171000,0,0,72482791
23936527,1764809183000,6,786432,71696359
23936528,1764809195000,9,1179648,71696359
23936529,1764809207000,9,1179648,72089575
23936530,1764809219000,7,917504,72482791
23936531,1764809231000,6,786432,72613863
23936532,1764809243000,9,1179648,72613863
23936533,1764809255000,7,917504,73007079
23936534,1764809267000,3,393216,73138151
23936535,1764809279000,6,786432,72744935
23936536,1764809291000,3,393216,72744935
23936537,1764809315000,9,1179648,72351719
23936538,1764809327000,3,393216,72744935
23936539,1764809339000,3,393216,72351719
23936540,1764809351000,9,1179648,71958503
23936541,1764809363000,3,393216,72351719
23936542,1764809375000,3,393216,71958503
23936543,1764809387000,9,1179648,71565287
23936544,1764809399000,6,786432,71958503
