block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23786577,1762992011000,0,0,0
23786578,1762992023000,6,786432,0
23786579,1762992035000,9,1179648,0
23786580,1762992047000,7,917504,393216
23786581,1762992059000,8,1048576,524288
23786582,1762992071000,9,1179648,786432
23786583,1762992083000,6,786432,1179648
23786584,1762992095000,6,786432,1179648
23786585,1762992107000,6,786432,1179648
23786586,1762992119000,8,1048576,1179648
23786587,1762992131000,3,393216,1441792
23786588,1762992143000,6,786432,1048576
23786589,1762992155000,7,917504,1048576
23786590,1762992167000,0,0,1179648
23786591,1762992179000,7,917504,393216
23786592,1762992191000,9,1179648,524288
23786593,1762992203000,9,1179648,917504
23786594,1762992215000,6,786432,1310720
23786595,1762992227000,9,1179648,1310720
23786596,1762992239000,3,393216,1703936
23786597,1762992251000,3,393216,1310720
23786598,1762992263000,4,524288,917504
23786599,1762992275000,0,0,655360
23786600,1762992287000,6,786432,0
23786601,1762992299000,8,1048576,0
23786602,1762992311000,6,786432,262144
23786603,1762992323000,6,786432,262144
23786604,1762992335000,7,917504,262144
23786605,1762992347000,7,917504,393216
23786606,1762992359000,7,917504,524288
23786607,1762992371000,6,786432,655360
23786608,1762992383000,9,1179648,655360
23786609,1762992395000,3,393216,1048576
23786610,1762992407000,3,393216,655360
23786611,1762992419000,0,0,262144
23786612,1762992431000,9,1179648,0
23786613,1762992443000,9,1179648,393216
23786614,1762992455000,4,524288,786432
23786615,1762992467000,0,0,524288
23786616,1762992479000,6,786432,0
23786617,1762992491000,7,917504,0
23786618,1762992503000,9,1179648,131072
23786619,1762992515000,7,917504,524288
23786620,1762992527000,6,786432,655360
23786621,1762992539000,9,1179648,655360
23786622,1762992551000,6,786432,1048576
23786623,1762992563000,7,917504,1048576
23786624,1762992575000,9,1179648,1179648
23786625,1762992587000,5,655360,1572864
23786626,1762992611000,7,917504,1441792
23786627,1762992623000,7,917504,1572864
23786628,1762992635000,6,786432,1703936
23786629,1762992647000,8,1048576,1703936
23786630,1762992659000,6,786432,1966080
23786631,1762992671000,7,917504,1966080
23786632,1762992683000,3,393216,2097152
23786633,1762992695000,9,1179648,1703936
23786634,1762992707000,6,786432,2097152
23786635,1762992719000,3,393216,2097152
23786636,1762992731000,7,917504,1703936
23786637,1762992743000,5,655360,1835008
23786638,1762992755000,6,786432,1703936
23786639,1762992767000,8,1048576,1703936
23786640,1762992779000,3,393216,1966080
23786641,1762992791000,4,524288,1572864
23786642,1762992803000,6,786432,1310720
23786643,1762992815000,4,524288,1310720
23786644,1762992827000,9,1179648,1048576
23786645,1762992839000,0,0,1441792
23786646,1762992851000,0,0,655360
23786647,1762992863000,9,1179648,0
23786648,1762992875000,8,1048576,393216
23786649,1762992887000,3,393216,655360
23786650,1762992899000,3,393216,262144
23786651,1762992911000,6,786432,0
23786652,1762992923000,6,786432,0
23786653,1762992935000,7,917504,0
23786654,1762992947000,8,1048576,131072
23786655,1762992959000,0,0,393216
23786656,1762992971000,6,786432,0
23786657,1762992983000,6,786432,0
23786658,1762992995000,3,393216,0
23786659,1762993007000,5,655360,0
23786660,1762993019000,0,0,0
23786661,1762993031000,9,1179648,0
23786662,1762993043000,3,393216,393216
23786663,1762993055000,9,1179648,0
23786664,1762993067000,8,1048576,393216
23786665,1762993079000,6,786432,655360
23786666,1762993091000,7,917504,655360
23786667,1762993103000,3,393216,786432
23786668,1762993115000,6,786432,393216
23786669,1762993127000,6,786432,393216
23786670,1762993139000,4,524288,393216
23786671,1762993151000,5,655360,131072
23786672,1762993163000,6,786432,0
23786673,1762993175000,6,786432,0
23786674,1762993187000,0,0,0
23786675,1762993199000,8,1048576,0
23786676,1762993211000,3,393216,262144
23786677,1762993223000,8,1048576,0
23786678,1762993235000,9,1179648,262144
23786679,1762993247000,6,786432,655360
23786680,1762993259000,0,0,655360
23786681,1762993271000,6,786432,0
23786682,1762993295000,3,393216,0
23786683,1762993307000,0,0,0
23786684,1762993319000,8,1048576,0
23786685,1762993331000,9,1179648,262144
23786686,1762993343000,8,1048576,655360
23786687,1762993355000,8,1048576,917504
23786688,1762993367000,7,917504,1179648
23786689,1762993379000,6,786432,1310720
23786690,1762993391000,7,917504,1310720
23786691,1762993403000,0,0,1441792
23786692,1762993415000,0,0,655360
23786693,1762993427000,8,1048576,0
23786694,1762993439000,8,1048576,262144
23786695,1762993451000,9,1179648,524288
23786696,1762993463000,7,917504,917504
23786697,1762993475000,8,1048576,1048576
23786698,1762993487000,8,1048576,1310720
23786699,1762993499000,6,786432,1572864
23786700,1762993511000,8,1048576,1572864
23786701,1762993535000,0,0,1835008
23786702,1762993547000,8,1048576,1048576
23786703,1762993559000,8,1048576,1310720
23786704,1762993571000,7,917504,1572864
23786705,1762993583000,6,786432,1703936
23786706,1762993595000,6,786432,1703936
23786707,1762993607000,8,1048576,1703936
23786708,1762993619000,4,524288,1966080
23786709,1762993631000,3,393216,1703936
23786710,1762993643000,7,917504,1310720
23786711,1762993655000,8,1048576,1441792
23786712,1762993667000,8,1048576,1703936
23786713,1762993679000,7,917504,1966080
23786714,1762993691000,7,917504,2097152
23786715,1762993703000,7,917504,2228224
23786716,1762993715000,8,1048576,2359296
23786717,1762993727000,6,786432,2621440
23786718,1762993739000,7,917504,2621440
23786719,1762993751000,9,1179648,2752512
23786720,1762993763000,4,524288,3145728
23786721,1762993775000,6,786432,2883584
23786722,1762993787000,1,131072,2883584
23786723,1762993799000,3,393216,2228224
23786724,1762993811000,6,786432,1835008
23786725,1762993823000,0,0,1835008
23786726,1762993835000,7,917504,1048576
23786727,1762993847000,3,393216,1179648
23786728,1762993859000,6,786432,786432
23786729,1762993871000,3,393216,786432
23786730,1762993883000,0,0,393216
23786731,1762993895000,6,786432,0
23786732,1762993907000,6,786432,0
23786733,1762993919000,6,786432,0
23786734,1762993931000,8,1048576,0
23786735,1762993943000,0,0,262144
23786736,1762993955000,7,917504,0
23786737,1762993967000,6,786432,131072
23786738,1762993979000,8,1048576,131072
23786739,1762993991000,7,917504,393216
23786740,1762994003000,6,786432,524288
23786741,1762994015000,6,786432,524288
23786742,1762994027000,6,786432,524288
23786743,1762994039000,0,0,524288
23786744,1762994051000,3,393216,0
23786745,1762994063000,6,786432,0
23786746,1762994075000,7,917504,0
23786747,1762994087000,9,1179648,131072
23786748,1762994099000,4,524288,524288
23786749,1762994111000,6,786432,262144
23786750,1762994123000,4,524288,262144
23786751,1762994135000,0,0,0
23786752,1762994147000,0,0,0
23786753,1762994159000,0,0,0
23786754,1762994171000,0,0,0
23786755,1762994183000,8,1048576,0
23786756,1762994195000,6,786432,262144
23786757,1762994207000,0,0,262144
23786758,1762994219000,9,1179648,0
23786759,1762994231000,7,917504,393216
23786760,1762994243000,9,1179648,524288
23786761,1762994255000,8,1048576,917504
23786762,1762994267000,6,786432,1179648
23786763,1762994279000,6,786432,1179648
23786764,1762994291000,9,1179648,1179648
23786765,1762994303000,6,786432,1572864
23786766,1762994315000,9,1179648,1572864
23786767,1762994327000,9,1179648,1966080
23786768,1762994339000,9,1179648,2359296
23786769,1762994351000,7,917504,2752512
23786770,1762994363000,7,917504,2883584
23786771,1762994375000,6,786432,3014656
23786772,1762994387000,6,786432,3014656
23786773,1762994399000,4,524288,3014656
23786774,1762994411000,4,524288,2752512
23786775,1762994423000,6,786432,2490368
23786776,1762994435000,6,786432,2490368
23786777,1762994447000,7,917504,2490368
23786778,1762994459000,6,786432,2621440
23786779,1762994471000,7,917504,2621440
23786780,1762994483000,7,917504,2752512
23786781,1762994495000,8,1048576,2883584
23786782,1762994507000,6,786432,3145728
23786783,1762994519000,6,786432,3145728
23786784,1762994531000,0,0,3145728
23786785,1762994543000,9,1179648,2359296
23786786,1762994555000,7,917504,2752512
23786787,1762994567000,6,786432,2883584
23786788,1762994579000,8,1048576,2883584
23786789,1762994591000,0,0,3145728
23786790,1762994603000,7,917504,2359296
23786791,1762994615000,7,917504,2490368
23786792,1762994627000,9,1179648,2621440
23786793,1762994639000,7,917504,3014656
23786794,1762994651000,6,786432,3145728
23786795,1762994663000,3,393216,3145728
23786796,1762994675000,6,786432,2752512
23786797,1762994687000,0,0,2752512
23786798,1762994699000,7,917504,1966080
23786799,1762994711000,0,0,2097152
23786800,1762994723000,9,1179648,1310720
23786801,1762994735000,6,786432,1703936
23786802,1762994747000,6,786432,1703936
23786803,1762994759000,7,917504,1703936
23786804,1762994771000,7,917504,1835008
23786805,1762994783000,7,917504,1966080
23786806,1762994795000,0,0,2097152
23786807,1762994807000,7,917504,1310720
23786808,1762994819000,6,786432,1441792
23786809,1762994831000,8,1048576,1441792
23786810,1762994843000,9,1179648,1703936
23786811,1762994855000,4,524288,2097152
23786812,1762994867000,7,917504,1835008
23786813,1762994879000,8,1048576,1966080
23786814,1762994891000,9,1179648,2228224
23786815,1762994903000,6,786432,2621440
23786816,1762994915000,0,0,2621440
23786817,1762994927000,4,524288,1835008
23786818,1762994939000,6,786432,1572864
23786819,1762994951000,6,786432,1572864
23786820,1762994963000,9,1179648,1572864
23786821,1762994975000,6,786432,1966080
23786822,1762994987000,6,786432,1966080
23786823,1762994999000,8,1048576,1966080
23786824,1762995011000,9,1179648,2228224
23786825,1762995023000,0,0,2621440
23786826,1762995035000,6,786432,1835008
23786827,1762995047000,7,917504,1835008
23786828,1762995059000,8,1048576,1966080
23786829,1762995071000,6,786432,2228224
23786830,1762995083000,6,786432,2228224
23786831,1762995095000,0,0,2228224
23786832,1762995107000,7,917504,1441792
23786833,1762995119000,3,393216,1572864
23786834,1762995131000,3,393216,1179648
