block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23543616,1760054411000,7,917504,131072
23543617,1760054423000,6,786432,262144
23543618,1760054435000,6,786432,262144
23543619,1760054447000,7,917504,262144
23543620,1760054459000,9,1179648,393216
23543621,1760054471000,0,0,786432
23543622,1760054483000,9,1179648,0
23543623,1760054495000,6,786432,393216
23543624,1760054507000,3,393216,393216
23543625,1760054519000,3,393216,0
23543626,1760054531000,6,786432,0
23543627,1760054543000,6,786432,0
23543628,1760054555000,6,786432,0
23543629,1760054567000,8,1048576,0
23543630,1760054579000,6,786432,262144
23543631,1760054591000,3,393216,262144
23543632,1760054603000,6,786432,0
23543633,1760054615000,7,917504,0
23543634,1760054627000,3,393216,131072
23543635,1760054639000,6,786432,0
23543636,1760054651000,8,1048576,0
23543637,1760054663000,8,1048576,262144
23543638,1760054675000,7,917504,524288
23543639,1760054687000,4,524288,655360
23543640,1760054699000,7,917504,393216
23543641,1760054711000,6,786432,524288
23543642,1760054723000,7,917504,524288
23543643,1760054735000,6,786432,655360
23543644,1760054747000,6,786432,655360
23543645,1760054759000,3,393216,655360
23543646,1760054771000,9,1179648,262144
23543647,1760054783000,6,786432,655360
23543648,1760054795000,9,1179648,655360
23543649,1760054807000,9,1179648,1048576
23543650,1760054819000,4,524288,1441792
23543651,1760054831000,3,393216,1179648
23543652,1760054843000,0,0,786432
23543653,1760054855000,9,1179648,0
23543654,1760054867000,3,393216,393216
23543655,1760054879000,7,917504,0
23543656,1760054891000,8,1048576,131072
23543657,1760054903000,3,393216,393216
23543658,1760054915000,3,393216,0
23543659,1760054927000,9,1179648,0
23543660,1760054939000,0,0,393216
23543661,1760054951000,7,917504,0
23543662,1760054963000,6,786432,131072
23543663,1760054975000,6,786432,131072
23543664,1760054987000,5,655360,131072
23543665,1760054999000,6,786432,0
23543666,1760055011000,0,0,0
23543667,1760055023000,6,786432,0
23543668,1760055035000,6,786432,0
23543669,1760055047000,8,1048576,0
23543670,1760055059000,9,1179648,262144
23543671,1760055071000,6,786432,655360
23543672,1760055083000,5,655360,655360
23543673,1760055095000,6,786432,524288
23543674,1760055107000,4,524288,524288
23543675,1760055119000,3,393216,262144
23543676,1760055131000,6,786432,0
23543677,1760055143000,7,917504,0
23543678,1760055155000,6,786432,131072
23543679,1760055167000,6,786432,131072
23543680,1760055179000,3,393216,131072
23543681,1760055191000,3,393216,0
23543682,1760055203000,9,1179648,0
23543683,1760055215000,9,1179648,393216
23543684,1760055227000,5,655360,786432
23543685,1760055239000,8,1048576,655360
23543686,1760055251000,6,786432,917504
23543687,1760055263000,0,0,917504
23543688,1760055275000,6,786432,131072
23543689,1760055287000,6,786432,131072
23543690,1760055299000,3,393216,131072
23543691,1760055311000,6,786432,0
23543692,1760055323000,6,786432,0
23543693,1760055335000,6,786432,0
23543694,1760055347000,5,655360,0
23543695,1760055359000,6,786432,0
23543696,1760055371000,8,1048576,0
23543697,1760055383000,4,524288,262144
23543698,1760055395000,6,786432,0
23543699,1760055407000,7,917504,0
23543700,1760055419000,9,1179648,131072
23543701,1760055431000,7,917504,524288
23543702,1760055443000,9,1179648,655360
23543703,1760055455000,6,786432,1048576
