block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
22399544,1746230411000,1,131072,1835008
22399545,1746230423000,1,131072,1572864
22399546,1746230435000,4,524288,1310720
22399547,1746230447000,6,786432,1441792
22399548,1746230459000,0,0,1835008
22399549,1746230471000,4,524288,1441792
22399550,1746230483000,0,0,1572864
22399551,1746230495000,6,786432,1179648
22399552,1746230507000,6,786432,1572864
22399553,1746230519000,5,655360,1966080
22399554,1746230531000,4,524288,2228224
22399555,1746230543000,2,262144,2359296
22399556,1746230555000,0,0,2228224
22399557,1746230567000,6,786432,1835008
22399558,1746230579000,0,0,2228224
22399559,1746230591000,0,0,1835008
22399560,1746230603000,4,524288,1441792
22399561,1746230615000,6,786432,1572864
22399562,1746230627000,0,0,1966080
22399563,1746230639000,6,786432,1572864
22399564,1746230651000,5,655360,1966080
22399565,1746230663000,3,393216,2228224
22399566,1746230675000,1,131072,2228224
22399567,1746230687000,3,393216,1966080
22399568,1746230699000,5,655360,1966080
22399569,1746230711000,1,131072,2228224
22399570,1746230723000,6,786432,1966080
22399571,1746230735000,4,524288,2359296
22399572,1746230747000,1,131072,2490368
22399573,1746230759000,1,131072,2228224
22399574,1746230771000,5,655360,1966080
22399575,1746230783000,0,0,2228224
22399576,1746230795000,0,0,1835008
22399577,1746230807000,4,524288,1441792
22399578,1746230819000,5,655360,1572864
22399579,1746230831000,0,0,1835008
22399580,1746230843000,6,786432,1441792
22399581,1746230855000,0,0,1835008
22399582,1746230867000,6,786432,1441792
22399583,1746230879000,6,786432,1835008
22399584,1746230891000,0,0,2228224
22399585,1746230903000,6,786432,1835008
22399586,1746230915000,0,0,2228224
22399587,1746230927000,0,0,1835008
22399588,1746230939000,4,524288,1441792
22399589,1746230951000,6,786432,1572864
22399590,1746230963000,6,786432,1966080
22399591,1746230975000,6,786432,2359296
22399592,1746230987000,5,655360,2752512
22399593,1746230999000,0,0,3014656
22399594,1746231011000,4,524288,2621440
22399595,1746231023000,6,786432,2752512
22399596,1746231035000,6,786432,3145728
22399597,1746231047000,0,0,3538944
22399598,1746231059000,0,0,3145728
22399599,1746231071000,2,262144,2752512
22399600,1746231083000,6,786432,2621440
22399601,1746231095000,6,786432,3014656
22399602,1746231107000,1,131072,3407872
22399603,1746231119000,2,262144,3145728
22399604,1746231131000,0,0,3014656
