block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
22763414,1750636811000,3,393216,0
22763415,1750636823000,3,393216,0
22763416,1750636835000,4,524288,0
22763417,1750636847000,7,917504,0
22763418,1750636859000,9,1179648,131072
22763419,1750636871000,9,1179648,524288
22763420,1750636883000,3,393216,917504
22763421,1750636895000,0,0,524288
22763422,1750636907000,4,524288,0
22763423,1750636919000,9,1179648,0
22763424,1750636931000,6,786432,393216
22763425,1750636943000,0,0,393216
22763426,1750636955000,7,917504,0
22763427,1750636967000,9,1179648,131072
22763428,1750636979000,3,393216,524288
22763429,1750636991000,0,0,131072
22763430,1750637003000,4,524288,0
22763431,1750637015000,9,1179648,0
22763432,1750637027000,5,655360,393216
22763433,1750637039000,0,0,262144
22763434,1750637051000,3,393216,0
22763435,1750637063000,1,131072,0
22763436,1750637075000,3,393216,0
22763437,1750637087000,0,0,0
22763438,1750637099000,0,0,0
22763439,1750637111000,0,0,0
22763440,1750637123000,0,0,0
22763441,1750637135000,7,917504,0
22763442,1750637147000,9,1179648,131072
22763443,1750637159000,8,1048576,524288
22763444,1750637171000,4,524288,786432
22763445,1750637183000,6,786432,524288
22763446,1750637195000,6,786432,524288
22763447,1750637207000,9,1179648,524288
22763448,1750637219000,9,1179648,917504
22763449,1750637231000,3,393216,1310720
22763450,1750637243000,6,786432,917504
22763451,1750637255000,0,0,917504
22763452,1750637267000,5,655360,131072
22763453,1750637279000,4,524288,0
22763454,1750637291000,4,524288,0
22763455,1750637303000,3,393216,0
22763456,1750637315000,7,917504,0
22763457,1750637327000,9,1179648,131072
22763458,1750637339000,6,786432,524288
22763459,1750637351000,3,393216,524288
22763460,1750637363000,0,0,131072
22763461,1750637375000,6,786432,0
22763462,1750637387000,1,131072,0
22763463,1750637399000,1,131072,0
22763464,1750637411000,6,786432,0
22763465,1750637423000,9,1179648,0
22763466,1750637435000,9,1179648,393216
22763467,1750637447000,0,0,786432
22763468,1750637459000,5,655360,0
22763469,1750637471000,3,393216,0
22763470,1750637483000,1,131072,0
22763471,1750637495000,9,1179648,0
22763472,1750637507000,4,524288,393216
22763473,1750637519000,0,0,131072
22763474,1750637531000,0,0,0
22763475,1750637543000,7,917504,0
22763476,1750637555000,6,786432,131072
22763477,1750637567000,3,393216,131072
22763478,1750637579000,9,1179648,0
22763479,1750637591000,6,786432,393216
22763480,1750637603000,3,393216,393216
22763481,1750637615000,3,393216,0
22763482,1750637627000,9,1179648,0
22763483,1750637639000,0,0,393216
22763484,1750637651000,3,393216,0
22763485,1750637663000,7,917504,0
22763486,1750637675000,6,786432,131072
22763487,1750637687000,9,1179648,131072
22763488,1750637699000,0,0,524288
22763489,1750637711000,7,917504,0
22763490,1750637723000,0,0,131072
22763491,1750637735000,0,0,0
22763492,1750637747000,8,1048576,0
22763493,1750637759000,9,1179648,262144
22763494,1750637771000,8,1048576,655360
22763495,1750637783000,0,0,917504
22763496,1750637795000,6,786432,131072
22763497,1750637807000,1,131072,131072
22763498,1750637819000,0,0,0
22763499,1750637831000,4,524288,0
22763500,1750637843000,9,1179648,0
22763501,1750637855000,5,655360,393216
22763502,1750637867000,6,786432,262144
22763503,1750637879000,3,393216,262144
22763504,1750637891000,4,524288,0
22763505,1750637903000,3,393216,0
22763506,1750637915000,6,786432,0
22763507,1750637927000,4,524288,0
22763508,1750637939000,0,0,0
22763509,1750637951000,9,1179648,0
22763510,1750637963000,0,0,393216
22763511,1750637975000,8,1048576,0
22763512,1750637987000,0,0,262144
22763513,1750637999000,9,1179648,0
22763514,1750638011000,3,393216,393216
22763515,1750638023000,0,0,0
22763516,1750638035000,1,131072,0
22763517,1750638047000,4,524288,0
22763518,1750638059000,6,786432,0
22763519,1750638071000,4,524288,0
22763520,1750638083000,7,917504,0
22763521,1750638095000,6,786432,131072
22763522,1750638107000,0,0,131072
22763523,1750638119000,3,393216,0
22763524,1750638131000,0,0,0
22763525,1750638143000,7,917504,0
22763526,1750638155000,0,0,131072
22763527,1750638167000,4,524288,0
22763528,1750638179000,6,786432,0
22763529,1750638191000,7,917504,0
22763530,1750638203000,7,917504,131072
22763531,1750638215000,3,393216,262144
22763532,1750638227000,0,0,0
22763533,1750638239000,9,1179648,0
22763534,1750638251000,0,0,393216
22763535,1750638263000,4,524288,0
22763536,1750638275000,0,0,0
22763537,1750638287000,9,1179648,0
22763538,1750638299000,0,0,393216
22763539,1750638311000,9,1179648,0
22763540,1750638323000,4,524288,393216
22763541,1750638335000,0,0,131072
22763542,1750638347000,9,1179648,0
22763543,1750638359000,4,524288,393216
22763544,1750638371000,3,393216,131072
22763545,1750638383000,3,393216,0
