_day,block_count,total_bytes,total_txs,non_empty_blocks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,daily_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_eth_usd,p10_eth_usd,p50_eth_usd,p90_eth_usd,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_mib_7d,cost_per_mib_usd_7d,cumulative_daily_mib,cumulative_daily_da_spend_usd
2026-01-01,29156,828440359,70574,23867,3087.6089752751177,1000.0,2000.0,4000.0,1790.0,49806.0,407154.30000000005,790.0622930526733,0.013548880042747177,0.476837158203125,2.8414060879407326,2980.425416666667,2972.5060000000003,2979.28,2987.0750000000003,3.1252025617066673e-09,4.464575088152382e-10,3.1168984514560006e-09,3.1240015052800006e-09,3.1321751552000005e-09,2.4691047021560583e-06,0.01335538521089437,2.8008272805797554,792.1570950916836,3.099835635809524e-09,18670.00839805603,5.784644811375057e-05
2026-01-02,28982,816713897,84563,25008,3124.0915500596593,1000.0,2000.0,4000.0,1879.5,49322.70000000002,410838.9799999994,778.8790674209595,0.013437289825080386,0.476837158203125,2.818003923124698,3056.70125,3000.75,3045.55,3122.781,3.2051835699200003e-09,4.578833671314286e-10,3.146514432e-09,3.1934906368000004e-09,3.274473209856e-09,2.4964503898522715e-06,0.013446469639875003,2.819929069820314,790.37493624006,3.1167574679161906e-09,19448.88746547699,6.034289850360284e-05
2026-01-03,29319,864997047,93335,25844,3093.2264069884004,1000.0,2000.0,5000.0,4963.0,51339.600000000006,427989.1,824.9254674911499,0.014068103746566219,0.476837158203125,2.9502951908318837,3109.754166666667,3098.714,3109.28,3124.345,3.2608135850666672e-09,4.658305121523811e-10,3.2492371312640003e-09,3.2603163852800003e-09,3.27611318272e-09,2.6899281710626128e-06,0.013657512591215257,2.864187984569226,795.1740067345755,3.1439378061409532e-09,20273.81293296814,6.303282667466545e-05
2026-01-04,29447,864287034,88942,25659,3065.715705059967,1000.0,2000.0,4000.0,4963.0,50512.200000000004,425779.3600000004,824.2483463287354,0.013995455332100644,0.476837158203125,2.935059714062553,3139.69875,3131.83,3138.54,3147.7309999999998,3.2922127564800004e-09,4.703161080685715e-10,3.2839617740800003e-09,3.2909977190400003e-09,3.300635181056e-09,2.7136009202910076e-06,0.013863621758751074,2.907412209860833,800.6345683506557,3.1739081679238103e-09,21098.061279296875,6.574642759495646e-05
2026-01-05,29787,869345387,84801,25818,3034.4185719804727,1000.0,2000.0,4000.0,4569.0,50857.80000000001,430648.1599999999,829.0723676681519,0.013916681231210794,0.476837158203125,2.918539587739618,3184.2762500000003,3154.6879999999996,3174.9750000000004,3232.596,3.3389556531200004e-09,4.769936647314286e-10,3.307930124288e-09,3.3292025856000007e-09,3.389622583296e-09,2.768235868871159e-06,0.01397798282801318,2.9313954643733493,806.5031516211374,3.2066331638247625e-09,21927.133646965027,6.851466346382762e-05
2026-01-06,29879,832452267,80138,25610,3014.969641984786,1000.0,2000.0,4000.0,1734.0,49712.2,412999.14,793.8883466720581,0.013285055501724591,0.476837158203125,2.786078071555273,3233.1745833333334,3216.541,3225.29,3271.7019999999998,3.3902292718933337e-09,4.843184674133334e-10,3.3727876956160002e-09,3.3819616870400004e-09,3.430628196352e-09,2.691463511502614e-06,0.013738798398241589,2.8812348538469137,805.6477357319424,3.2473839479466673e-09,22721.021993637085,7.120612697533023e-05
2026-01-07,30064,833334461,84495,26233,3007.135646907306,1000.0,2000.0,4000.0,1765.0,49609.100000000006,411456.38999999984,794.7296724319458,0.01321729763890277,0.476837158203125,2.7718682178020226,3209.5866666666666,3146.378,3214.11,3263.9320000000002,3.3654955485866666e-09,4.807850783695238e-10,3.2992164577280004e-09,3.3702386073600005e-09,3.4224807608320006e-09,2.674659174899453e-06,0.013638394759761797,2.860178684722397,805.1150801522391,3.2825847066819053e-09,23515.75166606903,7.388078615022968e-05
2026-01-08,31338,714271631,78691,27130,2872.8796647375775,1000.0,2000.0,3000.0,1477.0,43833.29999999999,409001.2000000001,681.1825094223022,0.010868314975785026,0.476837158203125,2.2792508488097516,3122.39,3094.6000000000004,3116.205,3162.579,3.2740632166400002e-09,4.677233166628572e-10,3.2449232896000007e-09,3.2675777740800003e-09,3.3162044375040004e-09,2.23023459791809e-06,0.01325545689305292,2.779870793417971,789.5608253479004,3.3038505145295243e-09,24196.934175491333,7.611102074814776e-05
2026-01-09,31675,53815030,60970,25669,2828.940906858733,1000.0,2000.0,3000.0,394.0,3406.4000000000087,27831.979999999803,51.322011947631836,0.0008101343638142358,0.476837158203125,0.1698974901341752,3097.459166666667,3076.742,3098.44,3115.2129999999997,3.2479213431466673e-09,4.639887633066668e-10,3.2261978193920004e-09,3.2489498214400003e-09,3.266537586688e-09,1.6668985797794168e-07,0.011451577541443467,2.4015698744193257,685.624103137425,3.3099559107047622e-09,24248.256187438965,7.62777106061257e-05
2026-01-10,31706,60121600,61690,25845,2824.894583728304,1000.0,2000.0,3000.0,420.0,3791.0,30312.35000000001,57.33642578125,0.0009041888882427617,0.476837158203125,0.18962215353560838,3086.6454166666667,3080.643,3086.785,3092.669,3.236582304426667e-09,4.6236890063238096e-10,3.230288314368e-09,3.23672866816e-09,3.242898489344e-09,1.8557406108266668e-07,0.00957101827596869,2.0071880119484287,575.9685257502964,3.3064942991847618e-09,24305.592613220215,7.646328466720837e-05
2026-01-11,31637,44651501,59141,25472,2825.930529207824,1000.0,2000.0,3000.0,394.0,2542.0,23603.559999999998,42.58298969268799,0.0006729934837798778,0.476837158203125,0.14113696304959383,3103.8329166666667,3089.836,3101.8900000000003,3121.5969999999998,3.254604704426667e-09,4.649435292038096e-10,3.239927873536e-09,3.2525674086400004e-09,3.273231695872e-09,1.385907985823746e-07,0.007667809440494293,1.6080561903751491,464.3020462308611,3.3011217203200003e-09,24348.175602912903,7.660187546579074e-05
2026-01-12,31708,47177784,59452,25625,2814.9850084734717,1000.0,2000.0,3000.0,394.0,2823.0,23667.79,44.99224090576172,0.0007094777486085801,0.476837158203125,0.1487882679449981,3119.7029166666666,3099.429,3114.645,3153.667,3.2712456055466667e-09,4.67320800792381e-10,3.249986863104e-09,3.2659419955200004e-09,3.306859528192e-09,1.4718067034666999e-07,0.005781066085836835,1.212377430404489,352.2905995505197,3.2914488563809526e-09,24393.167843818665,7.674905613613741e-05
2026-01-13,36555,45977193,53947,28709,2436.5097265294617,1000.0,2000.0,3000.0,394.0,2851.0,13516.399999999965,43.84726810455322,0.0005997437847702534,0.476837158203125,0.12577538777185063,3151.2808333333337,3100.374,3132.1099999999997,3207.33,3.304357451093334e-09,4.720510644419048e-10,3.250977767424e-09,3.28425537536e-09,3.36312926208e-09,1.4488704707136753e-07,0.003968878697700501,0.8323341898640001,245.1418740408761,3.2791814534095242e-09,24437.015111923218,7.689394318320878e-05
2026-01-14,36664,49511670,64007,31108,2431.872554814377,1000.0,2000.0,3000.0,420.0,3130.0,14111.070000000029,47.218008041381836,0.0006439287590194992,0.476837158203125,0.1350416484835261,3334.3675000000003,3304.8410000000003,3333.3050000000003,3366.8709999999996,3.4963377356800007e-09,4.994768193828572e-10,3.4653769564160005e-09,3.4952236236800007e-09,3.530420125696e-09,1.65090103318725e-07,0.0021726831434314624,0.4556446799613577,138.3544934136527,3.2978731944228572e-09,24484.2331199646,7.70590332865275e-05
