_hour,block_count,total_bytes,total_txs,non_empty_blocks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,hourly_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_eth_usd,p10_eth_usd,p50_eth_usd,p90_eth_usd,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,hourly_da_spend_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_mib_24h,cost_per_mib_usd_24h,cumulative_hourly_mib,cumulative_hourly_da_spend_usd
2025-11-16 12:00:00+00:00,841,5528102,2290,770,3185.5036855036856,1000.0,2000.0,6000.0,2065.0,9892.0,93796.00000000004,5.272008895874023,0.0031343691414233194,0.476837158203125,0.6573248513674197,,,,,,,,,,,0.0031343691414233194,0.6573248513674197,5.272008895874023,,5.272008895874023,
2025-11-16 13:00:00+00:00,1113,8834540,3104,997,3356.0111835973903,1000.0,2000.0,6000.0,2053.0,12740.80000000003,117420.11999999866,8.425273895263672,0.0037849388568120717,0.476837158203125,0.793759209344115,,,,,,,,,,,0.0034596539991176957,0.7255420303557674,6.848641395568848,,13.697282791137695,
2025-11-16 14:00:00+00:00,1146,9941694,3154,1038,3254.0687160940324,1000.0,2000.0,6000.0,2081.0,13707.5,98288.3499999999,9.481138229370117,0.0041366222641230875,0.476837158203125,0.8675125654450262,3146.68,3146.68,3146.68,3146.68,3.29953312768e-09,4.713618753828571e-10,3.29953312768e-09,3.29953312768e-09,3.29953312768e-09,3.128332967592e-08,0.0036853100874528265,0.7728655420521869,7.7261403401692705,3.29953312768e-09,23.178421020507812,3.128332967592e-08
2025-11-16 15:00:00+00:00,1121,7646781,3181,1010,3309.7426470588234,1000.0,2000.0,6000.0,2556.0,10561.0,81480.2,7.292538642883301,0.003252693417878368,0.476837158203125,0.6821392506690455,3171.08,3171.08,3171.08,3171.08,3.3251183820800003e-09,4.750169117257143e-10,3.3251183820800003e-09,3.3251183820800003e-09,3.3251183820800003e-09,2.424855429348e-08,0.003577155920059212,0.7501839692064016,7.617739915847778,3.31232575488e-09,30.470959663391113,5.55318839694e-08
2025-11-16 16:00:00+00:00,1174,7428572,3233,1079,3172.8395061728397,1000.0,2000.0,6000.0,3012.0,11020.500000000002,73439.03999999998,7.084438323974609,0.003017222454844382,0.476837158203125,0.6327574105621805,3098.78,3098.78,3098.78,3098.78,3.2493063372800002e-09,4.641866196114286e-10,3.2493063372800002e-09,3.2493063372800002e-09,3.2493063372800002e-09,2.301951034216e-08,0.003465169227016246,0.7266986574775574,7.511079597473144,3.291319282346667e-09,37.55539798736572,7.855139431156e-08
2025-11-16 17:00:00+00:00,1161,5935681,3168,1057,3193.4046345811053,1000.0,2000.0,6000.0,2466.0,10059.0,55919.000000000175,5.660706520080566,0.002437858105116523,0.476837158203125,0.5112559000861326,3061.93,3061.93,3061.93,3061.93,3.21066631168e-09,4.586666159542857e-10,3.21066631168e-09,3.21066631168e-09,3.21066631168e-09,1.8174639724329997e-08,0.003293950706699625,0.6907915312456533,7.202684084574382,3.27115603968e-09,43.21610450744629,9.672603403589e-08
2025-11-16 18:00:00+00:00,1189,16922757,3244,1076,3138.7684301821337,1000.0,2000.0,6000.0,4492.0,26157.0,155037.67999999883,16.138798713684082,0.006786710981364206,0.476837158203125,1.4232764507989908,3090.97,3090.97,3090.97,3090.97,3.2411169587200002e-09,4.6301670838857146e-10,3.2411169587200002e-09,3.2411169587200002e-09,3.2411169587200002e-09,5.2307734204289996e-08,0.003792916460223137,0.7954322340389872,8.47927188873291,3.265148223488e-09,59.35490322113037,1.4903376824018e-07
2025-11-16 19:00:00+00:00,1080,46695767,3161,961,3437.440305635148,1000.0,2000.0,7000.0,11746.5,107547.70000000001,750557.4000000019,44.53255367279053,0.02061692299666228,0.476837158203125,4.3236821296296295,3065.45,3065.45,3065.45,3065.45,3.2143572992e-09,4.591938998857143e-10,3.2143572992e-09,3.2143572992e-09,3.2143572992e-09,1.4314353895015e-07,0.005895917277278029,1.2364634709878175,12.985932111740112,3.25668306944e-09,103.8874568939209,2.9217730719033e-07
2025-11-16 20:00:00+00:00,1153,23828145,3221,1052,3215.1785714285716,1000.0,2000.0,6000.0,10849.0,36786.6,224276.28000000084,22.724289894104004,0.009854418861276672,0.476837158203125,2.0666214223764094,3089.65,3089.65,3089.65,3089.65,3.2397328384000004e-09,4.6281897691428577e-10,3.2397328384000004e-09,3.2397328384000004e-09,3.2397328384000004e-09,7.362062819925e-08,0.006335750786611212,1.3287032433643278,14.0679718653361,3.254261607862857e-09,126.6117467880249,3.6579793538957997e-07
2025-11-16 21:00:00+00:00,1180,14571285,3240,1096,3145.104895104895,1000.0,2000.0,6000.0,6322.0,23728.800000000025,115489.98000000011,13.896260261535645,0.0058882458735320525,0.476837158203125,1.234854661016949,3093.21,3093.21,3093.21,3093.21,3.2434657689600004e-09,4.633522527085715e-10,3.2434657689600004e-09,3.2434657689600004e-09,3.2434657689600004e-09,4.507204447485e-08,0.006291000295303296,1.31931838512959,14.050800704956055,3.2529121280000004e-09,140.50800704956055,4.1086997986442995e-07
