height,timestamp_ms,size_bytes,num_transactions,block_time_ms
10034383,1770422404000,1501,4,6000
10034384,1770422406000,394,1,2000
10034385,1770422407000,260,1,1000
10034386,1770422408000,2348,2,1000
10034387,1770422409000,1093,1,1000
10034388,1770422410000,260,1,1000
10034389,1770422411000,2467,1,1000
10034390,1770422413000,3206,3,2000
10034391,1770422414000,4932,2,1000
10034392,1770422416000,2042,2,2000
10034393,1770422417000,524,1,1000
10034394,1770422419000,1446,1,2000
10034395,1770422420000,3384,2,1000
10034396,1770422421000,1535,1,1000
10034397,1770422444000,0,0,23000
10034398,1770422446000,27368,21,2000
10034399,1770422447000,260,1,1000
10034400,1770422448000,1447,1,1000
10034401,1770422450000,784,2,2000
10034402,1770422452000,0,0,2000
10034403,1770422455000,260,1,3000
10034404,1770422458000,2163,2,3000
10034405,1770422460000,260,1,2000
10034406,1770422461000,1535,1,1000
10034407,1770422464000,1077,2,3000
10034408,1770422467000,1489,4,3000
10034409,1770422469000,2395,3,2000
10034410,1770422471000,594,2,2000
10034411,1770422472000,484,1,1000
10034412,1770422474000,416,1,2000
10034413,1770422475000,2033,2,1000
10034414,1770422478000,260,1,3000
10034415,1770422479000,524,1,1000
10034416,1770422482000,1198,2,3000
10034417,1770422484000,1835,2,2000
10034418,1770422486000,3665,4,2000
10034419,1770422489000,3846,2,3000
10034420,1770422490000,1193,2,1000
10034421,1770422491000,0,0,1000
10034422,1770422491000,1535,1,0
10034423,1770422494000,968,2,3000
10034424,1770422496000,654,2,2000
10034425,1770422497000,420,1,1000
10034426,1770422498000,1535,1,1000
10034427,1770422504000,2467,4,6000
10034428,1770422506000,260,1,2000
10034429,1770422507000,524,1,1000
10034430,1770422509000,654,2,2000
10034431,1770422510000,808,1,1000
10034432,1770422511000,808,1,1000
10034433,1770422512000,260,1,1000
10034434,1770422514000,0,0,2000
10034435,1770422516000,1795,2,2000
10034436,1770422518000,0,0,2000
10034437,1770422519000,260,1,1000
10034438,1770422520000,1039,2,1000
10034439,1770422520000,394,1,0
10034440,1770422522000,808,1,2000
10034441,1770422522000,1770,2,0
10034442,1770422523000,0,0,1000
10034443,1770422525000,723,1,2000
10034444,1770422526000,260,1,1000
10034445,1770422532000,14711,6,6000
10034446,1770422553000,0,0,21000
10034447,1770422555000,23634,20,2000
10034448,1770422558000,260,1,3000
10034449,1770422560000,3332,2,2000
10034450,1770422562000,260,1,2000
10034451,1770422563000,524,1,1000
10034452,1770422565000,0,0,2000
10034453,1770422566000,260,1,1000
10034454,1770422568000,1121,1,2000
10034455,1770422569000,1770,2,1000
10034456,1770422571000,2348,2,2000
10034457,1770422573000,3278,3,2000
10034458,1770422576000,1707,2,3000
10034459,1770422579000,3107,3,3000
10034460,1770422580000,1131,1,1000
10034461,1770422583000,784,2,3000
10034462,1770422585000,1586,2,2000
10034463,1770422586000,0,0,1000
10034464,1770422587000,1795,2,1000
10034465,1770422588000,817,1,1000
10034466,1770422590000,2087,1,2000
10034467,1770422591000,260,1,1000
10034468,1770422593000,0,0,2000
10034469,1770422595000,260,1,2000
10034470,1770422597000,524,1,2000
10034471,1770422598000,260,1,1000
10034472,1770422599000,394,1,1000
10034473,1770422599000,1535,1,0
10034474,1770422600000,260,1,1000
