block_number,timestamp_ms,spec_version,submit_data_bytes,submit_data_count,block_fee_plancks,block_time_ms
2397259,1768043900000,50,0,0,0,0
2397260,1768043920000,50,0,0,0,20000
2397261,1768043940000,50,0,0,0,20000
2397262,1768043960000,50,0,0,0,20000
2397263,1768043980000,50,0,0,0,20000
2397264,1768044000000,50,0,0,0,20000
2397265,1768044020000,50,0,0,0,20000
2397266,1768044040001,50,0,0,0,20001
2397267,1768044060000,50,0,0,0,19999
2397268,1768044080000,50,0,0,0,20000
2397269,1768044100000,50,0,0,0,20000
2397270,1768044120000,50,0,0,0,20000
2397271,1768044140000,50,0,0,0,20000
2397272,1768044160001,50,0,0,0,20001
2397273,1768044180000,50,0,0,0,19999
2397274,1768044200000,50,0,0,0,20000
2397275,1768044220000,50,0,0,0,20000
2397276,1768044240000,50,0,0,0,20000
2397277,1768044260000,50,0,0,0,20000
2397278,1768044280000,50,0,0,0,20000
2397279,1768044300000,50,0,0,0,20000
2397280,1768044320001,50,0,0,0,20001
2397281,1768044340000,50,0,0,0,19999
2397282,1768044360000,50,0,0,0,20000
2397283,1768044380000,50,0,0,0,20000
2397284,1768044400001,50,0,0,0,20001
2397285,1768044420001,50,0,0,0,20000
2397286,1768044440000,50,0,0,0,19999
2397287,1768044460000,50,0,0,0,20000
2397288,1768044480001,50,0,0,0,20001
2397289,1768044500000,50,0,0,0,19999
2397290,1768044520000,50,0,0,0,20000
2397291,1768044540000,50,0,0,0,20000
2397292,1768044560000,50,0,0,0,20000
2397293,1768044580001,50,0,0,0,20001
2397294,1768044600000,50,0,0,0,19999
2397295,1768044620001,50,30135,1,137293134654803063,20001
2397296,1768044640000,50,0,0,0,19999
2397297,1768044660001,50,0,0,0,20001
2397298,1768044680000,50,0,0,0,19999
2397299,1768044700000,50,0,0,0,20000
2397300,1768044720001,50,0,0,0,20001
2397301,1768044740000,50,0,0,0,19999
2397302,1768044760000,50,0,0,0,20000
2397303,1768044780001,50,0,0,0,20001
2397304,1768044800001,50,0,0,0,20000
2397305,1768044820000,50,0,0,0,19999
2397306,1768044840000,50,0,0,0,20000
2397307,1768044860001,50,0,0,0,20001
2397308,1768044880000,50,0,0,0,19999
2397309,1768044900000,50,0,0,0,20000
2397310,1768044920001,50,0,0,0,20001
2397311,1768044940000,50,0,0,0,19999
2397312,1768044960000,50,0,0,0,20000
2397313,1768044980000,50,0,0,0,20000
2397314,1768045000000,50,0,0,0,20000
2397315,1768045020001,50,0,0,0,20001
2397316,1768045040000,50,0,0,0,19999
2397317,1768045060000,50,0,0,0,20000
2397318,1768045080001,50,0,0,0,20001
2397319,1768045100001,50,0,0,0,20000
2397320,1768045120000,50,0,0,0,19999
2397321,1768045140000,50,0,0,0,20000
2397322,1768045160000,50,0,0,0,20000
2397323,1768045180000,50,0,0,0,20000
2397324,1768045200000,50,168682,1,196407194773323950,20000
2397325,1768045220001,50,0,0,0,20001
2397326,1768045240000,50,0,0,0,19999
2397327,1768045260000,50,0,0,0,20000
2397328,1768045280000,50,0,0,0,20000
2397329,1768045300000,50,0,0,0,20000
2397330,1768045320000,50,0,0,0,20000
2397331,1768045340000,50,0,0,0,20000
2397332,1768045360001,50,0,0,0,20001
2397333,1768045380001,50,0,0,0,20000
2397334,1768045400000,50,0,0,0,19999
2397335,1768045420000,50,0,0,0,20000
2397336,1768045440000,50,0,0,0,20000
2397337,1768045460001,50,0,0,0,20001
2397338,1768045480000,50,0,0,0,19999
2397339,1768045500001,50,0,0,0,20001
2397340,1768045520000,50,0,0,0,19999
2397341,1768045540000,50,0,0,0,20000
2397342,1768045560000,50,0,0,0,20000
2397343,1768045580000,50,0,0,0,20000
2397344,1768045600000,50,0,0,0,20000
2397345,1768045620000,50,0,0,0,20000
2397346,1768045640000,50,324985,1,263099052923539796,20000
2397347,1768045660000,50,0,0,0,20000
2397348,1768045680000,50,0,0,0,20000
2397349,1768045700000,50,0,0,0,20000
2397350,1768045720001,50,0,0,0,20001
2397351,1768045740000,50,0,0,0,19999
2397352,1768045760000,50,0,0,0,20000
2397353,1768045780000,50,0,0,0,20000
2397354,1768045800000,50,0,0,0,20000
2397355,1768045820000,50,0,0,0,20000
2397356,1768045840001,50,0,0,0,20001
2397357,1768045860000,50,0,0,0,19999
2397358,1768045880000,50,0,0,0,20000
2397359,1768045900000,50,0,0,0,20000
2397360,1768045920000,50,0,0,0,20000
2397361,1768045940000,50,0,0,0,20000
2397362,1768045960000,50,0,0,0,20000
2397363,1768045980001,50,0,0,0,20001
2397364,1768046000001,50,0,0,0,20000
2397365,1768046020000,50,0,0,0,19999
2397366,1768046040001,50,0,0,0,20001
2397367,1768046060001,50,0,0,0,20000
2397368,1768046080000,50,0,0,0,19999
2397369,1768046100001,50,0,0,0,20001
2397370,1768046120000,50,0,0,0,19999
2397371,1768046140001,50,0,0,0,20001
2397372,1768046160000,50,0,0,0,19999
2397373,1768046180000,50,0,0,0,20000
2397374,1768046200000,50,0,0,0,20000
2397375,1768046220000,50,0,0,0,20000
2397376,1768046240000,50,0,0,0,20000
2397377,1768046260001,50,0,0,0,20001
2397378,1768046280000,50,0,0,0,19999
