block_number,timestamp_ms,spec_version,submit_data_bytes,submit_data_count,block_fee_plancks,block_time_ms
2392939,1767957500001,50,157929,1,191930406070158314,0
2392940,1767957520000,50,0,0,0,19999
2392941,1767957540001,50,0,0,0,20001
2392942,1767957560000,50,0,0,0,19999
2392943,1767957580001,50,0,0,0,20001
2392944,1767957600001,50,0,0,0,20000
2392945,1767957620000,50,0,0,0,19999
2392946,1767957640000,50,0,0,0,20000
2392947,1767957660001,50,0,0,0,20001
2392948,1767957680000,50,0,0,0,19999
2392949,1767957700000,50,0,0,0,20000
2392950,1767957720000,50,0,0,0,20000
2392951,1767957740001,50,0,0,0,20001
2392952,1767957760000,50,0,0,0,19999
2392953,1767957780000,50,0,0,0,20000
2392954,1767957800000,50,0,0,0,20000
2392955,1767957820000,50,0,0,0,20000
2392956,1767957840000,50,0,0,0,20000
2392957,1767957860000,50,0,0,0,20000
2392958,1767957880000,50,0,0,0,20000
2392959,1767957900000,50,0,0,0,20000
2392960,1767957920000,50,0,0,0,20000
2392961,1767957940001,50,0,0,0,20001
2392962,1767957960000,50,0,0,0,19999
2392963,1767957980000,50,0,0,0,20000
2392964,1767958000000,50,0,0,0,20000
2392965,1767958020000,50,0,0,0,20000
2392966,1767958040001,50,0,0,0,20001
2392967,1767958060000,50,0,0,0,19999
2392968,1767958080001,50,0,0,0,20001
2392969,1767958100000,50,0,0,0,19999
2392970,1767958120000,50,0,0,0,20000
2392971,1767958140000,50,0,0,0,20000
2392972,1767958160000,50,0,0,0,20000
2392973,1767958180000,50,0,0,0,20000
2392974,1767958200000,50,0,0,0,20000
2392975,1767958220000,50,0,0,0,20000
2392976,1767958240001,50,0,0,0,20001
2392977,1767958260000,50,0,0,0,19999
2392978,1767958280000,50,0,0,0,20000
2392979,1767958300000,50,0,0,0,20000
2392980,1767958320001,50,0,0,0,20001
2392981,1767958340000,50,0,0,0,19999
2392982,1767958360000,50,0,0,0,20000
2392983,1767958380000,50,1310970,5,1182490697028526175,20000
2392984,1767958400000,50,202948,1,211167995791685992,20000
2392985,1767958420000,50,0,0,0,20000
2392986,1767958440000,50,0,0,0,20000
2392987,1767958460000,50,0,0,0,20000
2392988,1767958480000,50,0,0,0,20000
2392989,1767958500000,50,0,0,0,20000
2392990,1767958520000,50,0,0,0,20000
2392991,1767958540000,50,0,0,0,20000
2392992,1767958560001,50,0,0,0,20001
2392993,1767958580000,50,0,0,0,19999
2392994,1767958600000,50,0,0,0,20000
2392995,1767958620000,50,0,0,0,20000
2392996,1767958640000,50,0,0,0,20000
2392997,1767958660000,50,0,0,0,20000
2392998,1767958680000,50,0,0,0,20000
2392999,1767958700001,50,0,0,0,20001
2393000,1767958720000,50,0,0,0,19999
2393001,1767958740000,50,0,0,0,20000
2393002,1767958760000,50,0,0,0,20000
2393003,1767958780000,50,0,0,0,20000
2393004,1767958800000,50,0,0,0,20000
2393005,1767958820000,50,0,0,0,20000
2393006,1767958840000,50,0,0,0,20000
2393007,1767958860000,50,0,0,0,20000
2393008,1767958880000,50,0,0,0,20000
2393009,1767958900001,50,0,0,0,20001
2393010,1767958920001,50,0,0,0,20000
2393011,1767958940000,50,0,0,0,19999
2393012,1767958960001,50,0,0,0,20001
2393013,1767958980000,50,0,0,0,19999
2393014,1767959000000,50,0,0,0,20000
2393015,1767959020000,50,0,0,0,20000
2393016,1767959040000,50,0,0,0,20000
2393017,1767959060000,50,0,0,0,20000
2393018,1767959080000,50,0,0,0,20000
2393019,1767959100000,50,0,0,0,20000
2393020,1767959120000,50,52082,1,146694425948314699,20000
2393021,1767959140000,50,0,0,0,20000
2393022,1767959160000,50,0,0,0,20000
2393023,1767959180000,50,0,0,0,20000
2393024,1767959200000,50,0,0,0,20000
2393025,1767959220001,50,0,0,0,20001
2393026,1767959240000,50,0,0,0,19999
2393027,1767959260000,50,0,0,0,20000
2393028,1767959280001,50,1200389,5,1135211080272206047,20001
2393029,1767959300000,50,0,0,0,19999
2393030,1767959320000,50,0,0,0,20000
2393031,1767959340000,50,0,0,0,20000
2393032,1767959360000,50,0,0,0,20000
2393033,1767959380000,50,0,0,0,20000
2393034,1767959400000,50,0,0,0,20000
2393035,1767959420000,50,0,0,0,20000
2393036,1767959440000,50,0,0,0,20000
2393037,1767959460000,50,0,0,0,20000
2393038,1767959480000,50,0,0,0,20000
2393039,1767959500000,50,0,0,0,20000
2393040,1767959520001,50,0,0,0,20001
2393041,1767959540001,50,0,0,0,20000
2393042,1767959560000,50,0,0,0,19999
2393043,1767959580000,50,0,0,0,20000
2393044,1767959600000,50,0,0,0,20000
2393045,1767959620001,50,0,0,0,20001
2393046,1767959640000,50,0,0,0,19999
2393047,1767959660000,50,0,0,0,20000
2393048,1767959680000,50,0,0,0,20000
2393049,1767959700000,50,0,0,0,20000
2393050,1767959720000,50,0,0,0,20000
2393051,1767959740001,50,0,0,0,20001
2393052,1767959760000,50,0,0,0,19999
2393053,1767959780000,50,0,0,0,20000
2393054,1767959800001,50,0,0,0,20001
2393055,1767959820000,50,0,0,0,19999
2393056,1767959840000,50,0,0,0,20000
2393057,1767959860000,50,0,0,0,20000
2393058,1767959880000,50,0,0,0,20000
2393059,1767959900000,50,324894,1,263286333078204259,20000
2393060,1767959920001,50,0,0,0,20001
2393061,1767959940000,50,0,0,0,19999
2393062,1767959960000,50,0,0,0,20000
2393063,1767959980000,50,0,0,0,20000
2393064,1767960000001,50,0,0,0,20001
2393065,1767960020000,50,0,0,0,19999
2393066,1767960040000,50,0,0,0,20000
2393067,1767960060000,50,0,0,0,20000
2393068,1767960080001,50,0,0,0,20001
2393069,1767960100000,50,0,0,0,19999
2393070,1767960120001,50,0,0,0,20001
2393071,1767960140001,50,0,0,0,20000
2393072,1767960160000,50,0,0,0,19999
2393073,1767960180000,50,1427486,6,1356698831103415057,20000
2393074,1767960200001,50,0,0,0,20001
2393075,1767960220000,50,0,0,0,19999
2393076,1767960240000,50,170028,1,197094905037106599,20000
2393077,1767960260001,50,0,0,0,20001
2393078,1767960280000,50,0,0,0,19999
2393079,1767960300000,50,0,0,0,20000
2393080,1767960320000,50,0,0,0,20000
2393081,1767960340001,50,0,0,0,20001
2393082,1767960360000,50,0,0,0,19999
2393083,1767960380001,50,0,0,0,20001
2393084,1767960400000,50,0,0,0,19999
