block_number,timestamp_ms,spec_version,submit_data_bytes,submit_data_count,block_fee_plancks,block_time_ms
2259019,1765278180000,49,262194,1,242303145993380201,0
2259020,1765278200000,49,0,0,0,20000
2259021,1765278220000,49,262194,1,242303060519032461,20000
2259022,1765278240001,49,0,0,0,20001
2259023,1765278260000,49,197143,1,213054072017647716,19999
2259024,1765278280000,49,0,0,0,20000
2259025,1765278300000,49,262194,1,242302895881193120,20000
2259026,1765278320000,49,0,0,0,20000
2259027,1765278340001,49,262194,1,242302810407078618,20001
2259028,1765278360000,49,15037,1,131194962100529729,19999
2259029,1765278380000,49,262194,1,242302725541217212,20000
2259030,1765278400000,49,0,0,0,20000
2259031,1765278420001,49,163387,1,197878348379253611,20001
2259032,1765278440000,49,0,0,0,19999
2259033,1765278460000,49,262194,1,242302552364046284,20000
2259034,1765278480000,49,0,0,0,20000
2259035,1765278500000,49,262194,1,242302466890252124,20000
2259036,1765278520000,49,0,0,0,20000
2259037,1765278540000,49,262194,1,242302381416537672,20000
2259038,1765278560000,49,0,0,0,20000
2259039,1765278580000,49,262194,1,242302295942902927,20000
2259040,1765278600000,49,0,0,0,20000
2259041,1765278620001,49,24998,1,135669711359776602,20001
2259042,1765278640001,49,0,0,0,20000
2259043,1765278660000,49,262194,1,242302119644923955,19999
2259044,1765278680000,49,132780,1,184122721435499618,20000
2259045,1765278700001,49,262194,1,242302037435593926,20001
2259046,1765278720000,49,0,0,0,19999
2259047,1765278740000,49,263001,2,367100307486453697,20000
2259048,1765278760000,49,0,0,0,20000
2259049,1765278780000,49,262194,1,242301867079454769,20000
2259050,1765278800000,49,0,0,0,20000
2259051,1765278820000,49,178653,1,204746268308565350,20000
2259052,1765278840000,49,1023571,4,957866445692377236,20000
2259053,1765278860000,49,262194,1,242301718413680622,20000
2259054,1765278880000,49,262194,1,242301678768942078,20000
2259055,1765278900001,49,262194,1,242301639124220681,20001
2259056,1765278920001,49,0,0,0,20000
2259057,1765278940000,49,262194,1,242301553651278150,19999
2259058,1765278960000,49,0,0,0,20000
2259059,1765278980001,49,125850,1,181002288508169192,20001
2259060,1765279000001,49,0,0,0,20000
2259061,1765279020001,49,262194,1,242301379629490953,20000
2259062,1765279040000,49,0,0,0,19999
2259063,1765279060001,49,262194,1,242301294156790410,20001
2259064,1765279080000,49,500001,1,349199859651028034,19999
2259065,1765279100001,49,262194,1,242301220231879551,20001
2259066,1765279120000,49,0,0,0,19999
2259067,1765279140000,49,262194,1,242301134759327652,20000
2259068,1765279160001,49,0,0,0,20001
2259069,1765279180000,49,124474,1,180387734001466914,19999
2259070,1765279200000,49,0,0,0,20000
2259071,1765279220000,49,262194,1,242300960707567546,20000
2259072,1765279240001,49,138503,1,186687929266912073,20001
2259073,1765279260000,49,262194,1,242300878627944111,19999
2259074,1765279280001,49,0,0,0,20001
2259075,1765279300000,49,262194,1,242300793155710769,19999
2259076,1765279320000,49,0,0,0,20000
2259077,1765279340000,49,262194,1,242300707683557133,20000
2259078,1765279360000,49,0,0,0,20000
2259079,1765279380000,49,262194,1,242300622211483203,20000
2259080,1765279400001,49,808,1,124798451153261133,20001
2259081,1765279420000,49,77151,1,159109752841711061,19999
2259082,1765279440001,49,0,0,0,20001
2259083,1765279460000,49,262194,1,242300447380094871,19999
2259084,1765279480001,49,0,0,0,20001
2259085,1765279500000,49,270617,2,370514945690758960,19999
2259086,1765279520000,49,0,0,0,20000
2259087,1765279540000,49,262194,1,242300276895024850,20000
2259088,1765279560000,49,0,0,0,20000
2259089,1765279580000,49,262194,1,242300191423352646,20000
2259090,1765279600000,49,0,0,0,20000
2259091,1765279620000,49,217007,1,221983676118496957,20000
2259092,1765279640000,49,0,0,0,20000
2259093,1765279660000,49,262194,1,242300019460709460,20000
2259094,1765279680001,49,0,0,0,20001
2259095,1765279700001,49,262194,1,242299933989277322,20000
2259096,1765279720000,49,0,0,0,19999
2259097,1765279740000,49,262194,1,242299848517924889,20000
2259098,1765279760000,49,1048776,4,969199235495980564,20000
2259099,1765279780001,49,262194,1,242299787780376181,20001
2259100,1765279800000,49,120262,1,178492333533127697,19999
2259101,1765279820000,49,262194,1,242299705290632866,20000
2259102,1765279840000,49,0,0,0,20000
2259103,1765279860001,49,39335,1,142119838388312008,20001
2259104,1765279880001,49,0,0,0,20000
2259105,1765279900000,49,262194,1,242299529321397905,19999
2259106,1765279920001,49,132780,1,184121409585258945,20001
2259107,1765279940000,49,262194,1,242299447114391199,19999
2259108,1765279960000,49,132780,1,184121367952126848,20000
2259109,1765279980000,49,262194,1,242299364907458225,20000
2259110,1765280000000,49,132780,1,184121326319032093,20000
2259111,1765280020000,49,262194,1,242299282700598986,20000
2259112,1765280040000,49,132780,1,184121284685974680,20000
2259113,1765280060000,49,103260,2,295279348470074158,20000
2259114,1765280080000,49,132780,1,184121241373172558,20000
2259115,1765280100000,49,262194,1,242299114970278697,20000
2259116,1765280120001,49,132780,1,184121199740191335,20001
2259117,1765280140000,49,394974,2,426420210948096838,19999
2259118,1765280160000,49,0,0,0,20000
2259119,1765280180000,49,262194,1,242298950557082300,20000
2259120,1765280200001,49,0,0,0,20001
2259121,1765280220000,49,262194,1,242298865389850507,19999
2259122,1765280240000,49,0,0,0,20000
2259123,1765280260000,49,9685,1,128785169677270535,20000
2259124,1765280280000,49,0,0,0,20000
2259125,1765280300000,49,262194,1,242298688753034894,20000
2259126,1765280320000,49,0,0,0,20000
2259127,1765280340000,49,262194,1,242298603282843687,20000
2259128,1765280360000,49,0,0,0,20000
2259129,1765280380000,49,262194,1,242298517812732185,20000
2259130,1765280400000,49,0,0,0,20000
2259131,1765280420001,49,262194,1,242298432342700386,20001
2259132,1765280440000,49,17698,1,132393020951502357,19999
2259133,1765280460000,49,262194,1,242298347541028891,20000
2259134,1765280480000,49,0,0,0,20000
2259135,1765280500001,49,150852,1,192244785795454801,20001
2259136,1765280520000,49,0,0,0,19999
2259137,1765280540000,49,262194,1,242298174089629741,20000
2259138,1765280560000,49,0,0,0,20000
2259139,1765280580000,49,262194,1,242298088619918476,20000
2259140,1765280600000,49,0,0,0,20000
2259141,1765280620000,49,262194,1,242298003150286915,20000
2259142,1765280640000,49,0,0,0,20000
2259143,1765280660000,49,1048776,4,969191670722940228,20000
2259144,1765280680000,49,0,0,0,20000
2259145,1765280700000,49,342260,2,402716798777611744,20000
2259146,1765280720000,49,807,1,124798342313814515,20000
2259147,1765280740000,49,471781,2,460947959364189327,20000
2259148,1765280760000,49,0,0,0,20000
2259149,1765280780001,49,262194,1,242297687180738507,20001
2259150,1765280800000,49,0,0,0,19999
2259151,1765280820000,49,262194,1,242297601711481302,20000
2259152,1765280840000,49,0,0,0,20000
2259153,1765280860001,49,262194,1,242297516242303800,20001
2259154,1765280880000,49,0,0,0,19999
2259155,1765280900000,49,262194,1,242297430773206001,20000
2259156,1765280920000,49,0,0,0,20000
2259157,1765280940000,49,27100,1,136616219267352812,20000
2259158,1765280960000,49,0,0,0,20000
2259159,1765280980000,49,262194,1,242297254532133983,20000
2259160,1765281000000,49,0,0,0,20000
2259161,1765281020000,49,262194,1,242297169063280237,20000
2259162,1765281040000,49,0,0,0,20000
2259163,1765281060000,49,262194,1,242297083594506195,20000
2259164,1765281080000,49,125445,1,180818812259333773,20000
2259165,1765281100000,49,174705,1,202961350853927551,20000
2259166,1765281120000,49,125445,1,180818771906798815,20000
2259167,1765281140000,49,262194,1,242296916879533403,20000
2259168,1765281160000,49,125445,1,180818732498701072,20000
2259169,1765281180001,49,262194,1,242296834509148215,20001
2259170,1765281200001,49,125445,1,180818693090638746,20000
2259171,1765281220000,49,262194,1,242296752138837055,19999
2259172,1765281240001,49,125445,1,180818653682611838,20001
2259173,1765281260000,49,24978,1,135656347109987485,19999
2259174,1765281280000,49,125445,1,180818611714409864,20000
2259175,1765281300000,49,387639,2,423115173319552833,20000
2259176,1765281320000,49,0,0,0,20000
2259177,1765281340001,49,262194,1,242296499677027941,20001
2259178,1765281360000,49,0,0,0,19999
2259179,1765281380001,49,263001,2,367094752057337345,20001
2259180,1765281400000,49,0,0,0,19999
2259181,1765281420001,49,166003,1,199056971030253448,20001
2259182,1765281440000,49,0,0,0,19999
2259183,1765281460000,49,262194,1,242296241390245416,20000
2259184,1765281480000,49,0,0,0,20000
2259185,1765281500000,49,262194,1,242296155922336462,20000
2259186,1765281520000,49,0,0,0,20000
2259187,1765281540001,49,262194,1,242296070454507209,20001
2259188,1765281560000,49,1048776,4,969184123248846428,19999
2259189,1765281580000,49,134318,1,184804348073326701,20000
2259190,1765281600000,49,391038,2,424645983982077033,20000
2259191,1765281620000,49,262194,1,242295930724914615,20000
2259192,1765281640000,49,0,0,0,20000
2259193,1765281660000,49,262194,1,242295855027707733,20000
2259194,1765281680000,49,0,0,0,20000
2259195,1765281700000,49,262194,1,242295775627689920,20000
2259196,1765281720000,49,0,0,0,20000
2259197,1765281740000,49,226629,1,226300972995482221,20000
2259198,1765281760000,49,0,0,0,20000
2259199,1765281780000,49,262194,1,242295603890095326,20000
2259200,1765281800000,49,0,0,0,20000
2259201,1765281820000,49,262194,1,242295518422780862,20000
2259202,1765281840000,49,0,0,0,20000
2259203,1765281860001,49,262194,1,242295432955546100,20001
2259204,1765281880000,49,0,0,0,19999
2259205,1765281900001,49,262194,1,242295355266185033,20001
2259206,1765281920000,49,0,0,0,19999
2259207,1765281940000,49,234396,1,229796802816045898,20000
2259208,1765281960000,49,0,0,0,20000
2259209,1765281980000,49,262194,1,242295183704886018,20000
2259210,1765282000000,49,0,0,0,20000
2259211,1765282020000,49,262194,1,242295098237963392,20000
2259212,1765282040001,49,808,1,124798433521537644,20001
2259213,1765282060000,49,262194,1,242295013058294584,19999
2259214,1765282080000,49,0,0,0,20000
2259215,1765282100000,49,262194,1,242294927591531092,20000
2259216,1765282120000,49,0,0,0,20000
2259217,1765282140001,49,262194,1,242294842124847300,20001
2259218,1765282160000,49,0,0,0,19999
2259219,1765282180001,49,52215,1,147903455213440947,20001
2259220,1765282200000,49,0,0,0,19999
2259221,1765282220000,49,262194,1,242294666455129887,20000
2259222,1765282240001,49,0,0,0,20001
2259223,1765282260000,49,262194,1,242294580988689614,19999
2259224,1765282280001,49,0,0,0,20001
2259225,1765282300000,49,262194,1,242294495522329042,19999
2259226,1765282320000,49,123051,1,179743915177917317,20000
2259227,1765282340000,49,262194,1,242294413100279424,20000
2259228,1765282360000,49,0,0,0,20000
2259229,1765282380000,49,262194,1,242294327634075414,20000
2259230,1765282400001,49,0,0,0,20001
2259231,1765282420000,49,262194,1,242294242167951104,19999
2259232,1765282440000,49,16573,1,131879361664296475,20000
2259233,1765282460000,49,628648,3,655887281279138793,20000
2259234,1765282480001,49,0,0,0,20001
2259235,1765282500000,49,786582,3,726882242045565780,19999
2259236,1765282520000,49,0,0,0,20000
2259237,1765282540000,49,488416,2,468411978226737606,20000
2259238,1765282560000,49,0,0,0,20000
2259239,1765282580001,49,262194,1,242293927487454347,20001
2259240,1765282600000,49,0,0,0,19999
2259241,1765282620000,49,262194,1,242293842021703188,20000
2259242,1765282640000,49,0,0,0,20000
2259243,1765282660000,49,167221,1,199599685419566109,20000
2259244,1765282680000,49,0,0,0,20000
2259245,1765282700001,49,263002,2,367092098034000723,20001
2259246,1765282720001,49,0,0,0,20000
2259247,1765282740001,49,262194,1,242293583769679957,20000
2259248,1765282760000,49,0,0,0,19999
2259249,1765282780000,49,262194,1,242293498304249326,20000
2259250,1765282800001,49,0,0,0,20001
2259251,1765282820001,49,48508,1,146232358262886032,20000
2259252,1765282840001,49,0,0,0,20000
2259253,1765282860001,49,262194,1,242293322553201260,20000
2259254,1765282880001,49,0,0,0,20000
2259255,1765282900000,49,262194,1,242293237088014223,19999
2259256,1765282920001,49,0,0,0,20001
2259257,1765282940001,49,267726,2,369210805431395161,20000
2259258,1765282960001,49,0,0,0,20000
2259259,1765282980000,49,161834,1,197175363825714384,19999
2259260,1765283000001,49,0,0,0,20001
2259261,1765283020000,49,262194,1,242292978822312780,19999
2259262,1765283040000,49,0,0,0,20000
2259263,1765283060000,49,262194,1,242292893357446285,20000
2259264,1765283080000,49,0,0,0,20000
2259265,1765283100000,49,262194,1,242292807892659488,20000
2259266,1765283120000,49,0,0,0,20000
2259267,1765283140001,49,36040,1,140630028095094853,20001
2259268,1765283160000,49,0,0,0,19999
2259269,1765283180000,49,262194,1,242292631861850862,20000
2259270,1765283200000,49,667130,2,548740382141558887,20000
2259271,1765283220000,49,262194,1,242292561982379492,20000
2259272,1765283240000,49,0,0,0,20000
2259273,1765283260000,49,262194,1,242292476517901715,20000
2259274,1765283280000,49,0,0,0,20000
2259275,1765283300001,49,262194,1,242292391053503636,20001
2259276,1765283320000,49,0,0,0,19999
2259277,1765283340000,49,78383,1,159663902460296373,20000
2259278,1765283360001,49,569235,4,753608057130505678,20001
2259279,1765283380000,49,262194,1,242292229893494573,19999
2259280,1765283400001,49,262194,1,242292190252860150,20001
2259281,1765283420000,49,262194,1,242292150612242873,19999
2259282,1765283440001,49,262194,1,242292110971642743,20001
2259283,1765283460000,49,262194,1,242292071331059758,19999
2259284,1765283480001,49,0,0,0,20001
2259285,1765283500000,49,262194,1,242291985867039530,19999
2259286,1765283520000,49,128868,1,182361274450827291,20000
2259287,1765283540001,49,262194,1,242291903578698286,20001
2259288,1765283560001,49,128868,1,182361234002219687,20000
2259289,1765283580000,49,262194,1,242291821290430927,19999
2259290,1765283600000,49,128868,1,182361193553648400,20000
2259291,1765283620000,49,219049,1,222896009553060834,20000
2259292,1765283640000,49,128868,1,182361152626691467,20000
2259293,1765283660000,49,262194,1,242291655740820716,20000
2259294,1765283680000,49,128868,1,182361112178193246,20000
2259295,1765283700001,49,262194,1,242291573452775887,20001
2259296,1765283720000,49,128868,1,182361071729731344,19999
2259297,1765283740000,49,391062,2,424652541931206790,20000
2259298,1765283760000,49,0,0,0,20000
2259299,1765283780000,49,262194,1,242291408876907884,20000
2259300,1765283800001,49,0,0,0,20001
2259301,1765283820001,49,91722,1,165656201488850341,20000
2259302,1765283840000,49,0,0,0,19999
2259303,1765283860000,49,262194,1,242291234377069885,20000
2259304,1765283880000,49,0,0,0,20000
2259305,1765283900000,49,262194,1,242291148913830146,20000
2259306,1765283920001,49,0,0,0,20001
2259307,1765283940000,49,262194,1,242291063450670104,19999
2259308,1765283960001,49,0,0,0,20001
2259309,1765283980000,49,262194,1,242290977987589760,19999
2259310,1765284000000,49,0,0,0,20000
2259311,1765284020000,49,263001,2,367089212748624115,20000
2259312,1765284040000,49,0,0,0,20000
2259313,1765284060001,49,262194,1,242290807348829103,20001
2259314,1765284080000,49,0,0,0,19999
2259315,1765284100000,49,248098,1,235951607281066853,20000
2259316,1765284120000,49,0,0,0,20000
2259317,1765284140001,49,262194,1,242290636105089736,20001
2259318,1765284160001,49,0,0,0,20000
2259319,1765284180000,49,262194,1,242290550642407907,19999
2259320,1765284200000,49,0,0,0,20000
2259321,1765284220000,49,262194,1,242290465179805774,20000
2259322,1765284240000,49,0,0,0,20000
2259323,1765284260001,49,786582,3,726871139151850017,20001
2259324,1765284280000,49,0,0,0,19999
2259325,1765284300000,49,524388,2,484580613240848324,20000
2259326,1765284320001,49,0,0,0,20001
2259327,1765284340000,49,354864,2,408376700174852766,19999
2259328,1765284360000,49,0,0,0,20000
2259329,1765284380000,49,524388,2,484580288474825516,20000
2259330,1765284400000,49,17074,1,132102546821212699,20000
2259331,1765284420000,49,309870,2,388156920477735390,20000
2259332,1765284440000,49,0,0,0,20000
2259333,1765284460000,49,262194,1,242289981493693767,20000
2259334,1765284480000,49,0,0,0,20000
2259335,1765284500001,49,262194,1,242289896031622386,20001
2259336,1765284520000,49,0,0,0,19999
2259337,1765284540000,49,262194,1,242289810569630701,20000
2259338,1765284560000,49,0,0,0,20000
2259339,1765284580000,49,262194,1,242289725107718712,20000
2259340,1765284600000,49,0,0,0,20000
2259341,1765284620000,49,14125,1,130778088380739971,20000
2259342,1765284640000,49,0,0,0,20000
2259343,1765284660000,49,262194,1,242289548588502787,20000
2259344,1765284680001,49,807,1,124798315807860271,20001
2259345,1765284700000,49,262194,1,242289463413991833,19999
2259346,1765284720000,49,0,0,0,20000
2259347,1765284740000,49,385194,2,422004141768935422,20000
2259348,1765284760000,49,0,0,0,20000
2259349,1765284780001,49,385194,2,422004020688548651,20001
2259350,1765284800000,49,0,0,0,19999
2259351,1765284820000,49,385194,2,422003899608270772,20000
2259352,1765284840000,49,0,0,0,20000
2259353,1765284860001,49,385194,2,422003778528101784,20001
2259354,1765284880001,49,0,0,0,20000
2259355,1765284900000,49,283771,2,376412840901285942,19999
2259356,1765284920000,49,0,0,0,20000
2259357,1765284940000,49,385194,2,422003533007202503,20000
2259358,1765284960000,49,123000,1,179714552269081166,20000
2259359,1765284980000,49,262194,1,242288884195352019,20000
2259360,1765285000000,49,0,0,0,20000
2259361,1765285020000,49,168267,1,200069474372355714,20000
2259362,1765285040000,49,0,0,0,20000
2259363,1765285060000,49,262194,1,242288711154804058,20000
2259364,1765285080000,49,0,0,0,20000
2259365,1765285100000,49,262194,1,242288625693917312,20000
2259366,1765285120000,49,0,0,0,20000
2259367,1765285140000,49,262194,1,242288540233110261,20000
2259368,1765285160000,49,524388,2,484577001188143496,20000
2259369,1765285180001,49,174514,1,202871562367719041,20001
2259370,1765285200000,49,456400,2,454008638340507272,19999
2259371,1765285220001,49,262194,1,242288390530389183,20001
2259372,1765285240000,49,262194,1,242288350891415421,19999
2259373,1765285260000,49,262194,1,242288311252458805,20000
2259374,1765285280001,49,0,0,0,20001
2259375,1765285300001,49,262194,1,242288225791944982,20000
2259376,1765285320000,49,0,0,0,19999
2259377,1765285340000,49,263002,2,367086551770940325,20000
2259378,1765285360000,49,0,0,0,20000
2259379,1765285380000,49,224365,1,225277107851424966,20000
2259380,1765285400000,49,0,0,0,20000
2259381,1765285420000,49,262194,1,242287968844335407,20000
2259382,1765285440000,49,0,0,0,20000
2259383,1765285460000,49,262194,1,242287883721769528,20000
2259384,1765285480000,49,0,0,0,20000
2259385,1765285500000,49,262194,1,242287806608845659,20000
2259386,1765285520000,49,0,0,0,20000
2259387,1765285540000,49,262194,1,242287721424717955,20000
2259388,1765285560000,49,0,0,0,20000
2259389,1765285580001,49,97913,1,168440757978801310,20001
2259390,1765285600000,49,0,0,0,19999
2259391,1765285620000,49,262194,1,242287546799235174,20000
2259392,1765285640000,49,0,0,0,20000
2259393,1765285660000,49,262194,1,242287461339434231,20000
2259394,1765285680000,49,0,0,0,20000
2259395,1765285700000,49,262194,1,242287376152628661,20000
2259396,1765285720000,49,317727,1,267243785726566490,20000
2259397,1765285740000,49,203136,1,215732481597132122,20000
2259398,1765285760000,49,0,0,0,20000
2259399,1765285780000,49,262194,1,242287211335602863,20000
2259400,1765285800000,49,0,0,0,20000
2259401,1765285820001,49,262194,1,242287126152028480,20001
2259402,1765285840001,49,0,0,0,20000
2259403,1765285860000,49,262194,1,242287040968533277,19999
2259404,1765285880001,49,0,0,0,20001
2259405,1765285900000,49,262194,1,242286955509204039,19999
2259406,1765285920001,49,0,0,0,20001
2259407,1765285940000,49,238084,2,355883828814428780,19999
2259408,1765285960000,49,0,0,0,20000
2259409,1765285980000,49,262194,1,242286784315799770,20000
2259410,1765286000000,49,808,1,124798406985571905,20000
2259411,1765286020000,49,262194,1,242286699416356603,20000
2259412,1765286040000,49,0,0,0,20000
2259413,1765286060000,49,786582,3,726859841872037622,20000
2259414,1765286080000,49,0,0,0,20000
2259415,1765286100000,49,524388,2,484573081726980584,20000
2259416,1765286120000,49,0,0,0,20000
2259417,1765286140000,49,524388,2,484572923174320010,20000
2259418,1765286160001,49,0,0,0,20001
2259419,1765286180000,49,350356,2,406349826730501385,19999
2259420,1765286200000,49,0,0,0,20000
2259421,1765286220000,49,174002,1,202645581252947080,20000
2259422,1765286240000,49,0,0,0,20000
2259423,1765286260000,49,262194,1,242286211937727954,20000
2259424,1765286280001,49,0,0,0,20001
2259425,1765286300000,49,262194,1,242286126479171817,19999
2259426,1765286320001,49,0,0,0,20001
2259427,1765286340000,49,262194,1,242286041020695372,19999
2259428,1765286360001,49,17540,1,132311382375833126,20001
2259429,1765286380001,49,262194,1,242285956793749009,20000
2259430,1765286400000,49,11650,1,129663506230413577,19999
2259431,1765286420000,49,262194,1,242285871866584402,20000
2259432,1765286440001,49,0,0,0,20001
2259433,1765286460000,49,237098,1,231001040227609686,19999
2259434,1765286480000,49,0,0,0,20000
2259435,1765286500001,49,262194,1,242285700383864574,20001
2259436,1765286520000,49,0,0,0,19999
2259437,1765286540000,49,262194,1,242285614925785478,20000
2259438,1765286560000,49,0,0,0,20000
2259439,1765286580000,49,262194,1,242285529743694997,20000
2259440,1765286600000,49,0,0,0,20000
2259441,1765286620000,49,160609,1,196625654386216006,20000
2259442,1765286640000,49,0,0,0,20000
2259443,1765286660001,49,263801,2,367434495840676786,20001
2259444,1765286680000,49,0,0,0,19999
2259445,1765286700000,49,262194,1,242285271383652603,20000
2259446,1765286720000,49,0,0,0,20000
2259447,1765286740000,49,262194,1,242285186198467733,20000
2259448,1765286760000,49,0,0,0,20000
2259449,1765286780000,49,262194,1,242285100740868132,20000
2259450,1765286800000,49,0,0,0,20000
2259451,1765286820000,49,240233,1,232408018769655596,20000
