block_number,timestamp_ms,spec_version,submit_data_bytes,submit_data_count,block_fee_plancks,block_time_ms
2401579,1768130300001,50,0,0,0,0
2401580,1768130320001,50,0,0,0,20000
2401581,1768130340000,50,0,0,0,19999
2401582,1768130360000,50,0,0,0,20000
2401583,1768130380001,50,0,0,0,20001
2401584,1768130400001,50,0,0,0,20000
2401585,1768130420000,50,0,0,0,19999
2401586,1768130440000,50,0,0,0,20000
2401587,1768130460001,50,0,0,0,20001
2401588,1768130480000,50,0,0,0,19999
2401589,1768130500000,50,0,0,0,20000
2401590,1768130520000,50,0,0,0,20000
2401591,1768130540000,50,0,0,0,20000
2401592,1768130560001,50,0,0,0,20001
2401593,1768130580000,50,0,0,0,19999
2401594,1768130600001,50,0,0,0,20001
2401595,1768130620000,50,0,0,0,19999
2401596,1768130640000,50,0,0,0,20000
2401597,1768130660000,50,0,0,0,20000
2401598,1768130680001,50,0,0,0,20001
2401599,1768130700000,50,0,0,0,19999
2401600,1768130720000,50,0,0,0,20000
2401601,1768130740001,50,0,0,0,20001
2401602,1768130760001,50,0,0,0,20000
2401603,1768130780000,50,0,0,0,19999
2401604,1768130800000,50,0,0,0,20000
2401605,1768130820000,50,0,0,0,20000
2401606,1768130840000,50,0,0,0,20000
2401607,1768130860001,50,0,0,0,20001
2401608,1768130880000,50,0,0,0,19999
2401609,1768130900000,50,0,0,0,20000
2401610,1768130920000,50,0,0,0,20000
2401611,1768130940000,50,0,0,0,20000
2401612,1768130960000,50,0,0,0,20000
2401613,1768130980000,50,0,0,0,20000
2401614,1768131000000,50,0,0,0,20000
2401615,1768131020000,50,0,0,0,20000
2401616,1768131040000,50,0,0,0,20000
2401617,1768131060001,50,0,0,0,20001
2401618,1768131080001,50,0,0,0,20000
2401619,1768131100000,50,0,0,0,19999
2401620,1768131120000,50,474221,1,326445931655201305,20000
2401621,1768131140000,50,0,0,0,20000
2401622,1768131160000,50,0,0,0,20000
2401623,1768131180000,50,0,0,0,20000
2401624,1768131200000,50,0,0,0,20000
2401625,1768131220000,50,0,0,0,20000
2401626,1768131240000,50,0,0,0,20000
2401627,1768131260000,50,0,0,0,20000
2401628,1768131280000,50,0,0,0,20000
2401629,1768131300000,50,0,0,0,20000
2401630,1768131320001,50,0,0,0,20001
2401631,1768131340000,50,0,0,0,19999
2401632,1768131360001,50,0,0,0,20001
2401633,1768131380000,50,0,0,0,19999
2401634,1768131400000,50,324712,1,262754291849193748,20000
2401635,1768131420001,50,0,0,0,20001
2401636,1768131440000,50,0,0,0,19999
2401637,1768131460000,50,0,0,0,20000
2401638,1768131480001,50,0,0,0,20001
2401639,1768131500001,50,0,0,0,20000
2401640,1768131520000,50,0,0,0,19999
2401641,1768131540000,50,0,0,0,20000
2401642,1768131560000,50,0,0,0,20000
2401643,1768131580001,50,0,0,0,20001
2401644,1768131600000,50,0,0,0,19999
2401645,1768131620000,50,0,0,0,20000
2401646,1768131640000,50,0,0,0,20000
2401647,1768131660000,50,0,0,0,20000
2401648,1768131680001,50,0,0,0,20001
2401649,1768131700000,50,0,0,0,19999
2401650,1768131720000,50,0,0,0,20000
2401651,1768131740000,50,0,0,0,20000
2401652,1768131760000,50,0,0,0,20000
2401653,1768131780000,50,0,0,0,20000
2401654,1768131800000,50,0,0,0,20000
2401655,1768131820001,50,0,0,0,20001
2401656,1768131840001,50,0,0,0,20000
2401657,1768131860000,50,0,0,0,19999
2401658,1768131880001,50,0,0,0,20001
2401659,1768131900000,50,0,0,0,19999
2401660,1768131920000,50,0,0,0,20000
2401661,1768131940000,50,0,0,0,20000
2401662,1768131960000,50,0,0,0,20000
2401663,1768131980001,50,0,0,0,20001
2401664,1768132000001,50,0,0,0,20000
2401665,1768132020000,50,0,0,0,19999
2401666,1768132040001,50,0,0,0,20001
2401667,1768132060000,50,0,0,0,19999
2401668,1768132080000,50,0,0,0,20000
2401669,1768132100000,50,0,0,0,20000
2401670,1768132120000,50,0,0,0,20000
2401671,1768132140000,50,0,0,0,20000
2401672,1768132160000,50,0,0,0,20000
2401673,1768132180001,50,0,0,0,20001
2401674,1768132200000,50,0,0,0,19999
2401675,1768132220000,50,0,0,0,20000
2401676,1768132240000,50,0,0,0,20000
2401677,1768132260000,50,0,0,0,20000
2401678,1768132280000,50,0,0,0,20000
2401679,1768132300001,50,0,0,0,20001
2401680,1768132320000,50,0,0,0,19999
2401681,1768132340000,50,0,0,0,20000
2401682,1768132360000,50,0,0,0,20000
2401683,1768132380000,50,0,0,0,20000
2401684,1768132400000,50,0,0,0,20000
2401685,1768132420000,50,0,0,0,20000
2401686,1768132440000,50,0,0,0,20000
2401687,1768132460001,50,0,0,0,20001
2401688,1768132480001,50,0,0,0,20000
2401689,1768132500001,50,0,0,0,20000
2401690,1768132520001,50,0,0,0,20000
2401691,1768132540001,50,0,0,0,20000
2401692,1768132560000,50,0,0,0,19999
2401693,1768132580000,50,0,0,0,20000
2401694,1768132600000,50,0,0,0,20000
2401695,1768132620000,50,0,0,0,20000
2401696,1768132640000,50,0,0,0,20000
2401697,1768132660000,50,0,0,0,20000
2401698,1768132680000,50,0,0,0,20000
2401699,1768132700001,50,0,0,0,20001
2401700,1768132720000,50,0,0,0,19999
2401701,1768132740000,50,0,0,0,20000
2401702,1768132760000,50,0,0,0,20000
2401703,1768132780000,50,0,0,0,20000
2401704,1768132800000,50,0,0,0,20000
2401705,1768132820001,50,0,0,0,20001
2401706,1768132840000,50,0,0,0,19999
2401707,1768132860000,50,0,0,0,20000
2401708,1768132880000,50,0,0,0,20000
2401709,1768132900001,50,0,0,0,20001
2401710,1768132920003,50,0,0,0,20002
2401711,1768132940000,50,0,0,0,19997
2401712,1768132960000,50,0,0,0,20000
2401713,1768132980000,50,0,0,0,20000
2401714,1768133000000,50,0,0,0,20000
2401715,1768133020000,50,0,0,0,20000
2401716,1768133040002,50,0,0,0,20002
2401717,1768133060000,50,0,0,0,19998
2401718,1768133080000,50,0,0,0,20000
2401719,1768133100000,50,0,0,0,20000
2401720,1768133120000,50,0,0,0,20000
2401721,1768133140000,50,0,0,0,20000
2401722,1768133160000,50,0,0,0,20000
2401723,1768133180000,50,0,0,0,20000
2401724,1768133200000,50,0,0,0,20000
2401725,1768133220000,50,0,0,0,20000
2401726,1768133240000,50,0,0,0,20000
2401727,1768133260000,50,0,0,0,20000
2401728,1768133280000,50,0,0,0,20000
2401729,1768133300000,50,0,0,0,20000
2401730,1768133320000,50,0,0,0,20000
2401731,1768133340000,50,0,0,0,20000
2401732,1768133360000,50,0,0,0,20000
2401733,1768133380000,50,0,0,0,20000
2401734,1768133400000,50,0,0,0,20000
2401735,1768133420000,50,0,0,0,20000
2401736,1768133440000,50,0,0,0,20000
2401737,1768133460001,50,0,0,0,20001
2401738,1768133480000,50,0,0,0,19999
2401739,1768133500000,50,0,0,0,20000
2401740,1768133520001,50,0,0,0,20001
2401741,1768133540000,50,0,0,0,19999
2401742,1768133560001,50,0,0,0,20001
2401743,1768133580000,50,0,0,0,19999
2401744,1768133600000,50,22790,1,134141901713022613,20000
2401745,1768133620000,50,0,0,0,20000
2401746,1768133640000,50,0,0,0,20000
2401747,1768133660000,50,0,0,0,20000
2401748,1768133680001,50,0,0,0,20001
2401749,1768133700001,50,0,0,0,20000
2401750,1768133720000,50,0,0,0,19999
2401751,1768133740000,50,0,0,0,20000
2401752,1768133760000,50,0,0,0,20000
2401753,1768133780001,50,0,0,0,20001
2401754,1768133800000,50,0,0,0,19999
2401755,1768133820001,50,0,0,0,20001
2401756,1768133840000,50,0,0,0,19999
2401757,1768133860000,50,0,0,0,20000
2401758,1768133880000,50,0,0,0,20000
2401759,1768133900000,50,0,0,0,20000
2401760,1768133920000,50,0,0,0,20000
2401761,1768133940001,50,0,0,0,20001
2401762,1768133960000,50,0,0,0,19999
2401763,1768133980000,50,0,0,0,20000
2401764,1768134000000,50,0,0,0,20000
2401765,1768134020000,50,0,0,0,20000
2401766,1768134040000,50,0,0,0,20000
2401767,1768134060000,50,0,0,0,20000
2401768,1768134080001,50,324894,1,262826075544677380,20001
2401769,1768134100000,50,0,0,0,19999
2401770,1768134120000,50,0,0,0,20000
2401771,1768134140001,50,0,0,0,20001
2401772,1768134160001,50,0,0,0,20000
2401773,1768134180000,50,0,0,0,19999
2401774,1768134200000,50,0,0,0,20000
2401775,1768134220000,50,0,0,0,20000
2401776,1768134240000,50,0,0,0,20000
2401777,1768134260000,50,0,0,0,20000
2401778,1768134280000,50,0,0,0,20000
2401779,1768134300000,50,0,0,0,20000
2401780,1768134320000,50,0,0,0,20000
2401781,1768134340000,50,0,0,0,20000
2401782,1768134360001,50,0,0,0,20001
2401783,1768134380000,50,0,0,0,19999
2401784,1768134400000,50,0,0,0,20000
2401785,1768134420001,50,0,0,0,20001
2401786,1768134440000,50,0,0,0,19999
2401787,1768134460000,50,0,0,0,20000
2401788,1768134480000,50,0,0,0,20000
2401789,1768134500000,50,0,0,0,20000
2401790,1768134520000,50,0,0,0,20000
2401791,1768134540000,50,0,0,0,20000
2401792,1768134560000,50,0,0,0,20000
2401793,1768134580000,50,0,0,0,20000
2401794,1768134600000,50,0,0,0,20000
2401795,1768134620000,50,0,0,0,20000
2401796,1768134640001,50,0,0,0,20001
2401797,1768134660000,50,0,0,0,19999
2401798,1768134680000,50,0,0,0,20000
2401799,1768134700000,50,0,0,0,20000
2401800,1768134720000,50,0,0,0,20000
2401801,1768134740000,50,0,0,0,20000
2401802,1768134760000,50,0,0,0,20000
2401803,1768134780000,50,0,0,0,20000
2401804,1768134800000,50,0,0,0,20000
2401805,1768134820000,50,0,0,0,20000
2401806,1768134840001,50,331383,1,265584685862377505,20001
2401807,1768134860000,50,0,0,0,19999
2401808,1768134880000,50,0,0,0,20000
2401809,1768134900000,50,0,0,0,20000
2401810,1768134920001,50,0,0,0,20001
2401811,1768134940000,50,0,0,0,19999
2401812,1768134960000,50,0,0,0,20000
2401813,1768134980000,50,0,0,0,20000
2401814,1768135000000,50,0,0,0,20000
2401815,1768135020001,50,0,0,0,20001
2401816,1768135040001,50,0,0,0,20000
2401817,1768135060001,50,0,0,0,20000
2401818,1768135080000,50,0,0,0,19999
2401819,1768135100000,50,0,0,0,20000
2401820,1768135120000,50,0,0,0,20000
2401821,1768135140000,50,0,0,0,20000
2401822,1768135160000,50,0,0,0,20000
2401823,1768135180000,50,0,0,0,20000
2401824,1768135200000,50,0,0,0,20000
2401825,1768135220001,50,0,0,0,20001
2401826,1768135240000,50,0,0,0,19999
2401827,1768135260000,50,0,0,0,20000
2401828,1768135280000,50,0,0,0,20000
2401829,1768135300000,50,0,0,0,20000
2401830,1768135320001,50,0,0,0,20001
2401831,1768135340000,50,0,0,0,19999
2401832,1768135360000,50,0,0,0,20000
2401833,1768135380000,50,0,0,0,20000
2401834,1768135400000,50,0,0,0,20000
2401835,1768135420000,50,0,0,0,20000
2401836,1768135440000,50,0,0,0,20000
2401837,1768135460000,50,0,0,0,20000
2401838,1768135480000,50,0,0,0,20000
2401839,1768135500000,50,0,0,0,20000
2401840,1768135520000,50,0,0,0,20000
2401841,1768135540000,50,0,0,0,20000
2401842,1768135560001,50,0,0,0,20001
2401843,1768135580000,50,0,0,0,19999
2401844,1768135600000,50,0,0,0,20000
2401845,1768135620000,50,0,0,0,20000
2401846,1768135640001,50,0,0,0,20001
2401847,1768135660001,50,0,0,0,20000
2401848,1768135680000,50,0,0,0,19999
2401849,1768135700000,50,0,0,0,20000
2401850,1768135720001,50,0,0,0,20001
2401851,1768135740000,50,0,0,0,19999
2401852,1768135760000,50,0,0,0,20000
2401853,1768135780001,50,0,0,0,20001
2401854,1768135800000,50,0,0,0,19999
2401855,1768135820000,50,0,0,0,20000
2401856,1768135840000,50,0,0,0,20000
2401857,1768135860000,50,0,0,0,20000
2401858,1768135880001,50,0,0,0,20001
2401859,1768135900001,50,0,0,0,20000
2401860,1768135920001,50,0,0,0,20000
2401861,1768135940000,50,0,0,0,19999
2401862,1768135960000,50,0,0,0,20000
2401863,1768135980001,50,0,0,0,20001
2401864,1768136000000,50,0,0,0,19999
2401865,1768136020000,50,0,0,0,20000
2401866,1768136040000,50,0,0,0,20000
2401867,1768136060000,50,0,0,0,20000
2401868,1768136080000,50,0,0,0,20000
2401869,1768136100000,50,0,0,0,20000
2401870,1768136120000,50,0,0,0,20000
2401871,1768136140001,50,0,0,0,20001
2401872,1768136160000,50,0,0,0,19999
2401873,1768136180000,50,0,0,0,20000
2401874,1768136200000,50,0,0,0,20000
2401875,1768136220000,50,0,0,0,20000
2401876,1768136240000,50,0,0,0,20000
2401877,1768136260000,50,0,0,0,20000
2401878,1768136280000,50,0,0,0,20000
2401879,1768136300000,50,0,0,0,20000
2401880,1768136320001,50,0,0,0,20001
2401881,1768136340000,50,0,0,0,19999
2401882,1768136360000,50,0,0,0,20000
2401883,1768136380000,50,0,0,0,20000
2401884,1768136400000,50,0,0,0,20000
2401885,1768136420000,50,0,0,0,20000
2401886,1768136440000,50,0,0,0,20000
2401887,1768136460001,50,0,0,0,20001
2401888,1768136480000,50,0,0,0,19999
2401889,1768136500000,50,0,0,0,20000
2401890,1768136520001,50,0,0,0,20001
2401891,1768136540000,50,0,0,0,19999
2401892,1768136560001,50,0,0,0,20001
2401893,1768136580000,50,0,0,0,19999
2401894,1768136600001,50,0,0,0,20001
2401895,1768136620000,50,0,0,0,19999
2401896,1768136640000,50,0,0,0,20000
2401897,1768136660000,50,0,0,0,20000
2401898,1768136680001,50,0,0,0,20001
2401899,1768136700001,50,0,0,0,20000
2401900,1768136720000,50,0,0,0,19999
2401901,1768136740000,50,0,0,0,20000
2401902,1768136760000,50,325713,1,263173731966944373,20000
2401903,1768136780000,50,0,0,0,20000
2401904,1768136800000,50,0,0,0,20000
2401905,1768136820001,50,0,0,0,20001
2401906,1768136840000,50,0,0,0,19999
2401907,1768136860000,50,0,0,0,20000
2401908,1768136880000,50,0,0,0,20000
2401909,1768136900000,50,0,0,0,20000
2401910,1768136920001,50,0,0,0,20001
2401911,1768136940001,50,0,0,0,20000
2401912,1768136960001,50,0,0,0,20000
2401913,1768136980000,50,0,0,0,19999
2401914,1768137000000,50,0,0,0,20000
2401915,1768137020000,50,40007,1,141470859147257263,20000
2401916,1768137040001,50,0,0,0,20001
2401917,1768137060001,50,0,0,0,20000
2401918,1768137080000,50,0,0,0,19999
2401919,1768137100000,50,0,0,0,20000
2401920,1768137120000,50,0,0,0,20000
2401921,1768137140000,50,0,0,0,20000
2401922,1768137160000,50,0,0,0,20000
2401923,1768137180000,50,0,0,0,20000
2401924,1768137200000,50,0,0,0,20000
2401925,1768137220001,50,0,0,0,20001
2401926,1768137240001,50,0,0,0,20000
2401927,1768137260001,50,0,0,0,20000
2401928,1768137280000,50,0,0,0,19999
2401929,1768137300000,50,0,0,0,20000
2401930,1768137320000,50,0,0,0,20000
2401931,1768137340001,50,0,0,0,20001
2401932,1768137360000,50,0,0,0,19999
2401933,1768137380001,50,0,0,0,20001
2401934,1768137400000,50,0,0,0,19999
2401935,1768137420000,50,0,0,0,20000
2401936,1768137440000,50,0,0,0,20000
2401937,1768137460000,50,0,0,0,20000
2401938,1768137480001,50,0,0,0,20001
2401939,1768137500000,50,0,0,0,19999
2401940,1768137520000,50,0,0,0,20000
2401941,1768137540000,50,0,0,0,20000
2401942,1768137560000,50,0,0,0,20000
2401943,1768137580000,50,0,0,0,20000
2401944,1768137600001,50,0,0,0,20001
2401945,1768137620001,50,0,0,0,20000
2401946,1768137640000,50,0,0,0,19999
2401947,1768137660000,50,0,0,0,20000
2401948,1768137680000,50,0,0,0,20000
2401949,1768137700001,50,0,0,0,20001
2401950,1768137720000,50,0,0,0,19999
2401951,1768137740000,50,0,0,0,20000
2401952,1768137760000,50,0,0,0,20000
2401953,1768137780000,50,0,0,0,20000
2401954,1768137800001,50,0,0,0,20001
2401955,1768137820000,50,0,0,0,19999
2401956,1768137840001,50,0,0,0,20001
2401957,1768137860000,50,0,0,0,19999
2401958,1768137880000,50,0,0,0,20000
2401959,1768137900000,50,0,0,0,20000
2401960,1768137920000,50,0,0,0,20000
2401961,1768137940000,50,0,0,0,20000
2401962,1768137960001,50,0,0,0,20001
2401963,1768137980000,50,0,0,0,19999
2401964,1768138000000,50,0,0,0,20000
2401965,1768138020000,50,0,0,0,20000
2401966,1768138040000,50,0,0,0,20000
2401967,1768138060000,50,0,0,0,20000
2401968,1768138080001,50,0,0,0,20001
2401969,1768138100000,50,0,0,0,19999
2401970,1768138120000,50,0,0,0,20000
2401971,1768138140001,50,0,0,0,20001
2401972,1768138160000,50,0,0,0,19999
2401973,1768138180000,50,0,0,0,20000
2401974,1768138200000,50,0,0,0,20000
2401975,1768138220000,50,0,0,0,20000
2401976,1768138240000,50,0,0,0,20000
2401977,1768138260000,50,0,0,0,20000
2401978,1768138280000,50,0,0,0,20000
2401979,1768138300000,50,0,0,0,20000
2401980,1768138320001,50,0,0,0,20001
2401981,1768138340000,50,0,0,0,19999
2401982,1768138360001,50,0,0,0,20001
2401983,1768138380000,50,0,0,0,19999
2401984,1768138400000,50,0,0,0,20000
2401985,1768138420000,50,0,0,0,20000
2401986,1768138440000,50,0,0,0,20000
2401987,1768138460001,50,0,0,0,20001
2401988,1768138480000,50,0,0,0,19999
2401989,1768138500001,50,0,0,0,20001
2401990,1768138520001,50,0,0,0,20000
2401991,1768138540000,50,0,0,0,19999
2401992,1768138560000,50,0,0,0,20000
2401993,1768138580001,50,0,0,0,20001
2401994,1768138600000,50,0,0,0,19999
2401995,1768138620000,50,0,0,0,20000
2401996,1768138640000,50,0,0,0,20000
2401997,1768138660000,50,0,0,0,20000
2401998,1768138680000,50,0,0,0,20000
2401999,1768138700000,50,0,0,0,20000
2402000,1768138720000,50,0,0,0,20000
2402001,1768138740000,50,0,0,0,20000
2402002,1768138760001,50,0,0,0,20001
2402003,1768138780000,50,0,0,0,19999
2402004,1768138800001,50,169606,1,196674405920228884,20001
2402005,1768138820000,50,0,0,0,19999
2402006,1768138840000,50,0,0,0,20000
2402007,1768138860000,50,0,0,0,20000
2402008,1768138880001,50,0,0,0,20001
2402009,1768138900001,50,0,0,0,20000
2402010,1768138920000,50,0,0,0,19999
2402011,1768138940001,50,0,0,0,20001
2402012,1768138960000,50,0,0,0,19999
2402013,1768138980000,50,0,0,0,20000
2402014,1768139000000,50,0,0,0,20000
2402015,1768139020000,50,0,0,0,20000
2402016,1768139040000,50,0,0,0,20000
2402017,1768139060000,50,0,0,0,20000
2402018,1768139080001,50,0,0,0,20001
2402019,1768139100000,50,0,0,0,19999
2402020,1768139120000,50,0,0,0,20000
2402021,1768139140001,50,0,0,0,20001
2402022,1768139160000,50,0,0,0,19999
2402023,1768139180000,50,0,0,0,20000
2402024,1768139200001,50,0,0,0,20001
2402025,1768139220000,50,0,0,0,19999
2402026,1768139240000,50,0,0,0,20000
2402027,1768139260000,50,0,0,0,20000
2402028,1768139280000,50,0,0,0,20000
2402029,1768139300000,50,0,0,0,20000
2402030,1768139320001,50,0,0,0,20001
2402031,1768139340000,50,0,0,0,19999
2402032,1768139360001,50,0,0,0,20001
2402033,1768139380001,50,0,0,0,20000
2402034,1768139400000,50,0,0,0,19999
2402035,1768139420000,50,0,0,0,20000
2402036,1768139440001,50,325258,1,262969582192830061,20001
2402037,1768139460000,50,0,0,0,19999
2402038,1768139480000,50,0,0,0,20000
2402039,1768139500000,50,0,0,0,20000
2402040,1768139520000,50,0,0,0,20000
2402041,1768139540000,50,0,0,0,20000
2402042,1768139560000,50,0,0,0,20000
2402043,1768139580000,50,0,0,0,20000
2402044,1768139600000,50,0,0,0,20000
2402045,1768139620000,50,0,0,0,20000
2402046,1768139640000,50,0,0,0,20000
2402047,1768139660000,50,0,0,0,20000
2402048,1768139680000,50,0,0,0,20000
2402049,1768139700000,50,0,0,0,20000
2402050,1768139720001,50,0,0,0,20001
2402051,1768139740000,50,0,0,0,19999
2402052,1768139760000,50,0,0,0,20000
2402053,1768139780001,50,0,0,0,20001
2402054,1768139800000,50,0,0,0,19999
2402055,1768139820000,50,0,0,0,20000
2402056,1768139840001,50,0,0,0,20001
2402057,1768139860000,50,0,0,0,19999
2402058,1768139880000,50,0,0,0,20000
2402059,1768139900001,50,0,0,0,20001
2402060,1768139920000,50,0,0,0,19999
2402061,1768139940000,50,0,0,0,20000
2402062,1768139960001,50,0,0,0,20001
2402063,1768139980000,50,0,0,0,19999
2402064,1768140000000,50,0,0,0,20000
2402065,1768140020000,50,0,0,0,20000
2402066,1768140040000,50,0,0,0,20000
2402067,1768140060001,50,0,0,0,20001
2402068,1768140080001,50,0,0,0,20000
2402069,1768140100000,50,0,0,0,19999
2402070,1768140120000,50,0,0,0,20000
2402071,1768140140001,50,0,0,0,20001
2402072,1768140160000,50,0,0,0,19999
2402073,1768140180000,50,0,0,0,20000
2402074,1768140200000,50,0,0,0,20000
2402075,1768140220001,50,0,0,0,20001
2402076,1768140240000,50,0,0,0,19999
2402077,1768140260000,50,0,0,0,20000
2402078,1768140280000,50,0,0,0,20000
2402079,1768140300000,50,0,0,0,20000
2402080,1768140320000,50,0,0,0,20000
2402081,1768140340000,50,0,0,0,20000
2402082,1768140360000,50,0,0,0,20000
2402083,1768140380000,50,0,0,0,20000
2402084,1768140400000,50,0,0,0,20000
2402085,1768140420000,50,56697,1,148584512842021947,20000
2402086,1768140440000,50,0,0,0,20000
2402087,1768140460000,50,0,0,0,20000
2402088,1768140480001,50,0,0,0,20001
2402089,1768140500000,50,0,0,0,19999
2402090,1768140520000,50,0,0,0,20000
2402091,1768140540001,50,0,0,0,20001
2402092,1768140560000,50,0,0,0,19999
2402093,1768140580000,50,0,0,0,20000
2402094,1768140600001,50,0,0,0,20001
2402095,1768140620001,50,0,0,0,20000
2402096,1768140640000,50,0,0,0,19999
2402097,1768140660000,50,0,0,0,20000
2402098,1768140680000,50,0,0,0,20000
2402099,1768140700000,50,0,0,0,20000
2402100,1768140720001,50,0,0,0,20001
2402101,1768140740001,50,0,0,0,20000
2402102,1768140760000,50,0,0,0,19999
2402103,1768140780000,50,0,0,0,20000
2402104,1768140800000,50,0,0,0,20000
2402105,1768140820000,50,0,0,0,20000
2402106,1768140840000,50,0,0,0,20000
2402107,1768140860001,50,0,0,0,20001
2402108,1768140880001,50,0,0,0,20000
2402109,1768140900000,50,24832,1,135011669572867530,19999
2402110,1768140920000,50,0,0,0,20000
2402111,1768140940001,50,0,0,0,20001
2402112,1768140960000,50,0,0,0,19999
2402113,1768140980000,50,0,0,0,20000
2402114,1768141000000,50,0,0,0,20000
2402115,1768141020000,50,0,0,0,20000
2402116,1768141040000,50,0,0,0,20000
2402117,1768141060001,50,0,0,0,20001
2402118,1768141080000,50,0,0,0,19999
2402119,1768141100001,50,0,0,0,20001
2402120,1768141120000,50,0,0,0,19999
2402121,1768141140000,50,0,0,0,20000
2402122,1768141160001,50,0,0,0,20001
2402123,1768141180000,50,0,0,0,19999
2402124,1768141200000,50,0,0,0,20000
2402125,1768141220000,50,0,0,0,20000
2402126,1768141240000,50,0,0,0,20000
2402127,1768141260000,50,0,0,0,20000
2402128,1768141280000,50,0,0,0,20000
2402129,1768141300000,50,0,0,0,20000
2402130,1768141320001,50,0,0,0,20001
2402131,1768141340000,50,0,0,0,19999
2402132,1768141360000,50,0,0,0,20000
2402133,1768141380000,50,0,0,0,20000
2402134,1768141400000,50,0,0,0,20000
2402135,1768141420000,50,0,0,0,20000
2402136,1768141440000,50,0,0,0,20000
2402137,1768141460000,50,0,0,0,20000
2402138,1768141480000,50,0,0,0,20000
2402139,1768141500000,50,0,0,0,20000
2402140,1768141520001,50,0,0,0,20001
2402141,1768141540000,50,0,0,0,19999
2402142,1768141560001,50,0,0,0,20001
2402143,1768141580000,50,0,0,0,19999
2402144,1768141600001,50,0,0,0,20001
2402145,1768141620000,50,0,0,0,19999
2402146,1768141640000,50,0,0,0,20000
2402147,1768141660000,50,0,0,0,20000
2402148,1768141680000,50,0,0,0,20000
2402149,1768141700000,50,0,0,0,20000
2402150,1768141720000,50,0,0,0,20000
2402151,1768141740000,50,0,0,0,20000
2402152,1768141760000,50,0,0,0,20000
2402153,1768141780000,50,0,0,0,20000
2402154,1768141800000,50,0,0,0,20000
2402155,1768141820000,50,0,0,0,20000
2402156,1768141840000,50,0,0,0,20000
2402157,1768141860000,50,0,0,0,20000
2402158,1768141880000,50,0,0,0,20000
2402159,1768141900000,50,0,0,0,20000
2402160,1768141920000,50,0,0,0,20000
2402161,1768141940001,50,0,0,0,20001
2402162,1768141960001,50,0,0,0,20000
2402163,1768141980000,50,0,0,0,19999
2402164,1768142000000,50,0,0,0,20000
2402165,1768142020000,50,0,0,0,20000
2402166,1768142040001,50,0,0,0,20001
2402167,1768142060000,50,0,0,0,19999
2402168,1768142080000,50,0,0,0,20000
2402169,1768142100001,50,0,0,0,20001
2402170,1768142120000,50,0,0,0,19999
2402171,1768142140000,50,325076,1,262883630878943431,20000
2402172,1768142160000,50,0,0,0,20000
2402173,1768142180000,50,0,0,0,20000
