block_number,timestamp_ms,spec_version,submit_data_bytes,submit_data_count,block_fee_plancks,block_time_ms
2215819,1764413900001,49,0,0,0,0
2215820,1764413920000,49,0,0,0,19999
2215821,1764413940000,49,0,0,0,20000
2215822,1764413960001,49,6183,1,127255966776922844,20001
2215823,1764413980000,49,0,0,0,19999
2215824,1764414000000,49,0,0,0,20000
2215825,1764414020000,49,0,0,0,20000
2215826,1764414040000,49,0,0,0,20000
2215827,1764414060000,49,0,0,0,20000
2215828,1764414080000,49,0,0,0,20000
2215829,1764414100000,49,0,0,0,20000
2215830,1764414120000,49,0,0,0,20000
2215831,1764414140000,49,0,0,0,20000
2215832,1764414160001,49,0,0,0,20001
2215833,1764414180000,49,0,0,0,19999
2215834,1764414200000,49,0,0,0,20000
2215835,1764414220001,49,0,0,0,20001
2215836,1764414240000,49,0,0,0,19999
2215837,1764414260000,49,0,0,0,20000
2215838,1764414280000,49,0,0,0,20000
2215839,1764414300001,49,0,0,0,20001
2215840,1764414320000,49,0,0,0,19999
2215841,1764414340000,49,0,0,0,20000
2215842,1764414360001,49,0,0,0,20001
2215843,1764414380000,49,0,0,0,19999
2215844,1764414400001,49,0,0,0,20001
2215845,1764414420000,49,0,0,0,19999
2215846,1764414440000,49,0,0,0,20000
2215847,1764414460000,49,0,0,0,20000
2215848,1764414480000,49,0,0,0,20000
2215849,1764414500000,49,0,0,0,20000
2215850,1764414520000,49,0,0,0,20000
2215851,1764414540000,49,0,0,0,20000
2215852,1764414560000,49,499450,1,352612528200932447,20000
2215853,1764414580001,49,136885,1,186966756789925082,20001
2215854,1764414600001,49,0,0,0,20000
2215855,1764414620001,49,0,0,0,20000
2215856,1764414640001,49,0,0,0,20000
2215857,1764414660000,49,0,0,0,19999
2215858,1764414680000,49,0,0,0,20000
2215859,1764414700000,49,0,0,0,20000
2215860,1764414720000,49,0,0,0,20000
2215861,1764414740000,49,0,0,0,20000
2215862,1764414760000,49,0,0,0,20000
2215863,1764414780000,49,0,0,0,20000
2215864,1764414800000,49,0,0,0,20000
2215865,1764414820001,49,10530,1,129239585677518199,20001
2215866,1764414840000,49,0,0,0,19999
2215867,1764414860000,49,0,0,0,20000
2215868,1764414880000,49,0,0,0,20000
2215869,1764414900000,49,0,0,0,20000
2215870,1764414920000,49,0,0,0,20000
2215871,1764414940000,49,0,0,0,20000
2215872,1764414960000,49,0,0,0,20000
2215873,1764414980000,49,0,0,0,20000
2215874,1764415000000,49,0,0,0,20000
2215875,1764415020000,49,0,0,0,20000
2215876,1764415040000,49,0,0,0,20000
2215877,1764415060000,49,0,0,0,20000
2215878,1764415080000,49,0,0,0,20000
2215879,1764415100000,49,0,0,0,20000
2215880,1764415120000,49,0,0,0,20000
2215881,1764415140000,49,0,0,0,20000
2215882,1764415160000,49,0,0,0,20000
2215883,1764415180000,49,0,0,0,20000
2215884,1764415200000,49,0,0,0,20000
2215885,1764415220000,49,0,0,0,20000
2215886,1764415240000,49,0,0,0,20000
2215887,1764415260000,49,0,0,0,20000
2215888,1764415280001,49,0,0,0,20001
2215889,1764415300001,49,0,0,0,20000
2215890,1764415320000,49,0,0,0,19999
2215891,1764415340000,49,0,0,0,20000
2215892,1764415360000,49,0,0,0,20000
2215893,1764415380001,49,0,0,0,20001
2215894,1764415400000,49,0,0,0,19999
2215895,1764415420001,49,0,0,0,20001
2215896,1764415440001,49,0,0,0,20000
2215897,1764415460000,49,0,0,0,19999
2215898,1764415480000,49,0,0,0,20000
2215899,1764415500000,49,0,0,0,20000
2215900,1764415520000,49,0,0,0,20000
2215901,1764415540001,49,0,0,0,20001
2215902,1764415560000,49,0,0,0,19999
2215903,1764415580000,49,0,0,0,20000
2215904,1764415600000,49,16185,1,131829329501155872,20000
2215905,1764415620000,49,0,0,0,20000
2215906,1764415640000,49,0,0,0,20000
2215907,1764415660000,49,0,0,0,20000
2215908,1764415680000,49,0,0,0,20000
2215909,1764415700000,49,0,0,0,20000
2215910,1764415720000,49,0,0,0,20000
2215911,1764415740000,49,0,0,0,20000
2215912,1764415760000,49,0,0,0,20000
2215913,1764415780000,49,0,0,0,20000
2215914,1764415800000,49,0,0,0,20000
2215915,1764415820000,49,0,0,0,20000
2215916,1764415840000,49,0,0,0,20000
2215917,1764415860000,49,0,0,0,20000
2215918,1764415880000,49,0,0,0,20000
2215919,1764415900000,49,498657,1,352239672796516276,20000
2215920,1764415920000,49,0,0,0,20000
2215921,1764415940001,49,0,0,0,20001
2215922,1764415960000,49,10530,1,129239479070713967,19999
2215923,1764415980000,49,0,0,0,20000
2215924,1764416000000,49,0,0,0,20000
2215925,1764416020000,49,0,0,0,20000
2215926,1764416040000,49,0,0,0,20000
2215927,1764416060000,49,0,0,0,20000
2215928,1764416080000,49,0,0,0,20000
2215929,1764416100000,49,0,0,0,20000
2215930,1764416120000,49,0,0,0,20000
2215931,1764416140000,49,0,0,0,20000
2215932,1764416160000,49,0,0,0,20000
2215933,1764416180000,49,0,0,0,20000
2215934,1764416200000,49,0,0,0,20000
2215935,1764416220000,49,0,0,0,20000
2215936,1764416240001,49,0,0,0,20001
2215937,1764416260000,49,0,0,0,19999
2215938,1764416280001,49,0,0,0,20001
2215939,1764416300000,49,0,0,0,19999
2215940,1764416320000,49,0,0,0,20000
2215941,1764416340000,49,0,0,0,20000
2215942,1764416360000,49,0,0,0,20000
2215943,1764416380001,49,0,0,0,20001
2215944,1764416400000,49,0,0,0,19999
2215945,1764416420000,49,0,0,0,20000
2215946,1764416440000,49,0,0,0,20000
2215947,1764416460000,49,0,0,0,20000
2215948,1764416480000,49,0,0,0,20000
2215949,1764416500000,49,0,0,0,20000
2215950,1764416520000,49,0,0,0,20000
2215951,1764416540000,49,0,0,0,20000
2215952,1764416560001,49,0,0,0,20001
2215953,1764416580000,49,0,0,0,19999
2215954,1764416600000,49,500001,1,352857720994548951,20000
2215955,1764416620000,49,0,0,0,20000
2215956,1764416640001,49,0,0,0,20001
2215957,1764416660001,49,0,0,0,20000
2215958,1764416680000,49,0,0,0,19999
2215959,1764416700000,49,0,0,0,20000
2215960,1764416720001,49,0,0,0,20001
2215961,1764416740000,49,0,0,0,19999
2215962,1764416760001,49,0,0,0,20001
2215963,1764416780000,49,0,0,0,19999
2215964,1764416800000,49,0,0,0,20000
2215965,1764416820000,49,0,0,0,20000
2215966,1764416840000,49,0,0,0,20000
2215967,1764416860000,49,0,0,0,20000
2215968,1764416880001,49,0,0,0,20001
2215969,1764416900000,49,0,0,0,19999
2215970,1764416920000,49,0,0,0,20000
2215971,1764416940000,49,0,0,0,20000
2215972,1764416960000,49,0,0,0,20000
2215973,1764416980000,49,0,0,0,20000
2215974,1764417000000,49,0,0,0,20000
2215975,1764417020000,49,0,0,0,20000
2215976,1764417040000,49,0,0,0,20000
2215977,1764417060000,49,0,0,0,20000
2215978,1764417080000,49,0,0,0,20000
2215979,1764417100000,49,12486,1,130131876118766036,20000
2215980,1764417120000,49,0,0,0,20000
2215981,1764417140001,49,499455,1,352601628530615746,20001
2215982,1764417160000,49,0,0,0,19999
2215983,1764417180000,49,0,0,0,20000
2215984,1764417200000,49,0,0,0,20000
2215985,1764417220000,49,0,0,0,20000
2215986,1764417240000,49,0,0,0,20000
2215987,1764417260000,49,0,0,0,20000
