_day,block_count,blocks_with_data,total_data_bytes,total_submit_count,total_fee_plancks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,p10_fee_per_byte_plancks,p50_fee_per_byte_plancks,p90_fee_per_byte_plancks,daily_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_avail,cost_per_mib_avail_p10,cost_per_mib_avail_p50,cost_per_mib_avail_p90,avg_avail_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,cost_per_mib_usd_7d,cumulative_daily_data_mib,cumulative_daily_da_spend_usd
2025-11-16,2358,143,34504168.0,150,3.476751181503825e+19,20000.0,19999.0,20000.0,20001.0,43066.0,499738.0,1344807.0400000084,715698604994.4646,3433232767870.0464,9643054797993.684,32.905738830566406,0.0006977467945412724,0.2125,0.32835143272530465,1.0565789752984494,0.7504643804306758,3.6000054828021018,10.111475827861025,0.008394714285714287,0.008869678617923255,0.006299934055321115,0.030221017455128563,0.08488295058179963,0.29186332811244187,0.0006977467945412724,0.32835143272530465,32.905738830566406,0.008869678617923255,32.905738830566406,0.29186332811244187
2025-11-17,4312,557,123523754.0,610,1.3347086355195508e+20,20004.639294827186,19999.0,20000.0,20001.0,147499.0,499567.6,1866734.479999997,715327812287.4916,1314966289131.7432,5132229309947.865,117.80143165588379,0.0013659720739318622,0.2125,0.642810387732641,1.133015632117648,0.7500755760971688,1.3788420915926067,5.381532480907893,0.008109583333333333,0.00918828468662741,0.006082800390657998,0.011181834845277877,0.04364198611496263,1.0823930905465422,0.0010318594342365673,0.4855809102289728,75.3535852432251,0.009028981652275333,150.7071704864502,1.374256418658984
2025-11-18,4319,482,114516608.0,525,1.1861833163459297e+20,20004.632005558127,19999.0,20000.0,20001.0,143139.0,499691.9,2079995.719999998,714486732826.141,1341016306109.688,5287588455629.906,109.2115478515625,0.0012643152101361715,0.2125,0.5949718635934925,1.0861336000458113,0.7491936403599037,1.4061575141952722,5.544438352450585,0.007651583333333333,0.008310641751883861,0.005732517572017166,0.010759331399657976,0.04242373209030502,0.9076180493630577,0.0011093446928697687,0.5220445613504794,86.63957277933757,0.008789535018811509,259.9187183380127,2.2818744680220417
2025-11-19,4320,418,106291538.0,448,1.0512149867571184e+20,20000.00023153508,19999.0,20000.0,20001.0,143487.0,499712.0,1845743.0399999951,713622760944.2206,1340920490169.4028,7559046260060.678,101.36750984191895,0.0011732350676148025,0.2125,0.5521106200540247,1.037033452233829,0.748287700179847,1.4060570438998719,7.926234491189385,0.007660708333333333,0.007944410809473128,0.005732413820498589,0.01077139291334578,0.06072057061860861,0.8053051409175146,0.0011253172865560272,0.5295610760263657,90.32155704498291,0.008578253966476913,361.28622817993164,3.0871796089395565
2025-11-20,4319,494,117326196.0,527,1.199845652289706e+20,20004.631542380732,19999.0,20000.0,20001.0,145095.0,499666.0,1895758.0,712951726058.1256,1321290688782.9517,7258842883708.325,111.8909797668457,0.0012953343339528328,0.2125,0.6095690983307448,1.0723345660122916,0.7475840691031251,1.3854737052812722,7.611448435627341,0.008736124999999999,0.00936804881050413,0.006530987875693539,0.012103671473550353,0.0664945649646949,1.0482001599109407,0.0011593206960353883,0.5455626804872415,94.63544158935547,0.008736212935282357,473.17720794677734,4.135379768850497
2025-11-21,4320,441,97764840.0,466,1.0324746646148866e+20,20000.0,19999.0,20000.0,20001.0,134736.0,499704.0,1341902.0,712109094337.0613,1386433852698.5112,7953846304717.373,93.2358169555664,0.001079118251800537,0.2125,0.5078203537884881,1.1073798657300715,0.7467005057035784,1.453781263527194,8.340212342815324,0.008500875,0.009413697816088121,0.006347607661422907,0.012358412798586736,0.07089910259973022,0.8776938064558073,0.0011459536219962463,0.5392722927041159,94.4021708170573,0.008849127082083318,566.4130249023438,5.013073575306304
2025-11-22,4319,358,84078833.0,378,8.589615436866588e+19,20004.632005558127,19999.0,20000.0,20001.0,131403.0,499706.1,1895526.28,711290530389.0029,1409725115117.7122,8031624249587.948,80.18382358551025,0.0009282683906634667,0.2125,0.43683218384163136,1.0712404388780967,0.7458421791931792,1.4782039223096701,8.421768429135932,0.007815916666666667,0.008372726000234632,0.005829440319058956,0.01155351867311219,0.0658238402280907,0.6713571845326285,0.0011148557318058493,0.5246379914380467,92.37097835540771,0.008781069784676363,646.596848487854,5.684430759838933
2025-11-23,4319,329,73451633.0,341,7.632693375563204e+19,20004.63177396943,19999.0,20000.0,20001.0,134337.0,499766.4,1078108.9199999908,710399153127.8883,1387925198429.4187,13375822310733.059,70.04893589019775,0.0008109392902315091,0.2125,0.38161848952071015,1.0896230297527303,0.7449075023902286,1.455345052868326,14.025566255299228,0.007946333333333333,0.00865850780209178,0.005919283316493554,0.011564656905109341,0.11145182465335943,0.606519257933504,0.0011310260883330258,0.5322475709802476,97.67714936392647,0.008750902525271867,716.6457843780518,6.290950017772437
2025-11-24,4320,423,90891141.0,447,9.748965926846757e+19,20000.00023153508,19999.0,20000.0,20001.0,131403.0,499699.0,999519.9,709817052264.2545,1408146931486.139,7956430480231.44,86.68054676055908,0.0010032470689879524,0.2125,0.4721162677590364,1.1247005575284026,0.7442971253950429,1.4765490768300096,8.342922047239163,0.008290208333333333,0.009324001934526609,0.00617037823142603,0.012240899461311785,0.06916456188037251,0.8082095856812771,0.001079208230483896,0.507862696698304,93.23130866459438,0.00877029070354318,803.3263311386108,7.099159603453715
2025-11-25,4320,440,95393716.0,457,1.0073496568979623e+20,19999.99976846492,19999.0,20000.0,20001.0,139716.0,499691.2,948245.0,708939624148.7094,1350960140647.8716,7364298690053.296,90.97453689575195,0.001052946028886018,0.2125,0.4955040135934202,1.1072874798497605,0.7433770753313571,1.4165843804399827,7.722026863221325,0.008036625,0.008898854242747582,0.005974242788034868,0.011384557446453477,0.062059034139636086,0.8095691436367586,0.0010490126331624456,0.49365300384115074,90.62602138519287,0.008854321059380854,894.3008680343628,7.908728747090473
