_hour,block_count,blocks_with_data,total_data_bytes,total_submit_count,total_fee_plancks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,p10_fee_per_byte_plancks,p50_fee_per_byte_plancks,p90_fee_per_byte_plancks,hourly_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_avail,cost_per_mib_avail_p10,cost_per_mib_avail_p50,cost_per_mib_avail_p90,avg_avail_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,hourly_da_spend_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_data_mib_24h,cost_per_mib_usd_24h,cumulative_hourly_data_mib,cumulative_hourly_da_spend_usd
2025-11-16 10:00:00+00:00,18,0,0.0,0,0.0,20000.0,20000.0,20000.0,20000.0,,,,,,,0.0,0.0,0.2125,0.0,,,,,0.008573,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
2025-11-16 11:00:00+00:00,180,11,2256656.0,11,2.42233012281658e+18,20000.005555555555,19999.0,20000.0,20001.0,19528.0,499831.0,499984.0,715820620964.6646,6839161982897.919,14023422290187.354,2.1521148681640625,0.0005978096856011284,0.2125,0.2813222049887663,1.1255580074510771,0.7505923234486441,7.171381115379169,14.704624051355495,0.008626,0.00970906337227299,0.006474609382068004,0.06186033350126071,0.1268420870669925,0.02089501963941582,0.0002989048428005642,0.14066110249438316,1.0760574340820312,0.00970906337227299,2.1521148681640625,0.02089501963941582
2025-11-16 12:00:00+00:00,180,10,1299229.0,10,1.850866584736785e+18,20000.0,19999.0,20000.0,20001.0,14898.5,498995.1,499603.41,716221958270.9172,8831730855351.326,12553053961711.441,1.2390413284301758,0.00034417814678615994,0.2125,0.1619661867228988,1.4937892241913928,0.7510131561158853,9.260741013380873,13.162831110955537,0.008688,0.01297804077977482,0.0065248023003348105,0.08045731792425302,0.1143586766919817,0.016080328888193187,0.0003139959441290961,0.14776279723722172,1.130385398864746,0.011343552076023906,3.3911561965942383,0.036975348527609
2025-11-16 13:00:00+00:00,180,11,2295594.0,11,2.4403839683875594e+18,19999.994444444445,19999.0,20000.0,20001.0,39925.0,499721.0,499973.0,715830083754.7213,3583625564010.4,8300091305915.054,2.189249038696289,0.0006081247329711914,0.2125,0.2861763449276195,1.1147128194427907,0.7506022459031907,3.757703759407769,8.703276541191183,0.00856,0.009541941734430287,0.006425155224931312,0.0321659441805305,0.07450004719259652,0.020889686769397505,0.00038752814133961996,0.18236618415982114,1.3951013088226318,0.0107430152954927,5.580405235290527,0.05786503529700651
2025-11-16 14:00:00+00:00,180,14,7403158.0,19,5.819882568609247e+18,20000.0,19999.0,20000.0,20001.0,261582.0,821948.5000000005,3433777.9599999976,715693125865.804,965112650455.7018,12725072901749.402,7.060201644897461,0.001961167123582628,0.2125,0.9229021758035897,0.8243224289231718,0.7504586351478613,1.011993962564238,13.34320604302478,0.008478,0.0069886055524106495,0.006362388308783567,0.008579684814619608,0.11312370083276409,0.04934096441666919,0.0007022559377882216,0.3304733824885749,2.5281213760375976,0.009804412859722188,12.640606880187988,0.1072059997136757
2025-11-16 15:00:00+00:00,180,10,1719931.0,10,2.0471027970715328e+18,20000.0,19999.0,20000.0,20001.0,17400.5,499023.9,499630.59,716117514760.2979,7625617076861.006,12922103865747.965,1.640254020690918,0.00045562611685858834,0.2125,0.21441229028639452,1.24804010308674,0.7509036391572941,7.996039051986606,13.549807983130538,0.0085,0.010608340876237292,0.006382680932837,0.06796633194188616,0.11517336785660959,0.01740037377510803,0.0006611509676332826,0.31112986712154483,2.380143483479818,0.009965198463025206,14.280860900878906,0.12460637348878373
2025-11-16 16:00:00+00:00,180,12,2357143.0,12,2.593295965498145e+18,20000.0,19999.0,20000.0,20001.0,39931.0,499652.8,499971.63,715753243875.7748,3587083994464.791,10118258835157.986,2.2479467391967773,0.0006244296497768826,0.2125,0.29384924695382714,1.1536287405211236,0.7505216734502844,3.761330186579913,10.609763376334621,0.008437,0.00973316568377672,0.00633215135890005,0.031734342784174724,0.0895145736061352,0.021879638060907848,0.0006559050650823683,0.30866120709758516,2.361258234296526,0.00992652633315046,16.528807640075684,0.14648601154969157
2025-11-16 17:00:00+00:00,180,9,2192793.0,9,2.143248734824444e+18,20000.005555555555,19999.0,20000.0,20001.0,64391.0,499773.8,499978.28,715671425865.1688,2399187265916.4756,4831611250251.763,2.09121036529541,0.0005808917681376139,0.2125,0.27336083206475953,1.024884330334544,0.7504358810479953,2.5157301865456345,5.066311598343992,0.008374,0.008582381382221472,0.0062841500678959125,0.021066724582133142,0.042425293324532584,0.01794756490541989,0.0006465284029642741,0.30424866021848196,2.3275022506713867,0.00973450562587489,18.620018005371094,0.16443357645511147
2025-11-16 18:00:00+00:00,180,11,2383036.0,11,2.480803743501152e+18,20000.0,19999.0,20000.0,20001.0,66090.0,499702.0,499971.1,715659389669.6195,2349509965758.635,8918989271334.357,2.2726402282714844,0.0006312889522976346,0.2125,0.29707715402241625,1.0915954547667195,0.750423260182211,2.463639761855326,9.352238094178695,0.008263,0.009019853242737403,0.006200747398885609,0.020357055352210558,0.07727754337219855,0.02049888133255002,0.0006448351306679808,0.30345182619669686,2.321406470404731,0.009645174077982705,20.892658233642578,0.1849324577876615
2025-11-16 19:00:00+00:00,180,10,1704377.0,10,2.0396359125630525e+18,19999.994444444445,19999.0,20000.0,20001.0,58885.0,498999.6,499595.76,715986855467.952,2812000022692.362,9346936041219.44,1.6254205703735352,0.00045150571399264864,0.2125,0.21247327717301115,1.2548357943411086,0.7507666329591632,2.948595735794666,9.800972806357715,0.008243,0.010343611452753759,0.006188569355482383,0.024305274650155435,0.08078941884280665,0.016812718827257243,0.0006255021890004476,0.2943539712943283,2.2518078804016115,0.009722778230735044,22.518078804016113,0.20174517661491873
