ct_block,timestamp,who,old_core,core,begin,price,duration,workload
1323517,1741590264,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,53,51,317805,15564040982,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
1333458,1741711098,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,52,52,317805,15564040982,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
1346393,1741875228,0x3e00e472849a0fc27c35f5d8f4a3f962163d90cda7f2605e26c1f0fa0f6a2c05,13,53,317805,9612576216,5040,[{"assignment":{"Task":3369},"mask":"0xffffffffffffffffffff"}]
1494672,1743731676,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,44,44,322845,15702513576,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
1494687,1743731862,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,45,45,322845,15701039305,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
1494707,1743732102,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,46,46,322845,15699859871,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
1494710,1743732138,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,47,47,322845,15698090764,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
1494714,1743732186,0xdadfe3e4445cab0c4056a90021c935f8fef82c8b1edf1433624570e961b5953f,50,48,322845,9900953502,5040,[{"assignment":{"Task":2000},"mask":"0xffffffffffffffffffff"}]
1494714,1743732186,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,48,49,322845,15696911328,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
1501917,1743820416,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,49,50,322845,7097754323,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
1516909,1744003638,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,51,51,322845,16030962211,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
1532157,1744190358,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,52,52,322845,16030962211,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
1694765,1746175290,0x56813fe48ae17cf7f2dd336ff3e6a146fe79c9bd6c7771bb6199172a3aede534,48,46,327885,10197982107,5040,[{"assignment":{"Task":2000},"mask":"0xffffffffffffffffffff"}]
1695489,1746184248,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,51,47,327885,16511891077,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
1701145,1746261714,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,50,48,327885,7310686953,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
1702150,1746274188,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,52,49,327885,16511891077,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
1706353,1746325500,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,44,50,327885,16173588983,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
1706368,1746325692,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,45,51,327885,16172070484,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
1706373,1746325752,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,46,52,327885,16170855667,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
1706379,1746325824,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,47,53,327885,16169033487,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
1706385,1746325896,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,49,54,327885,16167818668,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,60,55,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,56,56,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,53,57,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,61,58,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,57,59,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,58,60,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,55,61,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,54,62,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1735696,1746703854,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,59,63,327885,92272712073,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1891350,1748607156,0x7369626cd0070000000000000000000000000000000000000000000000000000,46,44,332925,10503921570,5040,[{"assignment":{"Task":2000},"mask":"0xffffffffffffffffffff"}]
1891577,1748609928,0x40c4301003d5d109819d51372edf6d0477ce8e3c13f98f951b7926003e5e632f,25,45,332925,92272712073,5040,[{"assignment":{"Task":2004},"mask":"0xffffffffffffffffffff"}]
