date,dot_usd
2024-10-05,5.12920170585531
2024-10-07,5.12920170585531
2024-10-21,5.12920170585531
2024-10-31,5.12920170585531
2024-11-04,5.12920170585531
2024-11-06,5.12920170585531
2024-11-28,5.12920170585531
2024-11-30,5.12920170585531
2024-12-02,5.12920170585531
2024-12-04,5.12920170585531
2024-12-05,5.12920170585531
2024-12-16,5.12920170585531
2024-12-17,5.12920170585531
2024-12-26,5.12920170585531
2024-12-27,5.12920170585531
2024-12-31,5.12920170585531
2025-01-02,5.12920170585531
2025-01-03,5.12920170585531
2025-01-09,5.12920170585531
2025-01-13,5.12920170585531
2025-01-16,5.12920170585531
2025-01-19,5.12920170585531
2025-02-06,5.12920170585531
2025-02-07,5.12920170585531
2025-02-08,5.12920170585531
2025-02-15,5.191503606288476
2025-02-20,4.877077278265619
2025-02-24,4.962965250471214
2025-03-06,4.528683380998404
2025-03-07,4.440327657989716
2025-03-10,4.017849174215634
2025-03-11,3.886090665715909
2025-03-13,3.976503748419388
2025-03-18,4.378156359311373
2025-03-19,4.4641656928903135
2025-03-20,4.545125675636074
2025-03-21,4.396429517938644
2025-04-04,4.053293922122308
2025-04-05,4.031504992184917
2025-04-07,3.675281015904061
2025-04-09,3.3660107363196534
2025-04-11,3.4656100511582237
2025-05-02,4.172986887084501
2025-05-03,4.161142468321199
2025-05-04,4.036384036126525
2025-05-08,3.9681711182505817
2025-05-09,4.4400203699451435
2025-05-30,4.364169921007003
2025-05-31,4.053512704116731
2025-06-02,4.069420664914147
2025-06-06,3.8282993198278357
2025-06-27,3.2987078152109106
2025-06-28,3.358730662387401
2025-06-30,3.5490786861699632
2025-07-01,3.4017772960506103
2025-07-15,3.945655164820056
2025-07-25,4.000296367709187
2025-07-26,4.087330887128408
2025-07-28,4.237466608794557
2025-07-29,3.948036844310257
2025-07-30,3.897112332250897
2025-08-01,3.682442281803306
2025-08-15,3.993106031696323
2025-08-16,3.8862784712024796
2025-08-17,3.9664823787209555
2025-08-21,3.883074556213311
2025-08-22,3.7927955001216556
2025-08-23,4.1785451102585505
2025-08-25,4.110871894460837
2025-08-26,3.735445787569332
2025-08-27,3.8881735986585824
2025-08-28,3.8332660093377426
2025-09-07,3.8237118445202616
2025-09-10,4.140641629812978
2025-09-12,4.242731619212369
2025-09-13,4.319706951636194
2025-09-14,4.49968449396343
2025-09-15,4.318931405528713
2025-09-18,4.400346548626808
2025-09-19,4.540703894210576
2025-09-20,4.357129411691623
2025-09-21,4.357162120002465
2025-09-22,4.271606534683606
2025-09-23,4.035242834171254
2025-09-24,3.9759132556509456
2025-09-25,3.9940128737192095
2025-09-26,3.797480757524952
2025-10-10,4.076970340688221
2025-10-11,3.010257156374805
2025-10-13,3.2432501635569335
2025-10-14,3.3742990302668594
2025-10-15,3.252387201263129
2025-10-17,3.0116506337691327
2025-10-18,2.893199420475808
2025-10-20,3.0069460259707226
2025-10-22,3.006104601195977
2025-10-24,3.002462501172258
2025-10-25,3.0781819527758447
2025-11-03,2.9815654494006494
2025-11-05,2.514520135992116
2025-11-09,3.2478051971785122
2025-11-11,3.262921036889602
2025-11-14,2.8583811819324656
2025-11-15,2.8220436827329336
2025-11-16,2.8337829221608968
2025-11-17,2.797543085794601
2025-11-18,2.657851066700615
2025-11-21,2.5408524628387545
2025-11-22,2.349174783284178
2025-11-23,2.309724575172674
2025-11-24,2.2587171604645464
2025-12-05,2.2742817650884026
2025-12-08,2.0862977618916068
2025-12-09,2.1311050824672626
2025-12-11,2.197248180928796
2025-12-13,2.01368347193496
2025-12-14,2.0398628509570615
2025-12-15,1.9563556962718585
2025-12-16,1.9018830705080592
2025-12-19,1.7587951315895212
2025-12-22,1.801718601779386
2025-12-29,1.8484796584553884
2026-01-04,2.124787600945544
2026-01-05,2.138867697736621
2026-01-06,2.2108219259320077
2026-01-07,2.232928493363717
2026-01-10,2.0809401133951235
2026-01-11,2.0915800068481016
2026-01-12,2.0635476834180335
2026-01-13,2.051739859760119
2026-01-14,2.2763944740613677
2026-01-15,2.2265779550898417
2026-01-17,2.1192172304610803
2026-01-22,1.9466918045055863
2026-01-27,1.874866920666127
2026-02-02,1.5000838740919824
2026-02-03,1.544858234358694
2026-02-04,1.4925744481263417
2026-02-05,1.4641761867671226
2026-02-07,1.366746995727783
2026-02-08,1.3736655774491684
2026-02-09,1.338852923141552
2026-02-10,1.3206021878249927
2026-02-11,1.2827053742322307
