_hour,block_count,blocks_with_data,total_encoded_bytes,total_gas_used,total_gas_limit,total_chunks_produced,total_da_cost_near,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_encoded_bytes,p90_encoded_bytes,p99_encoded_bytes,p10_cost_per_byte_near,p50_cost_per_byte_near,p90_cost_per_byte_near,hourly_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_near,cost_per_mib_near_p10,cost_per_mib_near_p50,cost_per_mib_near_p90,avg_near_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,hourly_da_spend_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_data_mib_24h,cost_per_mib_usd_24h,cumulative_hourly_data_mib,cumulative_hourly_da_spend_usd
2025-11-10 05:00:00+00:00,1013,1013,75823699.0,2.7028569732072854e+17,9.117e+18,9038,27.028569732072857,626.6106719367589,437.1,604.0,755.9,37116.0,175192.8000000001,433181.51999999996,1.6793955638599255e-07,3.976701334109824e-07,8.229436420910988e-07,72.31111431121826,0.11818399598467974,59.01639344262295,0.19828648215207378,0.3737816792000352,0.17609738827699853,0.41698735781155427,0.862918952449316,2.937113,1.0978390291402529,0.51721792837442,1.2247389894639675,2.534490473185268,79.3859635314777,0.11818399598467974,0.19828648215207378,72.31111431121826,1.0978390291402529,72.31111431121826,79.3859635314777
2025-11-10 06:00:00+00:00,5752,5752,461480362.0,1.595650020144107e+18,5.1768e+19,51386,159.5650020144107,625.8089360222531,450.0,604.0,743.0,44645.5,189723.60000000003,401728.69999999984,1.6526836470274712e-07,3.756984235794679e-07,7.5236968625636e-07,440.1019687652588,0.12667691996715763,59.01639344262295,0.21253572127823114,0.36256370872887267,0.17329644078654777,0.39394835020326413,0.7889167961359489,3.096956,1.1228438531301346,0.5366914520725439,1.2200407068521,2.4432406052940037,494.1657903785413,0.12243045797591869,0.20541110171515248,256.2065415382385,1.1103414411351937,512.413083076477,573.551753910019
2025-11-10 07:00:00+00:00,5769,5769,455882994.0,1.5406181303951642e+18,5.1921e+19,51568,154.06181303951644,624.0911769804126,454.0,606.0,745.0,43772.0,188829.8,411556.9199999999,1.4688532395768418e-07,3.709402340655116e-07,7.594233700459499e-07,434.76390266418457,0.12435988604856403,59.01639344262295,0.20933914151508282,0.35435741581912134,0.15402042545425265,0.3889590268754779,0.796313119669302,3.034782,1.0753975070943846,0.46741841480090773,1.1804058534992166,2.4166367219362432,467.54401709968977,0.12307360066680047,0.20672044831512926,315.7256619135539,1.0986934631215908,947.1769857406616,1041.0957710097086
2025-11-10 08:00:00+00:00,5780,5780,425456059.0,1.5358828056487368e+18,5.202e+19,51670,153.58828056487366,622.8186851211073,457.0,605.0,734.0,40887.5,183435.20000000004,412694.7600000002,1.732161730077716e-07,3.771114927050832e-07,8.405319745167521e-07,405.74651622772217,0.11603034579991482,59.01639344262295,0.19499544224707907,0.3785325922026485,0.18163032182779712,0.3954300605747253,0.8813616557108779,2.980419,1.1281857299200255,0.5413344621516812,1.1785472657080622,2.626827024552159,457.75742957288014,0.12131278695007905,0.2037891967981167,338.23087549209595,1.1060665298211994,1352.9235019683838,1498.8532005825887
2025-11-10 09:00:00+00:00,5739,5739,437256010.0,1.510524588368478e+18,5.1651e+19,51262,151.05245883684782,627.3272347098798,445.0,605.0,754.0,41829.0,186582.39999999997,423677.0599999999,1.73191515187687e-07,3.6477562482350827e-07,7.213395671196886e-07,416.9998264312744,0.12010035048904896,59.01639344262295,0.20183531123854062,0.36223626309288814,0.1816044662294441,0.382494965574935,0.7563793579320945,2.951323,1.0690762147000918,0.5359734380856817,1.1288661892855139,2.232319795790223,445.80459597174223,0.12107029965787304,0.20339841968620148,353.98466567993165,1.098668466796978,1769.9233283996582,1944.6577965543308
2025-11-10 10:00:00+00:00,5694,5694,457341541.0,1.6257168808006927e+18,5.1246e+19,50778,162.5716880800693,632.3251361320921,439.0,606.0,792.0,47240.5,191329.8,425193.8999999996,1.8893411339669703e-07,3.7608451452365994e-07,6.94946087651728e-07,436.15488147735596,0.126401040953698,59.01639344262295,0.2127750856053916,0.3727384353223377,0.19811177688905499,0.39435319590116125,0.7287037888054984,3.047873,1.1360594130811994,0.6038195357621747,1.20193845825086,2.220996602897981,495.49785866366506,0.12195875654051053,0.20496119733939985,367.679701646169,1.1049002911776815,2206.078209877014,2440.155655217996
2025-11-10 11:00:00+00:00,5741,5741,450455415.0,1.5252057644143567e+18,5.1669e+19,51302,152.52057644143568,627.1071241943912,435.0,606.0,754.0,43697.0,188661.0,427930.2000000002,1.903248499118995e-07,3.6175978312672114e-07,6.328100012266633e-07,429.58775997161865,0.12347860878287285,59.01639344262295,0.20785565811783593,0.35503939044145993,0.19957006982121994,0.37933262635188475,0.6635493798462497,2.882903,1.0235441238218563,0.5753411529978045,1.0935791665077277,1.9129484978068931,439.70202738474427,0.12217587828941943,0.20537469173631928,376.52370997837613,1.0932779815554208,2635.665969848633,2879.85768260274
2025-11-10 12:00:00+00:00,5737,5737,459790786.0,1.5710377943775872e+18,5.1633e+19,51260,157.10377943775873,627.4148509674046,446.0,605.0,751.0,46158.0,189757.6000000003,431807.84000000014,1.9992738363787563e-07,3.6334430926680795e-07,6.06756747879361e-07,438.4906635284424,0.1263339648327278,59.01639344262295,0.21231124645500085,0.358283066219877,0.20963905622546908,0.3809941224337524,0.6362305636643488,2.887633,1.0345900053577022,0.60536065684552,1.1001712007457438,1.8372003712457747,453.6580579291936,0.12269563910733297,0.20624176107615447,384.2695791721344,1.085941984530706,3074.156633377075,3333.5157405319337
2025-11-10 13:00:00+00:00,5661,5661,468684267.0,1.591321286498229e+18,5.0949e+19,50450,159.1321286498229,636.0113054230701,428.0,606.0,826.0,49969.0,195521.0,449718.5999999996,1.545354397610463e-07,3.55916324988281e-07,7.329979313700595e-07,446.97214794158936,0.1302910796473787,59.01639344262295,0.2193233174064208,0.356022471159922,0.16204215328287888,0.37320531639091176,0.7686040388842915,2.865452,1.0201653020301409,0.4643240122087318,1.0694019202629708,2.2023979804290708,455.9854763038923,0.12353957694511584,0.20769526733507296,391.2365312576294,1.0786334642528654,3521.1287813186646,3789.501216835826
2025-11-10 14:00:00+00:00,5728,5728,483070953.0,1.6208361280855347e+18,5.1552e+19,51161,162.08361280855348,628.4209148044692,443.0,605.0,762.3000000000002,48828.0,200907.20000000004,410205.1399999975,1.831253365459802e-07,3.557617856958756e-07,6.280485195398e-07,460.6923608779907,0.1329390671539518,59.01639344262295,0.2234114878559468,0.35182613512334654,0.19202083289403774,0.37304327019783845,0.6585566044249653,2.86924,1.0094736199413108,0.5509538545728888,1.070350672582446,1.8895569516802875,465.056785214814,0.12447952596599943,0.20926688938716037,398.18211421966555,1.07171747982171,3981.8211421966553,4254.55800205064
