_hour,max_version_app,block_count,blocks_with_blobs,total_blobs_bytes,total_blobs_count,total_bytes_in_block,total_txs,total_fee_utia,total_gas_used,total_gas_limit,avg_fill_rate,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_square_size,p90_square_size,max_square_size_seen,p50_blobs_size,p90_blobs_size,p99_blobs_size,p10_gas_price_utia,p50_gas_price_utia,p90_gas_price_utia,era,max_data_bytes,era_block_time_s,hourly_blob_mib,hourly_block_mib,actual_mib_per_s,utilization_pct,max_mib_per_s,avg_gas_price_utia,avg_tia_usd,cost_per_mib_tia,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,hourly_da_spend_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_blob_mib_24h,cost_per_mib_usd_24h,cumulative_hourly_blob_mib,cumulative_hourly_da_spend_usd
2025-12-07 15:00:00+00:00,6,589,557,46034739.0,16003,49207993.0,1593,4003999.0,541774351.0,613675519.0,0.04256960950764006,6108.736842105263,6095.0,6109.0,6123.0,16.0,32.0,64.0,98492.0,117054.6,701183.359999991,0.004179946447858581,0.004825855621561339,0.012895473618017322,Current (v6),8388608.0,6.0,43.90214824676514,46.928399085998535,0.012201138359631698,4.2569609507640065,1.3333333333333333,0.007390528903056173,0.549206,0.061996249880408236,0.03404871241181948,0.0011349570803939827,0.019257321954466552,0.022233073215038274,0.0594103992276532,2.199020274794,0.013328744670882907,4.568270476743417,47.91169718901316,0.03120331074288143,29327.72373008728,1940.7333365586471
2025-12-07 16:00:00+00:00,6,588,544,44891026.0,15074,47456361.0,1423,4337136.0,512372411.0,584347331.0,0.04112670068027211,6121.39455782313,6096.7,6110.0,6123.0,16.0,32.0,64.0,98199.0,118337.9,610648.3700000012,0.004131836648600492,0.005146123009775996,0.019492668722613963,Current (v6),8388608.0,6.0,42.811418533325195,45.25791263580322,0.011916290494373335,4.112670068027211,1.3333333333333333,0.00846481174022463,0.56013,0.07100798748254226,0.0397737040285964,0.0013257901342865468,0.019414306307015704,0.0241801447884473,0.09159041692758922,2.4293599876800003,0.013327084373864187,4.568648678730425,47.90008548895518,0.031693596009222676,29370.535148620605,1943.1626965463272
2025-12-07 17:00:00+00:00,6,589,558,74743144.0,15193,77403052.0,1462,5135792.0,766024161.0,831952299.0,0.06696485568760611,6108.565365025467,6095.0,6108.0,6122.0,16.0,32.0,64.0,98053.5,123365.60000000002,1564444.9599999997,0.004145624727989888,0.004701188610964073,0.017777086483108592,Current (v6),8388608.0,6.0,71.2806167602539,73.81730270385742,0.019813314154014917,6.696485568760611,1.3333333333333333,0.006704477823905087,0.557369,0.056241236309432806,0.031347121640552256,0.0010449040546850752,0.019383075913984867,0.0219806426561097,0.0831176576367644,2.8625312512480003,0.013665540541655932,4.679952442171286,49.11714565753937,0.031695224486893755,29441.81576538086,1946.025227797575
2025-12-07 18:00:00+00:00,6,590,548,47222477.0,15944,49685234.0,1487,3236625.0,527544573.0,594690985.0,0.04291118644067796,6107.315254237288,6095.0,6107.0,6121.0,16.0,32.0,64.0,98437.0,119037.1,715625.4499999991,0.004184465353607031,0.004491357196595451,0.00830688767550773,Current (v6),8388608.0,6.0,45.03486347198486,47.38353157043457,0.012498817270535579,4.291118644067796,1.3333333333333333,0.00613526356947283,0.58583,0.05146632106098834,0.0301505148671588,0.0010050171622386266,0.02056371065829862,0.02207186869745311,0.04082252335603153,1.89611202375,0.01337590206271562,4.5851249719785825,48.077057798703514,0.03179706280039394,29486.850628852844,1947.921339821325
2025-12-07 19:00:00+00:00,6,589,554,45798066.0,15994,48367662.0,1504,3709847.0,518146517.0,579720960.0,0.041844312393887945,6105.993208828523,6094.0,6106.0,6119.0,16.0,32.0,64.0,98190.5,117392.8,703072.72,0.0042034285323042705,0.004534362506706357,0.008624902142345604,Current (v6),8388608.0,6.0,43.67643928527832,46.126996994018555,0.012144373922968786,4.184431239388794,1.3333333333333333,0.007159841624487847,0.58381,0.060061104729911746,0.03506427355236978,0.001168809118412326,0.0205856743269927,0.022206374897591946,0.042239192421139535,2.16584577707,0.013381845215052882,4.586898458113273,48.09754832585653,0.03193384699415427,29530.527068138123,1950.087185598395
2025-12-07 20:00:00+00:00,6,590,558,45594243.0,16106,48135025.0,1523,3618787.0,517527244.0,588282083.0,0.041570508474576266,6106.38813559322,6094.0,6106.0,6120.0,16.0,32.0,64.0,98568.5,116822.4,754492.0399999938,0.004198989859499993,0.0045091756493269505,0.010508100437115937,Current (v6),8388608.0,6.0,43.48205852508545,45.905137062072754,0.012069833652113634,4.157050847457627,1.3333333333333333,0.006992457000002883,0.584357,0.05865698072988018,0.034276617288370594,0.001142553909612353,0.020583203931289238,0.022103716621776313,0.05151009682442584,2.114663514959,0.013362965468864682,4.580396120051059,48.031797329584755,0.03214520615859801,29574.009126663208,1952.201849113354
2025-12-07 21:00:00+00:00,6,589,557,45426906.0,15821,48266283.0,1519,3436789.0,520452218.0,582945148.0,0.041757045840407465,6106.078098471987,6094.0,6105.0,6120.0,16.0,32.0,64.0,98839.0,120814.00000000001,554917.6399999956,0.004178949760111936,0.004653605375075382,0.009005340450496497,Current (v6),8388608.0,6.0,43.32247352600098,46.030314445495605,0.01204792573817864,4.175704584040747,1.3333333333333333,0.006603466910385998,0.584755,0.05539389535219927,0.03239185727667528,0.001079728575889176,0.020498920647734373,0.022827239566284047,0.04417372064688703,2.009679551695,0.013359457579695916,4.580776466419989,48.01460615793864,0.03228771330371585,29617.33160018921,1954.211528665049
2025-12-07 22:00:00+00:00,6,590,542,48239715.0,15728,51185145.0,1565,5317419.0,552300736.0,628145413.0,0.04420745762711864,6105.952542372881,6094.0,6106.0,6118.1,16.0,32.0,64.0,100438.5,126993.00000000001,702312.9600000005,0.0041487009098061705,0.004627518831566108,0.020498317115396122,Current (v6),8388608.0,6.0,46.004977226257324,48.813958168029785,0.012770150290144543,4.420745762711864,1.3333333333333333,0.009627760119443331,0.568323,0.08076350556004329,0.045899757770400486,0.0015299919256800162,0.019778677954115195,0.022061413123277106,0.0977244736704072,3.022011518337,0.01340040556919578,4.59639728345606,48.17596820990244,0.03298305219569004,29663.336577415466,1957.233540183386
2025-12-07 23:00:00+00:00,6,589,564,78681892.0,15592,80953412.0,1475,4978506.0,792042705.0,855871039.0,0.07003752122241086,6105.650254668931,6093.0,6105.0,6118.0,16.0,32.0,64.0,99045.5,128591.2,1692905.31,0.004173128386313033,0.0043797941590249185,0.006408553001805303,Current (v6),8388608.0,6.0,75.03689956665039,77.20318984985352,0.020867667979751738,7.003752122241086,1.3333333333333333,0.006285653498948646,0.563545,0.0527278832265086,0.029714534952882787,0.0009904844984294262,0.01972787226001353,0.02070485537367689,0.030295524912627925,2.80561216377,0.013784027465758929,4.721097407193507,49.55130024751028,0.03289089372525641,29738.373476982117,1960.039152347156
2025-12-08 00:00:00+00:00,6,590,554,44891061.0,15600,47449139.0,1484,3766468.0,507570071.0,578982915.0,0.040982542372881355,6106.213559322034,6094.0,6106.0,6119.0,16.0,32.0,64.0,98102.5,120253.09999999999,645930.3900000029,0.004178912202309364,0.004453139189594316,0.007637435088185681,Current (v6),8388608.0,6.0,42.81145191192627,45.25102519989014,0.01188368537529806,4.098254237288136,1.3333333333333333,0.007420587255232391,0.556323,0.06224839761394048,0.03463021530578021,0.0011543405101926737,0.019502045368159113,0.02078180117261208,0.035642195474663636,2.095372777164,0.013416025809292659,4.601207179813958,48.229304790496826,0.03326817441009585,29781.184928894043,1962.13452512432
2025-12-08 01:00:00+00:00,6,589,546,45416404.0,15349,47722728.0,1406,3354156.0,512951159.0,571764443.0,0.04128760611205433,6106.419354838709,6095.0,6106.0,6118.0,16.0,32.0,64.0,99034.0,123086.5,498062.8499999981,0.004148594574020484,0.00436661098756428,0.007429377343487089,Current (v6),8388608.0,6.0,43.31245803833008,45.511940002441406,0.012043167770722354,4.128760611205433,1.3333333333333333,0.0065389383397416205,0.557273,0.054852590468263275,0.03056786764802048,0.0010189289216006826,0.01939362068811999,0.020412791771872125,0.034730442702398834,1.869180576588,0.013429717204185483,4.606062160006375,48.277682503064476,0.03308076300579669,29824.497386932373,1964.0037057009079
2025-12-08 02:00:00+00:00,6,589,549,44565821.0,15580,46822744.0,1447,3145548.0,498463373.0,565305037.0,0.04050831918505943,6112.820033955857,6099.0,6113.0,6125.0,16.0,32.0,64.0,98363.0,119148.0,707143.5999999974,0.004178286259425362,0.004378523537676288,0.006397322822120649,Current (v6),8388608.0,6.0,42.5012788772583,44.653648376464844,0.011804084445061777,4.050831918505943,1.3333333333333333,0.0063104897378287415,0.566313,0.052936224698668086,0.029978472217776816,0.0009992824072592272,0.019849273788566487,0.020800516549809613,0.03039097953704622,1.7813647245239996,0.013438467340499548,4.608435532954876,48.31032601992289,0.032981893298974496,29866.99866580963,1965.785070425432
2025-12-08 03:00:00+00:00,6,588,557,276171149.0,16297,278932709.0,2246,15696618.0,2513398923.0,3562360380.0,0.241728231292517,6110.891156462585,6098.0,6111.0,6123.0,16.0,128.0,128.0,99344.0,3025676.8000000003,3722590.0,0.004204207374736284,0.005377970442922899,0.007907442583363811,Current (v6),8388608.0,6.0,263.3773317337036,266.01096057891846,0.07329743613159487,24.1728231292517,1.3333333333333333,0.0062451757484102335,0.572462,0.052388331244520074,0.029990328880900453,0.0009996776293633484,0.020189273597935892,0.025825870846961627,0.037972799042890935,8.985717333516002,0.0160131989459277,5.451153616085128,57.559379855791725,0.0331140776951867,30130.375997543335,1974.770787758948
2025-12-08 04:00:00+00:00,6,590,566,311350711.0,16629,314878619.0,2361,17244917.0,2829062779.0,4032295746.0,0.2719542372881356,6107.71186440678,6093.0,6107.0,6122.1,16.0,128.0,128.0,100054.0,3102194.5,3709155.1000000006,0.004182178097919144,0.005033464598829955,0.006059225933009629,Current (v6),8388608.0,6.0,296.9271764755249,300.29165172576904,0.08240812195938667,27.195423728813562,1.3333333333333333,0.006095628958115815,0.575638,0.051133841843081985,0.029434582450868028,0.0009811527483622677,0.02019490800592732,0.024305601565614638,0.02925879946746934,9.926829532046,0.018959390094331032,6.416275791226371,68.17402672767639,0.03310489466060686,30427.30317401886,1984.697617290994
2025-12-08 05:00:00+00:00,6,589,548,82482563.0,16218,84966197.0,1507,4503954.0,824349105.0,893560106.0,0.07350848896434635,6107.142614601019,6094.0,6107.0,6121.0,16.0,32.0,64.0,98406.0,124302.80000000002,1821844.1999999993,0.0041148488662300815,0.004360590842250411,0.006082607005315886,Current (v6),8388608.0,6.0,78.66150188446045,81.03007984161377,0.02186850122572484,7.350848896434635,1.3333333333333333,0.005463648802044857,0.583603,0.04583240805002391,0.026747930835218103,0.0008915976945072701,0.020144723216855513,0.021347781761804723,0.029778113010322047,2.628521066262,0.019313383822931105,6.531483063439161,69.44669393698375,0.03313740343555109,30505.96467590332,1987.326138357256
2025-12-08 06:00:00+00:00,6,588,547,46383276.0,16380,48898359.0,1554,3666127.0,524059870.0,596622928.0,0.04237687074829932,6120.21768707483,6095.0,6109.0,6123.0,16.0,32.0,64.0,97645.0,118209.00000000001,689247.9999999984,0.004166928212846026,0.004512123663502803,0.008786161472003035,Current (v6),8388608.0,6.0,44.23453903198242,46.6331090927124,0.01231442263505011,4.237687074829932,1.3333333333333333,0.006995626282165051,0.585789,0.05868356659558001,0.03437618779245822,0.001145872926415274,0.020476094774770543,0.02217236944100487,0.04317479587302394,2.147576869203,0.019027488341618246,6.438152396141116,68.41484999656677,0.03351402357395013,30550.199214935303,1989.473715226459
2025-12-08 07:00:00+00:00,6,590,543,46938309.0,16199,49334613.0,1493,3694800.0,527265055.0,596416205.0,0.04260813559322034,6106.920338983051,6094.0,6106.0,6121.0,16.0,32.0,64.0,98059.0,116879.2,832710.300000002,0.0041156573454666084,0.004372120037383753,0.009276535713296556,Current (v6),8388608.0,6.0,44.76385974884033,47.049153327941895,0.012425638507508684,4.260813559322034,1.3333333333333333,0.007007481275238314,0.593752,0.058783013485314325,0.03490253182293235,0.0011634177274310782,0.02049907175350224,0.021776449018520848,0.046204131016945225,2.1937948896,0.01905943433940696,6.447110318215302,68.53204456965129,0.03363308070295958,30594.963074684143,1991.667510116059
2025-12-08 08:00:00+00:00,6,589,538,47340650.0,16364,49843160.0,1521,3421195.0,529509711.0,602716980.0,0.04312275042444822,6107.285229202037,6095.0,6106.0,6122.0,16.0,32.0,64.0,98565.5,119828.6,737027.089999999,0.00416590723875474,0.004467506383642796,0.007572488837722229,Current (v6),8388608.0,6.0,45.14756202697754,47.534141540527344,0.0125534243161358,4.312275042444822,1.3333333333333333,0.006461061863320576,0.589864,0.054199315235145894,0.0319702248818641,0.0010656741627288033,0.02061348336812332,0.022105837518296024,0.03746971878287578,2.0180397674800004,0.01909189108531126,6.458133783966886,68.6451985836029,0.03351863663349725,30640.11063671112,1993.6855498835391
2025-12-08 09:00:00+00:00,6,576,532,49519153.0,16407,52190915.0,1545,4265130.0,555764984.0,629457492.0,0.04617239583333334,6251.229166666667,6094.0,6106.5,6121.0,16.0,32.0,64.0,99048.5,121815.20000000001,858178.3399999958,0.004186441042145527,0.004529291603005177,0.009073365804455705,Current (v6),8388608.0,6.0,47.225144386291504,49.7731351852417,0.013426365003335331,4.617239583333334,1.3333333333333333,0.007674340994466107,0.588815,0.06437703826090634,0.03790616578359556,0.0012635388594531853,0.02067824824323654,0.022371703122074475,0.044816422497633894,2.5113725209499997,0.019156764071943274,6.480002354608039,68.83368194103241,0.033580912634356454,30687.335781097412,1996.1969224044892
2025-12-08 10:00:00+00:00,6,555,480,47062020.0,16308,49612289.0,1544,4350809.0,539290808.0,618027827.0,0.04555261261261261,6486.697297297297,6091.0,6102.0,6120.0,16.0,32.0,64.0,99170.0,125064.70000000003,860123.5599999977,0.004167400996564501,0.0046812413644109815,0.016518620944797502,Current (v6),8388608.0,6.0,44.881839752197266,47.313965797424316,0.013252733486346896,4.555261261261261,1.3333333333333333,0.00806764909666326,0.590831,0.0676763457534622,0.03998528303786382,0.001332842767928794,0.020654679744168177,0.023201400889132123,0.08187040932978777,2.570592832279,0.01921868289486162,6.5013275060306475,68.93722176551819,0.033869691407024616,30732.21762084961,1998.7675152367683
2025-12-08 11:00:00+00:00,6,556,485,83480561.0,16333,86154463.0,1538,4774719.0,842362641.0,913377318.0,0.07895881294964029,6477.037769784172,6091.0,6102.5,6120.0,16.0,32.0,128.0,98862.0,205619.20000000007,1822457.0,0.004113941525535322,0.004402375779530146,0.011814359470676364,Current (v6),8388608.0,6.0,79.61326694488525,82.16329860687256,0.02346404408645037,7.8958812949640285,1.3333333333333333,0.005668246391283158,0.589893,0.04754869702388903,0.02804864353351297,0.0009349547844504323,0.020357350651677493,0.021784633273970865,0.05846195357339934,2.816573315067,0.01942661912064612,6.56983704039634,69.49464619159698,0.033951819802885384,30811.830887794495,2001.5840885518353
2025-12-08 12:00:00+00:00,6,556,479,45788757.0,15889,48312727.0,1479,3505688.0,518726715.0,593948642.0,0.044278956834532375,6477.152877697842,6090.0,6101.5,6117.0,16.0,32.0,64.0,98585.0,124703.0,627158.3799999973,0.004115733648346425,0.00437850342557167,0.00910627363493444,Current (v6),8388608.0,6.0,43.667561531066895,46.07460689544678,0.012872044535300288,4.4278956834532375,1.3333333333333333,0.006758256127217199,0.588044,0.056692361414823214,0.0333376029758183,0.0011112534325272768,0.02030238152268532,0.021598590832051418,0.044920069514383695,2.061498794272,0.019341374841375426,6.541612945015111,69.09690920511882,0.03414693035258853,30855.49844932556,2003.6455873461073
2025-12-08 13:00:00+00:00,6,557,479,47926103.0,16106,50676968.0,1489,4819751.0,543648006.0,617119430.0,0.04636337522441652,6452.736086175943,6090.0,6102.0,6119.0,16.0,32.0,64.0,98873.0,125994.4,691030.3199999996,0.0041148488662300815,0.004377675098138646,0.014986941980122225,Current (v6),8388608.0,6.0,45.70589351654053,48.329322814941406,0.013447600697343404,4.636337522441652,1.3333333333333333,0.008865572846412683,0.586936,0.0743698153040002,0.043650321915268665,0.0014550107305089555,0.02025977122463097,0.021553816158820197,0.07378934822271467,2.828885372936,0.019420336475443525,6.567513048336219,69.2813531557719,0.03454466691692009,30901.204342842102,2006.4744727190432
2025-12-08 14:00:00+00:00,6,590,549,48862128.0,15761,51484483.0,1570,4453953.0,552529007.0,633323476.0,0.04446813559322034,6106.81186440678,6093.0,6106.5,6121.0,16.0,32.0,64.0,98105.0,118450.8,617040.0799999994,0.0041997065834325446,0.005015275864134667,0.01687919465881772,Current (v6),8388608.0,6.0,46.59855651855469,49.0994291305542,0.012933858064150785,4.446813559322034,1.3333333333333333,0.008061030178638205,0.591533,0.06762082224476587,0.03999994784491309,0.0013333315948304363,0.020839525541835782,0.02488649323319224,0.08375690092390947,2.634660179949,0.019430193337546798,6.570252787097146,69.33255489667256,0.034091391696484036,30947.802899360657,2009.1091328989921
2025-12-08 15:00:00+00:00,6,589,552,47199583.0,15828,50040060.0,1594,4393057.0,542179869.0,621665465.0,0.043294397283531405,6107.064516129032,6093.0,6107.0,6121.0,16.0,32.0,64.0,98043.0,112679.80000000002,664739.1300000008,0.0042014955856642,0.005096205665966304,0.014903979142702998,Current (v6),8388608.0,6.0,45.01303005218506,47.721920013427734,0.01251396781510295,4.32943972835314,1.3333333333333333,0.00810258228160072,0.597508,0.06796938654809406,0.04061225221757859,0.001353741740585953,0.021058989898011624,0.025543509793027188,0.07470262429342547,2.624886701956,0.01944322789819143,6.57327273616336,69.37884163856506,0.034364872521723995,30992.81592941284,2011.7340196009482
