_day,max_version_app,block_count,blocks_with_blobs,total_blobs_bytes,total_blobs_count,total_bytes_in_block,total_txs,total_fee_utia,total_gas_used,total_gas_limit,avg_fill_rate,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_square_size,p90_square_size,max_square_size_seen,p50_blobs_size,p90_blobs_size,p99_blobs_size,p10_gas_price_utia,p50_gas_price_utia,p90_gas_price_utia,era,max_data_bytes,era_block_time_s,daily_blob_mib,daily_block_mib,actual_mib_per_s,utilization_pct,max_mib_per_s,avg_gas_price_utia,avg_tia_usd,cost_per_mib_tia,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_blob_mib_7d,cost_per_mib_usd_7d,cumulative_daily_blob_mib,cumulative_daily_da_spend_usd
2025-12-21,6,14035,13244,43211752678.0,368784,43271274646.0,38030,1754582494.0,370413474856.0,407700846387.0,1.5710541075881723,6155.882650516566,6082.0,6096.0,6113.0,16.0,128.0,256.0,105426.0,7442209.8,14786748.879999999,0.004208853624230972,0.0043999969372716385,0.0064270966519472785,Current (v6),8388608.0,6.0,41209.93869590759,41266.70326805115,0.4816644493928704,157.10541075881724,1.3333333333333333,0.0047368214525189785,0.46470933333333336,0.03973533833117232,0.018465382585653535,0.0006155127528551178,0.01640722437978107,0.017152351558283502,0.025054522274650576,815.3708610650774,0.852997669527084,278.2739148218513,73121.61785357339,0.01941904899683124,550309.2514076233,12444.420361884213
2025-12-22,6,14162,12959,1404402278.0,364679,1460678877.0,32141,111101868.0,14864993090.0,16573831746.0,0.052558268606129076,6098.474862307584,6081.0,6095.0,6108.0,16.0,32.0,128.0,97380.0,117937.6,1740521.6000000003,0.004115611563738718,0.004435240528095368,0.011039482124868593,Current (v6),8388608.0,6.0,1339.3423824310303,1393.011929512024,0.015516483786535138,5.255826860612908,1.3333333333333333,0.007474061193795012,0.46091787500000003,0.06269696952275838,0.02889815396136956,0.0009632717987123186,0.01591284490858242,0.01714867731388302,0.04268370914103456,51.2088369070905,0.8489714759145837,276.95657147011553,72774.67544174194,0.019882180329205724,551648.5937900543,12495.629198791303
2025-12-23,6,14168,12970,1484777655.0,369157,1541457792.0,32085,106792358.0,15683554102.0,17429679480.0,0.0554416149068323,6097.109683794466,6081.0,6094.0,6106.0,16.0,32.0,128.0,98669.5,131099.3,1746499.449999999,0.00411409938124622,0.0043545329182731705,0.008363270517032928,Current (v6),8388608.0,6.0,1415.9943151474,1470.0487060546875,0.01640025163770837,5.54416149068323,1.3333333333333333,0.006809193713711971,0.44816275,0.057119656860393955,0.025598902497610522,0.0008532967499203508,0.015466798765604427,0.016370699422610893,0.03144139460969412,47.860356840264494,0.7473199392394142,243.77803099117423,64041.82310295105,0.0208055113402101,553064.5881052017,12543.489555631568
2025-12-24,6,14147,13037,1429702592.0,376854,1488653776.0,34074,106046122.0,15282160724.0,17037901574.0,0.0536214674489291,6106.16886972503,6076.0,6088.0,6101.0,16.0,32.0,128.0,97910.0,129883.6,1746887.439999999,0.004115764169498352,0.004376532495554322,0.008731179834241463,Current (v6),8388608.0,6.0,1363.4706420898438,1419.6908721923828,0.01583094331940293,5.36214674489291,1.3333333333333333,0.006939209966131226,0.44049554166666666,0.058210312235568135,0.025641383018792378,0.0008547127672930792,0.015208343024669536,0.0161719196508569,0.032262970486330395,46.712843952039414,0.5870849991910507,191.47625609203897,50411.67315987178,0.021625691547463518,554428.0587472916,12590.202399583608
2025-12-25,6,14180,13148,1444438390.0,375619,1506855282.0,34302,102441469.0,15414595988.0,17252639986.0,0.05415023977433005,6091.036882933709,6078.0,6089.0,6103.0,16.0,32.0,128.0,97604.0,133702.10000000003,1705588.7800000005,0.004137885963518209,0.00441608082144886,0.008955385797821654,Current (v6),8388608.0,6.0,1377.5237941741943,1437.049180984497,0.01595426878099672,5.4150239774330045,1.3333333333333333,0.006645744661731578,0.454123375,0.055748546835358806,0.02531671824021871,0.0008438906080072904,0.0157631233790513,0.016822896390594134,0.034115210637182966,46.52106564223787,0.418635365296716,136.59322335924028,35951.076449394226,0.022735643936236633,555805.5825414658,12636.723465225847
2025-12-26,6,14173,13128,1442028399.0,377847,1502042900.0,35643,132894929.0,15431871724.0,17281987934.0,0.054003767727368944,6095.409017145276,6080.0,6092.0,6104.0,16.0,32.0,128.0,97684.5,140787.60000000038,1739992.9399999972,0.004140787871667084,0.004522213773161851,0.014845354360332963,Current (v6),8388608.0,6.0,1375.2254476547241,1432.4597358703613,0.015927668870062184,5.4003767727368945,1.3333333333333333,0.008611718097249263,0.4557770833333333,0.07224032732432994,0.0329254856869284,0.00109751618956428,0.015831620387658753,0.017289939496397483,0.056758767180808155,60.570463129410406,0.24998905457267234,81.67610578987419,21495.39516871316,0.024954252513893164,557180.8079891205,12697.293928355257
2025-12-27,6,14181,13156,1437799563.0,376117,1496892986.0,34705,106053762.0,15306944906.0,17098249198.0,0.053788357661659965,6091.098441576758,6079.0,6089.0,6101.0,16.0,32.0,128.0,97681.0,142970.0,1701191.8500000006,0.004115764169498352,0.0043825640158391185,0.008857137700540496,Current (v6),8388608.0,6.0,1371.19251537323,1427.5483951568604,0.015879821008856487,5.378835766165997,1.3333333333333333,0.006928473490384692,0.46493591666666667,0.058120248149228955,0.027022190850155902,0.0009007396950051967,0.016052159979649823,0.017092723442383394,0.034544299788729846,49.3082030514185,0.08245341239949035,27.065968910191742,7064.6696846825735,0.02626688812010414,558552.0005044937,12746.602131406675
2025-12-28,6,14180,13053,1434386149.0,376481,1492078536.0,34438,100127120.0,15259231929.0,17029139571.0,0.0536194287729196,6092.065021156559,6078.0,6089.0,6101.0,16.0,32.0,128.0,97641.0,143021.0,1711478.7599999998,0.004137884611200594,0.0043808154697994395,0.008379786585627024,Current (v6),8388608.0,6.0,1367.9372301101685,1422.9569778442383,0.015843238670002955,5.36194287729196,1.3333333333333333,0.00656174049033946,0.47632541666666667,0.055043868771185514,0.02621879372738026,0.0008739597909126754,0.016533775337274407,0.0175044559182873,0.03348317360180407,47.69309215363334,0.01590752515336643,5.388330641402415,1372.955189568656,0.027374518283207964,559919.9377346039,12794.295223560308
2025-12-29,6,14183,13125,1443516957.0,374323,1501981244.0,34459,101808738.0,15401108083.0,17211098558.0,0.05396358316294155,6089.97842487485,6078.0,6089.0,6101.0,16.0,32.0,128.0,98012.0,143480.8,1729279.0400000017,0.004136968758080787,0.0043799919682298875,0.008407191247910003,Current (v6),8388608.0,6.0,1376.6450471878052,1432.400936126709,0.01594071876101807,5.3963583162941555,1.3333333333333333,0.006610481366102364,0.4664455416666667,0.05545273687153722,0.02586568188694332,0.000862189396231444,0.016187250511203333,0.01713815872752385,0.032895900062017785,47.488231942809755,0.015968130149721132,5.408406563642593,1378.2841416767665,0.026941307986861358,561296.5827817917,12841.783455503117
2025-12-30,6,14187,13197,1451592344.0,380563,1515006800.0,35584,111426100.0,15583273025.0,17449988257.0,0.05441636709663777,6089.119123140904,6077.0,6088.0,6100.0,16.0,32.0,128.0,97738.0,143237.8,1693413.1599999901,0.00414329290834327,0.004521320165341188,0.011366255294098758,Current (v6),8388608.0,6.0,1384.346336364746,1444.8230743408203,0.016028007729457235,5.4416367096637765,1.3333333333333333,0.007150365640211839,0.45985733333333334,0.05998161441240615,0.027582985252717327,0.0009194328417572443,0.015983013028846298,0.01744127695261815,0.043846044794215305,51.24010920973333,0.0159149524485424,5.3937601663541,1373.7630018506732,0.027224748380448038,562680.9291181564,12893.02356471285
2025-12-31,6,14190,13158,1462081259.0,383348,1523699447.0,36152,108782155.0,15717122054.0,17564052408.0,0.05471686398872446,6086.412966878083,6075.0,6085.0,6097.0,16.0,32.0,128.0,97748.5,128660.8,1709395.5100000005,0.004115764169498352,0.004464707737860131,0.010730008559083484,Current (v6),8388608.0,6.0,1394.3493452072144,1453.1130285263062,0.016148367300768064,5.471686398872446,1.3333333333333333,0.006921251525963367,0.4608439166666667,0.05805966592070851,0.026756443843257503,0.0008918814614419168,0.015910881501730423,0.01725984114527383,0.04148048519430575,50.13159437364042,0.015960298731594564,5.409408688351177,1378.1742451531547,0.027384042783943057,564075.2784633636,12943.155159086491
2026-01-01,6,14182,13512,1497120571.0,376767,1572990802.0,40352,136588833.0,16382971073.0,18517455617.0,0.05651971513185728,6089.707798617967,6078.0,6089.0,6102.0,16.0,32.0,128.0,97830.5,129592.4,1674621.5799999975,0.004170247931002621,0.004600978028210482,0.013737328883698335,Current (v6),8388608.0,6.0,1427.7654371261597,1500.120927810669,0.016533827772057585,5.651971513185728,1.3333333333333333,0.008337244349109887,0.4734124583333333,0.069937874644898,0.03310946116624966,0.0011036487055416553,0.01656118690342878,0.018271733077856445,0.054554663166537704,64.66285521141111,0.016043092873174687,5.443258336315852,1385.351622717721,0.028497291773376055,565503.0439004898,13007.818014297902
2026-01-02,6,14189,13354,1474080081.0,377531,1536949614.0,37712,119990672.0,15847478332.0,17758228042.0,0.055196553668334626,6087.741348932272,6076.0,6087.0,6098.0,16.0,32.0,128.0,97422.0,143193.2,1729314.2699999975,0.004169241608286898,0.004599605755054251,0.012146313650793753,Current (v6),8388608.0,6.0,1405.7923135757446,1465.7493724822998,0.016276689317830408,5.5196553668334625,1.3333333333333333,0.007571594009231676,0.503975,0.06351513407859291,0.03201003969725886,0.001067001323241962,0.01762608893530327,0.019445517368141,0.05135034731962853,60.47229892119999,0.016092952937141577,5.460298135472504,1389.7183178492955,0.02836651377485183,566908.8362140656,13068.290313219102
2026-01-03,6,14186,13271,1442367256.0,375583,1502342710.0,35441,106480808.0,15454848660.0,17291582539.0,0.05396526152544762,6089.167630057804,6077.0,6087.0,6098.0,16.0,32.0,128.0,97494.0,142843.0,1594632.7999999986,0.0041586836793963845,0.00443020001893134,0.008745872266376324,Current (v6),8388608.0,6.0,1375.5486068725586,1432.745656967163,0.015929886596794417,5.396526152544762,1.3333333333333333,0.006889799463102604,0.5257590833333333,0.05779582689457821,0.030386680968585454,0.0010128893656195152,0.0183414038234104,0.019538895917540447,0.03857268005746876,55.983252006672664,0.016100105163989853,5.462825333526612,1390.3406166349139,0.02884715522034177,568284.3848209381,13124.273565225774
2026-01-04,6,14177,13292,1467149517.0,389041,1529699815.0,36676,116970505.0,15784170075.0,17660906949.0,0.054982295266981736,6091.632926571207,6079.0,6090.0,6102.0,16.0,32.0,128.0,98022.0,144000.3,1594180.2700000003,0.004152237653395537,0.004531914931114985,0.01174032212681841,Current (v6),8388608.0,6.0,1399.1828126907349,1458.835425376892,0.01620588787211756,5.498229526698173,1.3333333333333333,0.0074106211757858295,0.555752,0.062164796080166417,0.03454820975114465,0.0011516069917048217,0.019357672451918016,0.021127722481091737,0.05473321355416823,65.00659209476001,0.016151912192863365,5.482294854870358,1394.8042712892805,0.030037071795165255,569683.5676336288,13189.280157320534
