timestamp_ms,date,eth_usd
1763301712909,2025-11-16T14:01:52.909000+00:00,3146.68
1763305296408,2025-11-16T15:01:36.408000+00:00,3171.08
1763309179441,2025-11-16T16:06:19.441000+00:00,3098.78
1763312618659,2025-11-16T17:03:38.659000+00:00,3061.93
1763316189691,2025-11-16T18:03:09.691000+00:00,3090.97
1763320029962,2025-11-16T19:07:09.962000+00:00,3065.45
1763323330941,2025-11-16T20:02:10.941000+00:00,3089.65
1763326898042,2025-11-16T21:01:38.042000+00:00,3093.21
1763330518166,2025-11-16T22:01:58.166000+00:00,3071.1
1763334154809,2025-11-16T23:02:34.809000+00:00,3076.14
1763337737159,2025-11-17T00:02:17.159000+00:00,3101.69
1763341288777,2025-11-17T01:01:28.777000+00:00,3130.94
1763344892193,2025-11-17T02:01:32.193000+00:00,3118.41
1763348587811,2025-11-17T03:03:07.811000+00:00,3144.31
1763352031165,2025-11-17T04:00:31.165000+00:00,3173.73
1763355833421,2025-11-17T05:03:53.421000+00:00,3183.14
1763359458842,2025-11-17T06:04:18.842000+00:00,3186.02
1763362876261,2025-11-17T07:01:16.261000+00:00,3192.37
1763366458223,2025-11-17T08:00:58.223000+00:00,3196.92
1763370015139,2025-11-17T09:00:15.139000+00:00,3185.46
1763373671712,2025-11-17T10:01:11.712000+00:00,3192.14
1763377259304,2025-11-17T11:00:59.304000+00:00,3195.17
1763380881083,2025-11-17T12:01:21.083000+00:00,3203.55
1763384513303,2025-11-17T13:01:53.303000+00:00,3181.94
1763388185835,2025-11-17T14:03:05.835000+00:00,3108.1
1763391750877,2025-11-17T15:02:30.877000+00:00,3151.04
1763395367129,2025-11-17T16:02:47.129000+00:00,3120.4
1763399015235,2025-11-17T17:03:35.235000+00:00,3130.14
1763402466566,2025-11-17T18:01:06.566000+00:00,3056.18
1763406115254,2025-11-17T19:01:55.254000+00:00,3026.96
1763409722112,2025-11-17T20:02:02.112000+00:00,2980.38
1763413334049,2025-11-17T21:02:14.049000+00:00,3004.16
1763416924867,2025-11-17T22:02:04.867000+00:00,2998.46
1763420559764,2025-11-17T23:02:39.764000+00:00,3017.85
1763424100035,2025-11-18T00:01:40.035000+00:00,3021.3
1763427647274,2025-11-18T01:00:47.274000+00:00,3030.97
1763431334650,2025-11-18T02:02:14.650000+00:00,3013.63
1763434898327,2025-11-18T03:01:38.327000+00:00,3006.11
1763438510647,2025-11-18T04:01:50.647000+00:00,3016.11
1763442090213,2025-11-18T05:01:30.213000+00:00,3003.18
1763445951350,2025-11-18T06:05:51.350000+00:00,3000.14
1763449308562,2025-11-18T07:01:48.562000+00:00,2990.94
1763452889816,2025-11-18T08:01:29.816000+00:00,3023.17
1763456516780,2025-11-18T09:01:56.780000+00:00,3058.1
1763460168370,2025-11-18T10:02:48.370000+00:00,3052.04
1763463668151,2025-11-18T11:01:08.151000+00:00,3057.93
1763467417222,2025-11-18T12:03:37.222000+00:00,3060.91
1763470872797,2025-11-18T13:01:12.797000+00:00,3048.53
1763474566806,2025-11-18T14:02:46.806000+00:00,3051.78
1763478079912,2025-11-18T15:01:19.912000+00:00,3058.06
1763481696249,2025-11-18T16:01:36.249000+00:00,3105.19
1763485313558,2025-11-18T17:01:53.558000+00:00,3148.9
1763488912129,2025-11-18T18:01:52.129000+00:00,3131.49
1763492508032,2025-11-18T19:01:48.032000+00:00,3162.49
1763496104390,2025-11-18T20:01:44.390000+00:00,3139.7
1763499671076,2025-11-18T21:01:11.076000+00:00,3122.76
1763503382323,2025-11-18T22:03:02.323000+00:00,3098.06
1763506917732,2025-11-18T23:01:57.732000+00:00,3123.39
1763510497375,2025-11-19T00:01:37.375000+00:00,3117.22
1763514113599,2025-11-19T01:01:53.599000+00:00,3097.75
1763517729465,2025-11-19T02:02:09.465000+00:00,3101.86
1763521283061,2025-11-19T03:01:23.061000+00:00,3119.62
1763524914415,2025-11-19T04:01:54.415000+00:00,3072.83
