_day,block_count,total_blobs,blocks_with_blobs,at_floor_count,era,target_blobs,max_blobs,p10_blob_base_fee_gwei,p50_blob_base_fee_gwei,p90_blob_base_fee_gwei,vwap_blob_base_fee_gwei,daily_data_mib,actual_mib_per_s,max_mib_per_s,expected_mib_per_s,utilization_pct,target_utilization_pct,pct_time_at_floor,avg_eth_usd,vwap_cost_per_mib_day_usd,p10_cost_per_mib_day_usd,p50_cost_per_mib_day_usd,p90_cost_per_mib_day_usd,daily_blob_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,vwap_cost_per_mib_day_usd_7d,actual_mib_per_s_30d,utilization_pct_30d,cumulative_daily_data_mib,cumulative_daily_blob_spend_usd
2025-11-03,7157,38760,6236,1858,Pectra,6,9,1e-09,1.139819642266762e-09,4.218883227002665e-09,2.052956483584613e-09,4845.0,0.05641330166270784,0.09375,0.0625,60.1741884402217,90.26128266033254,25.96059801592846,3910.09,4.676208917449925e-10,2.2777925176888894e-10,2.596272652670057e-10,9.609740647469823e-10,4.0781217969080795e-05,0.05573468216008679,59.45032763742591,4779.410714285715,0.0011376451264423805,0.05515113808079079,58.82788061951018,1660679.375,1550.2966740215056
2025-11-04,7152,38535,6066,1962,Pectra,6,9,1e-09,1.1103730423817535e-09,2.7753762470968364e-09,1.9074712225053563e-09,4816.875,0.05612503495525727,0.09375,0.0625,59.86670395227443,89.80005592841164,27.432885906040266,3600.72,4.0010571406373966e-10,2.0975714304000002e-10,2.329086770786294e-10,5.821549924521095e-10,3.469066580575397e-05,0.055389106679642267,59.08171379161843,4752.160714285715,0.0011376451148590444,0.05504431346688527,58.71393436467762,1665496.25,1550.2967087121715
2025-11-05,7140,35654,6170,3186,Pectra,6,9,1e-09,1.0265195558258924e-09,1.2656250039502266e-09,1.111009605522559e-09,4456.75,0.05201622315592904,0.09375,0.0625,55.483971366324305,83.22595704948647,44.6218487394958,3296.74,2.1336831102727349e-10,1.9204902456888892e-10,1.971420793972517e-10,2.4306204747863714e-10,1.711672596307442e-05,0.0548965339277286,58.55630285624384,4709.196428571428,0.0011376451060632832,0.05475618016053207,58.406592171234216,1669953.0,1550.2967258288975
2025-11-06,7151,35715,6231,3225,Pectra,6,9,1e-09,1.0265195558258924e-09,1.64428585151752e-09,2.0498399988784837e-09,4464.375,0.052025066424276324,0.09375,0.0625,55.49340418589475,83.24010627884212,45.098587610124454,3427.69,4.093067520758857e-10,1.9967741496888893e-10,2.0497277132232622e-10,3.283267483009367e-10,3.289137896337808e-05,0.05398047407221464,57.57917234369562,4631.589285714285,3.1830382881413834e-10,0.05452474528796511,58.15972830716278,1674417.375,1550.2967587202763
2025-11-07,7149,39414,6187,1720,Pectra,6,9,1e-09,1.139819642266762e-09,2.779418108087717e-07,7.048860503811246e-08,4926.75,0.057429360749755215,0.09375,0.0625,61.25798479973889,91.88697719960834,24.05930899426493,3308.92,1.3587282073730623e-08,1.927585609955556e-10,2.1970999403780998e-10,5.3575663491997775e-08,0.0012049405552215424,0.05451591204400385,58.15030618027077,4678.535714285715,2.2242593701980918e-09,0.05452456929552775,58.15954058189627,1679344.125,1550.2979636608316
2025-11-08,7154,35864,6305,3239,Pectra,6,9,1e-09,1.0265195558258924e-09,1.2991888168971298e-09,1.1399496561169465e-09,4483.0,0.05222020314975306,0.09375,0.0625,55.701550026403254,83.5523250396049,45.27537042214146,3434.35,2.2806447035283228e-10,2.0006538808888892e-10,2.05371033317141e-10,2.5992271485326867e-10,1.8403434370651454e-05,0.05422444818528689,57.83941139763935,4653.607142857143,2.222603589418995e-09,0.05429735896958544,57.917182900891135,1683827.125,1550.2979820642659
2025-11-09,7162,37919,6475,2544,Pectra,6,9,1e-09,1.0537423984929872e-09,2.9245316233362856e-09,2.454772451776802e-09,4739.875,0.055150737689658384,0.09375,0.0625,58.82745353563561,88.24118030345342,35.5208042446244,3401.46,4.864117049521732e-10,1.9814940672000004e-10,2.0879843109709523e-10,5.794942060979635e-10,4.1499552240183274e-05,0.05448284682676245,58.11503661521328,4676.089285714285,2.2560228454210742e-09,0.054230415098754495,57.845776105338125,1688567.0,1550.298023563818
2025-11-10,7145,40375,6395,1290,Pectra,6,9,1e-09,1.2656250039502266e-09,7.315184551625766e-08,3.3938989328581104e-08,5046.875,0.05886254956846279,0.09375,0.0625,62.78671953969365,94.18007930954046,18.054583624912528,3576.25,7.070566060965563e-09,2.0833166222222226e-10,2.636697608229573e-10,1.523984557102517e-08,0.0006423167356008403,0.054832739384727436,58.48825534370927,4704.928571428572,3.1993007267382987e-09,0.05437236090439072,57.99718496468344,1693613.875,1550.2986658805537
2025-11-11,7137,40199,6400,1357,Pectra,6,9,1e-09,1.333642727255208e-09,1.4457367022596515e-06,4.3544439568019366e-07,5024.875,0.058671652421652426,0.09375,0.0625,62.58309591642926,93.87464387464388,19.013591144738687,3564.61,9.042158899316219e-08,2.076535830755556e-10,2.769356908571999e-10,3.0021240640805426e-07,0.008178429275856285,0.05519654187992675,58.876311338588536,4734.642857142857,1.6059512623752362e-08,0.054510500404727616,58.14453376504279,1698638.75,1550.3068443098296
2025-11-12,7151,40096,6389,1508,Pectra,6,9,1e-09,1.1700471529013042e-09,3.081702967242967e-09,2.0506140926036846e-09,5012.0,0.05840674963874517,0.09375,0.0625,62.300532947994846,93.45079942199227,21.08795972591246,3416.78,4.0815804601402323e-10,1.9904186140444448e-10,2.328883632444462e-10,6.133878948956399e-10,3.6822386279201124e-05,0.056109474234614765,59.85010585025575,4813.964285714285,1.608733972875047e-08,0.05458652276458533,58.22562428222435,1703650.75,1550.306881132216
2025-11-13,7138,42793,6383,211,Pectra,6,9,1.333642727255208e-09,6.422515457742733e-07,0.01835093866952761,0.006007161923426795,5349.125,0.062448923601382274,0.09375,0.0625,66.61218517480776,99.91827776221164,2.9560100868590644,3409.61,0.0011931676029447327,2.6489369128842066e-10,1.275666857539765e-07,0.0036449401203448167,114.88324777383137,0.05759859668848705,61.43850313438618,4940.357142857143,0.000170468543573726,0.05478679185743638,58.439244647932135,1708999.875,1665.1901289060472
2025-11-14,7156,41616,6302,462,Pectra,6,9,1.0816871788559317e-09,1.3720020228162754e-06,0.00022008825128552796,8.181401744745148e-05,5202.0,0.06057853549468977,0.09375,0.0625,64.61710452766908,96.92565679150363,6.456120737842371,3235.73,1.5421527857575707e-05,2.038925538966899e-10,2.586154313849857e-07,4.148552050392703e-05,1.4440101824719591,0.058048478794906266,61.918377381233356,4979.678571428572,0.00017266967794165485,0.05501113956176413,58.678548865881744,1714201.875,1666.634139088519
2025-11-15,7153,38361,6676,2594,Pectra,6,9,1e-09,1.0537423984929872e-09,3.081702967242967e-09,5.2507618137910765e-09,4795.125,0.055863798406263106,0.09375,0.0625,59.58805163334732,89.38207745002097,36.26450440374668,3106.6,9.502438428638272e-10,1.8097256675555558e-10,1.9069846655443135e-10,5.577036959601715e-10,8.20176841262234e-05,0.05856899240297913,62.473591896511074,5024.267857142857,0.00017266978111013666,0.05509406234968484,58.76699983966383,1718997.0,1666.6342211062033
2025-11-16,7156,40888,6522,1064,Pectra,6,9,1e-09,2.5657845459833123e-09,5.493103750737828e-06,2.2670194904468406e-06,5111.0,0.05951881870691261,0.09375,0.0625,63.48673995404012,95.23010993106018,14.868641699273338,3170.11,4.1865568623644934e-07,1.8467229240888892e-10,4.738293139340385e-10,1.0144240620886206e-06,0.03851548582238086,0.05919300397687259,63.13920424199744,5077.285714285715,0.00017272951957792685,0.055222434418236564,58.903930046118994,1724108.0,1666.6727365920258
2025-11-17,7123,39633,6312,1627,Pectra,6,9,1e-09,1.2656250039502266e-09,9.223857419372413e-06,6.532687225168354e-05,4954.125,0.057959251719780995,0.09375,0.0625,61.823201834433064,92.7348027516496,22.841499368243717,3101.69,1.1803686419785278e-05,1.8068653852444448e-10,2.2868140103375278e-10,1.6666268689494163e-06,1.0525848837195373,0.059063961427060906,63.00155885553164,5064.035714285715,0.00017441475041417317,0.05544847258779321,59.14503742697943,1729062.125,1667.7253214757454
